Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300029256.a:Ga0168827_100001_107	-	GT51(82-265)	GT51_e43	GT51	N	3
3300029256.a:Ga0168827_100001_203	3.2.1.89:6|3.2.1.89:17|3.2.1.89:6	CBM61(46-180)+GH53(218-595)+CBM61(689-827)	CBM61_e15+GH53_e14+CBM61_e15	CBM61+GH53	Y(1-37)	3
3300029256.a:Ga0168827_100001_243	3.2.1.55:27	GH51(3-485)	GH51_e19	GH51	N	3
3300029256.a:Ga0168827_100001_25	3.2.1.1:5|3.2.1.54:1	GH13_36(130-456)	GH13_e13	GH13_36	N	3
3300029256.a:Ga0168827_100001_334	3.2.1.37:4|3.2.1.55:4	GH43_35(7-337)	GH43_e264	GH43_35	N	3
3300029256.a:Ga0168827_100001_350	-	GT2(58-230)	GT2	GT2	N	3
3300029256.a:Ga0168827_100001_408	-|-|-|-	GH16_3(304-543)+CBM4(569-700)+CBM4(872-1015)+CBM4(1052-1169)	GH16_e336+CBM4_e27+CBM4_e27+CBM4_e27	CBM4+GH16_3	Y(1-28)	3
3300029256.a:Ga0168827_100001_43	2.4.1.18:57|2.4.1.18:14	CBM48(129-214)+GH13_9(288-588)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
3300029256.a:Ga0168827_100001_46	-	GH13_4(87-484)	GH13_e4	GH13_4	N	3
3300029256.a:Ga0168827_100001_47	-	CE1(107-312)	-	-	Y(1-28)	1
3300029256.a:Ga0168827_100001_581	2.4.1.49:1	GH94(2-796)	GH94_e8	GH94	N	3
3300029256.a:Ga0168827_100001_597	3.2.1.4:2|3.2.1.-:1|3.2.1.4:3	GH5_2(245-486)	CBM2_e118+GH5_e227	CBM2+GH5_2	N	3
3300029256.a:Ga0168827_100002_147	3.2.1.78:2|3.2.1.78:2|3.2.1.78:2|3.2.1.78:2|3.2.1.78:2|3.2.1.78:2	CBM27(559-709)+GH26(743-1080)+CBM23(1250-1411)	CBM23_e2+CBM23_e2+CBM23_e2+CBM27_e0+GH26_e75+CBM23_e2	CBM23+CBM27+GH26	Y(1-34)	3
3300029256.a:Ga0168827_100002_21	3.2.1.26:1	GH32(25-334)	GH32_e71	GH32	N	3
3300029256.a:Ga0168827_100002_242	-	GT2(5-149)	GT2	GT2	N	3
3300029256.a:Ga0168827_100002_252	3.2.1.22:25	GH36(11-712)	GH36_e0	GH36	N	3
3300029256.a:Ga0168827_100002_263	2.4.1.1:158	GT35(96-806)	GT35_e0	GT35	N	3
3300029256.a:Ga0168827_100002_264	3.2.1.4:3|3.2.1.-:1	GH5_2(59-307)	GH5_e273	GH5_2	Y(1-35)	3
3300029256.a:Ga0168827_100002_268	2.4.1.20:14|2.4.1.49:1	GH94(2-824)	GH94_e12	GH94	N	3
3300029256.a:Ga0168827_100002_287	2.4.1.25:21	GH77(19-504)	GH77_e26	GH77	N	3
3300029256.a:Ga0168827_100002_298	-	GT28(188-336)	GT28_e30	GT28	N	3
3300029256.a:Ga0168827_100002_301	-	CE4(131-255)	CE4_e82	-	N	2
3300029256.a:Ga0168827_100002_319	-	GH5(62-333)	GH5_e281	GH5	N	3
3300029256.a:Ga0168827_100002_337	2.4.1.18:57|2.4.1.18:14	GH13_9(193-482)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
3300029256.a:Ga0168827_100002_352	-	GH53(40-396)	GH53_e1	GH53	Y(1-33)	3
3300029256.a:Ga0168827_100002_394	3.2.1.23:6|3.2.1.31:2	GH2(36-998)	GH2_e104	GH2	N	3
3300029256.a:Ga0168827_100002_403	-	GT2(7-138)	GT2	GT2	N	3
3300029256.a:Ga0168827_100002_430	3.2.1.1:13|3.2.1.41:12|-	CBM34(42-131)+GH13_39(192-572)	CBM34_e11+GH13_e98	CBM34+GH13	N	3
3300029256.a:Ga0168827_100002_441	3.2.1.52:4	GH3(147-372)	GH3_e199	GH3	Y(1-21)	3
3300029256.a:Ga0168827_100002_58	3.2.1.4:1|3.2.1.-:1|3.2.1.73:1|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1	CBM4(72-195)+GH9(324-754)	CBM4_e22+GH9_e25	CBM4+GH9	Y(1-23)	3
3300029256.a:Ga0168827_100025_116	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(76-224)	GH13_e122	-	N	2
3300029256.a:Ga0168827_100025_118	3.2.1.22:25	GH36(12-698)	GH36_e0	GH36	N	3
3300029256.a:Ga0168827_100025_13	-	GH2(4-697)	GH2_e34	GH2	N	3
3300029256.a:Ga0168827_100025_136	-	GT4(191-295)	GT4_e647	GT4	N	3
3300029256.a:Ga0168827_100025_139	-	GT2(6-181)	GT2	-	N	2
3300029256.a:Ga0168827_100025_160	2.4.1.25:3|2.4.1.1:158	GH77(13-482)+GT35(599-1271)	GH77_e1+GT35_e0	GH77+GT35	N	3
3300029256.a:Ga0168827_100025_53	3.2.1.22:25	GH36(11-711)	GH36_e0	GH36	N	3
3300029256.a:Ga0168827_100025_60	2.4.1.281:5	GH130(48-359)	GH130_e6	GH130	N	3
