HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE1.hmm	227	3300029066.a:Ga0169219_10001_135	401	4.2e-19	1	218	172	386	0.9559471365638766
GT2.hmm	197	3300029066.a:Ga0169219_10001_151	746	2.4e-48	2	196	165	382	0.9847715736040609
CBM34.hmm	120	3300029066.a:Ga0169219_10001_278	606	1.2e-21	2	104	6	112	0.85
GH13_21.hmm	308	3300029066.a:Ga0169219_10001_278	606	1.1e-143	1	308	178	492	0.9967532467532467
CE14.hmm	124	3300029066.a:Ga0169219_10001_313	224	1e-16	1	124	20	130	0.9919354838709677
GT2.hmm	170	3300029066.a:Ga0169219_10001_314	399	7.6e-26	2	166	34	198	0.9647058823529412
CE1.hmm	227	3300029066.a:Ga0169219_10001_319	278	1.7e-55	1	224	21	271	0.9823788546255506
GH2.hmm	752	3300029066.a:Ga0169219_10001_322	1025	1.3e-223	17	751	40	916	0.976063829787234
AA3_2.hmm	568	3300029066.a:Ga0169219_10001_348	557	5.3e-164	2	566	2	532	0.9929577464788732
GH33.hmm	342	3300029066.a:Ga0169219_10001_57	390	4.1e-24	25	325	36	367	0.8771929824561403
CE9.hmm	373	3300029066.a:Ga0169219_10001_62	383	2.7e-120	2	373	5	376	0.9946380697050938
GH3.hmm	216	3300029066.a:Ga0169219_10002_124	756	1.4e-64	3	215	88	309	0.9814814814814815
CE1.hmm	227	3300029066.a:Ga0169219_10002_145	279	8.7e-53	1	224	21	273	0.9823788546255506
GT2.hmm	170	3300029066.a:Ga0169219_10002_242	323	1.4e-35	1	166	11	171	0.9705882352941176
GT83.hmm	540	3300029066.a:Ga0169219_10002_245	551	1.5e-156	6	527	3	521	0.9648148148148148
GT4.hmm	160	3300029066.a:Ga0169219_10002_27	387	1.3e-33	4	153	199	350	0.93125
GT2.hmm	170	3300029066.a:Ga0169219_10002_30	290	3.9e-24	1	132	5	137	0.7705882352941177
GT2.hmm	170	3300029066.a:Ga0169219_10002_31	263	1.3e-18	2	166	6	164	0.9647058823529412
GT4.hmm	160	3300029066.a:Ga0169219_10002_32	364	9.6e-37	12	152	192	327	0.875
GT4.hmm	160	3300029066.a:Ga0169219_10002_36	407	3.8e-35	12	150	225	369	0.8625
GT2.hmm	170	3300029066.a:Ga0169219_10002_51	280	3.9e-30	1	149	8	154	0.8705882352941177
GH25.hmm	177	3300029066.a:Ga0169219_10002_92	273	6.1e-54	1	177	70	245	0.9943502824858758
GH2.hmm	752	3300029066.a:Ga0169219_10003_129	1031	5.7e-213	14	751	26	886	0.9800531914893617
GH63.hmm	570	3300029066.a:Ga0169219_10003_133	784	7.2e-275	1	569	1	780	0.9964912280701754
AA7.hmm	458	3300029066.a:Ga0169219_10003_14	500	3.8e-18	12	193	53	241	0.3951965065502183
CE9.hmm	373	3300029066.a:Ga0169219_10003_181	378	2.3e-129	3	373	7	372	0.9919571045576407
GT51.hmm	177	3300029066.a:Ga0169219_10003_247	243	2.9e-57	9	177	60	228	0.9491525423728814
AA1.hmm	358	3300029066.a:Ga0169219_10003_62	471	6.2e-18	9	235	65	285	0.6312849162011173
GH102.hmm	157	3300029066.a:Ga0169219_10004_115	366	6.3e-41	51	157	150	257	0.6751592356687898
GH1.hmm	429	3300029066.a:Ga0169219_10004_206	478	2.6e-153	4	428	5	474	0.9883449883449883
GH23.hmm	135	3300029066.a:Ga0169219_10004_267	360	4.9e-21	16	121	207	353	0.7777777777777778
GT107.hmm	532	3300029066.a:Ga0169219_10004_276	676	5.4e-107	186	484	10	306	0.5601503759398496
GT107.hmm	532	3300029066.a:Ga0169219_10004_276	676	3.7e-148	126	503	279	649	0.7086466165413534
AA6.hmm	195	3300029066.a:Ga0169219_10004_49	184	1.7e-47	2	193	4	179	0.9794871794871794
GH103.hmm	295	3300029066.a:Ga0169219_10004_6	397	1.1e-95	7	294	98	390	0.9728813559322034
GH37.hmm	491	3300029066.a:Ga0169219_10005_163	566	4.2e-192	1	490	56	531	0.9959266802443992
GH23.hmm	135	3300029066.a:Ga0169219_10005_172	204	1.5e-16	14	118	52	197	0.7703703703703704
GH24.hmm	137	3300029066.a:Ga0169219_10005_239	178	1.5e-38	5	137	27	167	0.9635036496350365
GH2.hmm	752	3300029066.a:Ga0169219_10005_299	604	2.8e-111	24	486	7	588	0.6143617021276596
GH109.hmm	399	3300029066.a:Ga0169219_10005_306	347	6.5e-19	4	164	3	152	0.40100250626566414
GH65.hmm	372	3300029066.a:Ga0169219_10005_40	756	5.2e-137	2	371	299	674	0.9919354838709677
GH109.hmm	399	3300029066.a:Ga0169219_10005_41	352	8.7e-20	5	161	9	157	0.39097744360902253
GH13_18.hmm	343	3300029066.a:Ga0169219_10005_47	560	6.2e-151	1	343	81	423	0.9970845481049563
AA6.hmm	195	3300029066.a:Ga0169219_10006_105	199	1.5e-83	1	194	3	194	0.9897435897435898
GT2.hmm	170	3300029066.a:Ga0169219_10006_138	838	1.6e-24	2	168	236	418	0.9764705882352941
GH73.hmm	128	3300029066.a:Ga0169219_10006_169	314	1.7e-34	5	127	160	295	0.953125
GH3.hmm	216	3300029066.a:Ga0169219_10006_194	342	7.6e-52	10	216	56	278	0.9537037037037037
GH24.hmm	137	3300029066.a:Ga0169219_10006_251	166	5.2e-45	12	137	34	156	0.9124087591240876
GH13_29.hmm	344	3300029066.a:Ga0169219_10009_169	552	9.7e-185	1	344	29	371	0.997093023255814
