CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_73	71084	72226	-	HATPase_c
CGC1	TF	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_74	72296	72967	+	GerE
CGC1	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_75	73167	74096	-	null
CGC1	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_76	74167	76518	-	9.B.106.3.1
CGC1	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_77	76657	78237	+	null
CGC1	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_78	78368	79807	+	GT20| GT20
CGC1	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_79	79800	80669	+	null
CGC1	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_80	80882	82372	+	null
CGC1	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_81	82630	83754	+	3.A.1.1.23
CGC1	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_82	83946	85235	+	null
CGC1	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_83	85407	86198	-	9.B.158.1.1
CGC2	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_175	191383	192519	-	AAA
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_176	192516	193226	-	null
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_177	193363	194367	-	GH109
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_178	194626	198405	+	GH26| CBM23|CBM23| GH26
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_179	198518	201232	-	null
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_180	201310	202161	-	null
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_181	202353	203459	-	3.A.1.5.35
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_182	203456	204448	-	3.A.1.5.14
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_183	204451	205428	-	3.A.1.5.6
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_184	205425	206543	-	3.A.1.5.36
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_185	206662	208359	-	3.A.1.5.6
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_186	208509	211076	-	 GH3|GH3
CGC2	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_187	211181	211876	+	TetR_N
CGC2	TF	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_188	211950	212279	+	Trans_reg_C
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_189	212361	213584	-	null
CGC2	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_190	213804	215261	+	AAA
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_191	215287	216363	+	null
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_192	216446	217270	-	null
CGC2	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_193	217293	218246	+	HhH-GPD
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_194	218260	218781	-	null
CGC2	TF	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_195	218804	219808	-	Crp
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_196	220064	221809	+	null
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_197	221892	222638	+	1.A.8.2.6
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_198	222685	224208	+	null
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_199	224426	228844	+	null
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_200	228907	229953	-	 GH43_1|GH43_1
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_201	230029	230868	+	null
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_202	230875	231918	-	GH109
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_203	232536	232952	-	null
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_204	235027	235119	+	null
CGC2	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_205	235651	238239	-	3.A.9.1.2
CGC2	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_206	238599	239873	+	CBM2| CBM2
CGC2	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_207	240076	240912	-	null
CGC2	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_208	241033	241632	+	TetR_N
CGC3	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_212	244492	245502	-	2.A.4.6.1
CGC3	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_213	245499	246998	-	2.A.49.7.3
CGC3	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_214	247056	247790	+	null
CGC3	STP	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_215	247787	248659	+	LysR_substrate
CGC3	null	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_216	248674	249075	-	null
CGC3	TF	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_217	249135	249491	-	MerR
CGC3	TC	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_218	249529	250482	-	8.A.5.1.6
CGC3	CAZyme	3300012845.a:Ga0160460_100007	3300012845.a:Ga0160460_100007_219	250624	253101	-	 GT35|GT35
