HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	3300014558.a:Ga0134417_100005_155	673	2.2e-81	30	471	17	552	0.586436170212766
GT2.hmm	170	3300014558.a:Ga0134417_100005_173	374	7.6e-29	1	131	4	132	0.7647058823529411
GT2.hmm	170	3300014558.a:Ga0134417_100005_197	242	1.9e-25	2	168	5	170	0.9764705882352941
GT2.hmm	170	3300014558.a:Ga0134417_100005_88	329	7.5e-33	1	168	17	179	0.9823529411764705
GT4.hmm	160	3300014558.a:Ga0134417_100010_216	372	8.7e-30	9	154	198	339	0.90625
GH23.hmm	135	3300014558.a:Ga0134417_100010_30	451	1.2e-24	2	121	154	290	0.8814814814814815
CBM50.hmm	40	3300014558.a:Ga0134417_100010_30	451	2e-16	1	39	406	448	0.95
GT2.hmm	170	3300014558.a:Ga0134417_100012_112	337	1.5e-24	2	167	6	181	0.9705882352941176
GT28.hmm	157	3300014558.a:Ga0134417_100012_116	373	7.3e-23	3	153	211	358	0.9554140127388535
GH13_8.hmm	293	3300014558.a:Ga0134417_100012_198	685	3.4e-135	1	293	234	524	0.9965870307167235
GH23.hmm	135	3300014558.a:Ga0134417_100012_210	304	9.5e-29	2	119	87	217	0.8666666666666667
GT2.hmm	170	3300014558.a:Ga0134417_100013_140	277	1.4e-17	1	168	3	191	0.9823529411764705
GT2.hmm	170	3300014558.a:Ga0134417_100013_161	310	1.4e-29	1	129	6	130	0.7529411764705882
GT51.hmm	177	3300014558.a:Ga0134417_100013_188	785	3.4e-65	1	177	68	256	0.9943502824858758
CE11.hmm	271	3300014558.a:Ga0134417_100028_101	464	8.6e-94	1	270	5	298	0.992619926199262
GH31.hmm	427	3300014558.a:Ga0134417_100030_16	513	3.9e-43	46	420	155	509	0.8758782201405152
GH23.hmm	135	3300014558.a:Ga0134417_100030_60	444	2e-22	11	121	280	435	0.8148148148148148
GH2.hmm	752	3300014558.a:Ga0134417_100030_79	481	4.9e-55	68	393	101	468	0.4321808510638298
GT5.hmm	472	3300014558.a:Ga0134417_100050_12	272	5.8e-41	1	211	5	226	0.4449152542372881
GH57.hmm	383	3300014558.a:Ga0134417_100050_75	416	6.1e-59	2	309	6	321	0.8015665796344648
GT4.hmm	160	3300014558.a:Ga0134417_100050_76	436	3.1e-34	8	155	255	399	0.91875
GH133.hmm	372	3300014558.a:Ga0134417_100050_77	647	2.8e-104	9	372	288	634	0.9758064516129032
GT3.hmm	637	3300014558.a:Ga0134417_100050_78	1420	4.1e-114	1	349	17	352	0.5463108320251178
GT35.hmm	674	3300014558.a:Ga0134417_100050_78	1420	2.3e-119	210	553	836	1197	0.5089020771513353
GH130.hmm	296	3300014558.a:Ga0134417_100060_43	349	1e-78	48	295	102	346	0.8344594594594594
GT19.hmm	354	3300014558.a:Ga0134417_100060_73	393	4.7e-112	2	352	4	356	0.9887005649717514
GT4.hmm	160	3300014558.a:Ga0134417_100060_78	360	1.5e-36	6	156	179	328	0.9375
GT2.hmm	170	3300014558.a:Ga0134417_100060_79	280	1.3e-18	1	109	8	116	0.6352941176470588
GT30.hmm	177	3300014558.a:Ga0134417_100084_31	414	6.4e-46	12	176	46	206	0.9265536723163842
GT2.hmm	170	3300014558.a:Ga0134417_100119_6	305	3.4e-29	1	167	7	177	0.9764705882352941
GT28.hmm	157	3300014558.a:Ga0134417_100149_28	372	8.6e-44	1	157	195	356	0.9936305732484076
GH73.hmm	128	3300014558.a:Ga0134417_100149_40	278	1.5e-35	2	128	36	165	0.984375
GT9.hmm	225	3300014558.a:Ga0134417_100149_42	354	2.8e-35	3	216	78	321	0.9466666666666667
GT2.hmm	170	3300014558.a:Ga0134417_100149_54	331	7.3e-24	1	118	10	131	0.6882352941176471
CE1.hmm	227	3300014558.a:Ga0134417_100236_18	718	6.6e-20	5	211	465	694	0.9074889867841409
CE4.hmm	130	3300014558.a:Ga0134417_100286_23	241	3.9e-26	7	119	23	131	0.8615384615384616
GH2.hmm	752	3300014558.a:Ga0134417_100495_24	575	1.9e-46	75	398	88	454	0.4295212765957447
