HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23.hmm	135	3300011536.a:Ga0120901_10002_169	1018	5.1e-25	3	134	141	289	0.9703703703703703
GT19.hmm	354	3300011536.a:Ga0120901_10002_221	455	2.2e-124	1	353	53	433	0.9943502824858758
GH103.hmm	295	3300011536.a:Ga0120901_10002_228	448	5.3e-101	1	294	83	371	0.9932203389830508
AA6.hmm	195	3300011536.a:Ga0120901_10002_277	202	8.6e-65	2	194	6	196	0.9846153846153847
GT51.hmm	177	3300011536.a:Ga0120901_10002_314	892	3.4e-60	10	176	201	370	0.9378531073446328
GT73.hmm	245	3300011536.a:Ga0120901_10002_328	285	4.7e-53	6	240	34	277	0.9551020408163265
GT4.hmm	160	3300011536.a:Ga0120901_10002_329	366	2.1e-29	7	153	194	333	0.9125
GT25.hmm	181	3300011536.a:Ga0120901_10002_330	252	7.4e-35	1	180	1	177	0.988950276243094
GT4.hmm	160	3300011536.a:Ga0120901_10002_331	366	7.4e-27	10	153	201	337	0.89375
GT4.hmm	160	3300011536.a:Ga0120901_10002_355	507	1.3e-32	7	156	250	397	0.93125
GT20.hmm	475	3300011536.a:Ga0120901_10002_401	472	9.4e-144	13	474	2	465	0.9705263157894737
GT4.hmm	160	3300011536.a:Ga0120901_10002_5	363	5e-39	9	153	192	332	0.9
GT30.hmm	177	3300011536.a:Ga0120901_10002_509	458	1.3e-57	4	175	34	213	0.9661016949152542
GH23.hmm	135	3300011536.a:Ga0120901_10002_555	488	5.2e-21	13	114	336	460	0.7481481481481481
GT4.hmm	160	3300011536.a:Ga0120901_10002_6	371	2.7e-20	6	149	196	334	0.89375
GH3.hmm	216	3300011536.a:Ga0120901_10002_666	347	5.3e-46	10	214	58	278	0.9444444444444444
GT51.hmm	177	3300011536.a:Ga0120901_10002_681	909	1.2e-66	2	176	70	243	0.9830508474576272
AA4.hmm	522	3300011536.a:Ga0120901_10002_88	459	6.4e-26	12	248	4	228	0.4521072796934866
GT4.hmm	160	3300011536.a:Ga0120901_10002_9	379	4e-34	9	160	202	353	0.94375
CE1.hmm	227	3300011536.a:Ga0120901_10004_105	295	1.2e-54	1	225	21	290	0.986784140969163
GT2.hmm	170	3300011536.a:Ga0120901_10006_10	270	1.3e-26	1	133	4	140	0.7764705882352941
GT14.hmm	250	3300011536.a:Ga0120901_10006_11	307	8.8e-32	4	222	14	225	0.872
GH23.hmm	135	3300011536.a:Ga0120901_10006_117	255	1.3e-35	10	126	111	225	0.8592592592592593
GT52.hmm	263	3300011536.a:Ga0120901_10006_12	334	4.1e-62	11	262	38	298	0.9543726235741445
GH23.hmm	135	3300011536.a:Ga0120901_10006_122	662	1.9e-25	15	123	511	638	0.8
GT28.hmm	157	3300011536.a:Ga0120901_10006_15	561	8.3e-16	17	148	215	346	0.8343949044585988
GT2.hmm	170	3300011536.a:Ga0120901_10006_23	285	5.6e-33	1	168	5	158	0.9823529411764705
GT2.hmm	170	3300011536.a:Ga0120901_10006_25	300	8.3e-24	2	125	5	129	0.7235294117647059
AA3.hmm	618	3300011536.a:Ga0120901_10006_253	576	4.9e-41	90	406	8	554	0.511326860841424
GT4.hmm	160	3300011536.a:Ga0120901_10006_28	409	1.3e-31	6	157	211	368	0.94375
GT51.hmm	177	3300011536.a:Ga0120901_10015_134	259	6.2e-59	7	176	80	249	0.9548022598870056
GT28.hmm	157	3300011536.a:Ga0120901_10015_77	373	1.6e-54	2	157	194	358	0.9872611464968153
CE11.hmm	271	3300011536.a:Ga0120901_10015_83	292	7.4e-111	1	270	3	275	0.992619926199262
AA4.hmm	522	3300011536.a:Ga0120901_10022_23	476	8.8e-22	13	259	13	251	0.47126436781609193
GT2.hmm	170	3300011536.a:Ga0120901_10022_6	245	2.5e-24	1	113	5	115	0.6588235294117647
GH103.hmm	295	3300011536.a:Ga0120901_10022_71	462	1.5e-100	1	294	33	323	0.9932203389830508
AA4.hmm	522	3300011536.a:Ga0120901_10035_96	259	5.9e-23	48	258	41	244	0.40229885057471265
