MAGs	PULS	CAZY	Ecosystem	Class	Order	Family
2199352035_5	8	128	Solid_waste	Bacteroidia	Chitinophagales	Chitinophagaceae
3300000052_6	38	43	Biotransformation	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae
3300000865_14	39	8	Aquatic	Nitrososphaeria	Nitrososphaerales	UBA213
3300002481_19	81	8	Aquatic	Archaeoglobi	Archaeoglobales	Archaeoglobaceae
3300005062_4	123	55	Aquatic	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae
3300005298_15	13	80	Aquatic	Dictyoglomia	Dictyoglomales	Dictyoglomaceae
3300005300_15	47	9	Aquatic	Archaeoglobi	Archaeoglobales	Archaeoglobaceae
3300005460_44	7	44	Mammals	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300005958_1	65	30	Aquatic	Thermoprotei	Sulfolobales	Sulfolobaceae
3300005964_4	66	21	Aquatic	Thermoprotei	Sulfolobales	Sulfolobaceae
3300005977_5	80	42	Aquatic	Thermoprotei	Sulfolobales	Sulfolobaceae
3300006249_7	103	32	Human	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
3300006250_9	36	36	Human	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300006307_14	34	28	Human	Negativicutes	Veillonellales	Veillonellaceae
3300006312_13	52	22	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300006464_8	12	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300006476_10	30	66	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300006487_4	62	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300006488_1	40	39	Human	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300006510_1	41	43	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300006523_8	16	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300006568_8	20	65	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300007039_1	35	31	Human	Gammaproteobacteria	Enterobacterales	Pasteurellaceae
3300007043_6	51	70	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300007098_3	125	61	Human	Bacteroidia	Bacteroidales	Marinifilaceae
3300007109_9	50	45	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300007135_8	86	21	Human	Negativicutes	Veillonellales	Veillonellaceae
3300007222_12	18	118	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300007298_11	30	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300007313_3	40	72	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300007316_22	46	33	Human	Bacilli	Lactobacillales	Aerococcaceae
3300007345_6	37	49	Aquatic	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae
3300007345_7	31	65	Aquatic	Alphaproteobacteria	Rhizobiales	Devosiaceae
3300007346_4	14	65	Aquatic	Alphaproteobacteria	Rhizobiales	Devosiaceae
3300007360_8	58	21	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300007498_10	22	81	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300007500_8	55	33	Human	Spirochaetia	Treponematales	Treponemataceae
3300007501_11	35	88	Human	Bacilli	Haloplasmatales	Turicibacteraceae
3300007527_8	99	33	Human	Spirochaetia	Treponematales	Treponemataceae
3300007566_14	95	26	Human	Spirochaetia	Treponematales	Treponemataceae
3300007705_5	11	113	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300007796_19	64	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300007806_6	10	117	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300007853_2	54	65	Human	Bacteroidia	Bacteroidales	Marinifilaceae
3300007853_9	8	156	Human	Bacteroidia	Bacteroidales	Coprobacteraceae
3300007874_1	37	39	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300007921_6	13	124	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008060_4	29	171	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300008060_5	13	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008073_10	36	22	Human	Negativicutes	Veillonellales	Veillonellaceae
3300008101_9	16	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008102_6	68	30	Human	Bacteroidia	Flavobacteriales	Weeksellaceae
3300008103_10	7	114	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008134_16	35	30	Human	Bacteroidia	Flavobacteriales	Weeksellaceae
3300008136_4	50	80	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300008153_7	31	30	Human	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae
3300008268_8	104	67	Human	Bacteroidia	Bacteroidales	Marinifilaceae
3300008269_26	36	6	Human	Clostridia	Peptostreptococcales	Anaerovoracaceae
3300008325_2	20	52	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300008361_9	19	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008404_7	20	61	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300008405_8	41	31	Human	Bacteroidia	Flavobacteriales	Weeksellaceae
3300008431_1	42	30	Human	Gammaproteobacteria	Enterobacterales	Pasteurellaceae
3300008485_3	34	23	Human	Negativicutes	Veillonellales	Veillonellaceae
3300008512_6	7	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008518_4	31	66	Human	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300008575_24	66	26	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300008638_6	29	66	Human	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300008645_7	73	51	Human	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300008726_4	50	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008728_11	16	82	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300008734_6	34	81	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300008744_9	47	120	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300009503_166	56	17	Aquatic	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae
3300010153_10	47	28	Aquatic	Rhodothermia	Balneolales	Balneolaceae
3300010260_14	50	10	Animal	Clostridia	Tissierellales	Peptoniphilaceae
3300010262_6	93	134	Animal	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300010263_27	67	33	Bioreactor	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae
3300010263_33	49	16	Bioreactor	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae
3300010263_6	68	102	Bioreactor	Clostridia	Acetivibrionales	Acetivibrionaceae
3300010266_9	94	65	Animal	Bacilli	Lactobacillales	Enterococcaceae
3300010270_14	48	58	Animal	Spirochaetia	Treponematales	Treponemataceae
3300010271_27	69	34	Bioreactor	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae
3300010279_4	58	119	Animal	Clostridia	Oscillospirales	Ruminococcaceae
3300010280_15	10	198	Animal	Bacteroidia	Bacteroidales	Bacteroidaceae
3300010280_19	61	54	Animal	Clostridia	Lachnospirales	Lachnospiraceae
3300010280_23	27	73	Animal	Bacilli	Lactobacillales	Enterococcaceae
3300010280_36	19	56	Animal	Bacilli	Lactobacillales	Streptococcaceae
3300010280_9	73	47	Animal	Clostridia	Peptostreptococcales	Peptostreptococcaceae
3300010287_45	37	39	Bioreactor	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae
3300011134_3	39	52	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011151_2	50	55	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011185_4	70	26	Aquatic	Halobacteria	Halobacteriales	Haloferacaceae
3300011209_1	67	62	Built_environment	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
3300011226_3	24	67	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011238_3	61	97	Built_environment	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300011348_1	22	49	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300011360_1	60	100	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011386_4	45	40	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011452_1	38	78	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300011452_2	46	39	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011454_1	29	98	Built_environment	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300011456_2	20	76	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300011511_6	8	74	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300011536_3	12	54	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300011548_2	42	38	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011569_3	14	59	Built_environment	Bacteroidia	Bacteroidales	Dysgonomonadaceae
3300011570_1	29	64	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300011571_4	73	56	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011575_5	63	22	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011584_2	17	75	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300011592_2	93	54	Built_environment	Actinobacteria	Actinomycetales	Microbacteriaceae
3300011593_3	61	39	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011604_4	8	57	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300011609_3	82	52	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011617_1	41	81	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300011631_3	52	39	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011634_5	21	72	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011636_3	21	77	Built_environment	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
3300011650_1	63	75	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300011656_2	38	44	Built_environment	Bacilli	Lactobacillales	Lactobacillaceae
3300011668_4	48	49	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011682_3	5	66	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300011692_3	65	57	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011724_4	38	39	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011729_6	8	57	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300011744_3	63	24	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011747_4	55	40	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011755_2	11	88	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011759_3	34	67	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011770_4	13	72	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011778_5	33	32	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011783_5	71	50	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011799_3	105	109	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011817_1	98	50	Built_environment	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
3300011819_2	11	48	Human	Bacilli	Lactobacillales	Streptococcaceae
3300011822_4	47	88	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011824_5	8	58	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011827_5	72	69	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011831_2	18	222	Built_environment	Bacteroidia	Bacteroidales	Dysgonomonadaceae
3300011834_5	30	73	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011834_8	11	60	Built_environment	Bacteroidia	Bacteroidales	Dysgonomonadaceae
3300011850_4	93	48	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300011866_4	89	49	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011867_3	23	119	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300011869_5	56	50	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011871_6	14	57	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011886_5	54	50	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011894_4	13	108	Built_environment	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300011900_5	14	72	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011904_2	15	155	Built_environment	Clostridia	Lachnospirales	Lachnospiraceae
