Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300014048.a:Ga0121523_100003_119	2.4.1.-:2	GH13_1(110-521)+GH70(334-729)	GH70_e2	GH70	Y(1-31)	3
3300014048.a:Ga0121523_100003_140	-	GT4(181-321)	GT4_e2192	-	N	2
3300014048.a:Ga0121523_100003_144	-	GT4(178-330)	GT4_e1812	-	N	2
3300014048.a:Ga0121523_100003_206	-	GT4(190-342)	GT4_e2574	GT4	N	3
3300014048.a:Ga0121523_100003_226	3.2.1.-:11|3.2.1.17:2	GH73(1047-1175)	GH73_e162	GH73	Y(1-33)	3
3300014048.a:Ga0121523_100003_237	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(28-356)	GH13_e122	GH13_31	N	3
3300014048.a:Ga0121523_100003_269	-	GT2(5-148)	GT2	GT2	N	3
3300014048.a:Ga0121523_100003_33	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(2-464)	GH1_e115	GH1	N	3
3300014048.a:Ga0121523_100003_480	-	GT2(5-130)	GT2	-	N	2
3300014048.a:Ga0121523_100003_510	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	GH13_14(261-573)	CBM48_e14+GH13_e95	CBM48+GH13_14	N	3
3300014048.a:Ga0121523_100003_538	-	GT51(87-275)	GT51_e171	GT51	N	3
3300014048.a:Ga0121523_100003_59	3.2.1.93:2	GH13_29(28-365)	GH13_e1	GH13_29	N	3
3300014048.a:Ga0121523_100003_631	-	GT2(63-328)	GT2	GT2	N	3
3300014048.a:Ga0121523_100003_7	-	AA6(5-196)	AA6_e2	-	N	2
3300014048.a:Ga0121523_100009_252	2.4.1.-:1	GT4(197-346)	GT4_e1442	GT4	N	3
3300014048.a:Ga0121523_100009_268	2.4.1.129:3	GT51(98-266)	GT51_e113	GT51	N	3
3300014048.a:Ga0121523_100009_297	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(28-377)	GH13_e122	GH13_31	N	3
3300014048.a:Ga0121523_100009_347	3.2.1.54:37|3.2.1.133:20|3.2.1.135:9|3.2.1.54:7|3.2.1.133:3|3.2.1.135:2	CBM34(27-159)+GH13_20(207-502)	CBM34_e0+GH13_e225	CBM34+GH13_20	N	3
3300014048.a:Ga0121523_100009_73	-	GT28(192-347)	GT28_e1	GT28	N	3
3300014048.a:Ga0121523_100013_112	-	CE14(8-126)	CE14_e39	-	N	2
