HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	3300007360.a:Ga0104766_1000005_125	373	8.5e-16	1	115	4	113	0.6705882352941176
GT2.hmm	170	3300007360.a:Ga0104766_1000005_146	240	1.5e-27	2	166	9	166	0.9647058823529412
GT2.hmm	170	3300007360.a:Ga0104766_1000005_148	260	6.4e-17	3	158	9	165	0.9117647058823529
GT51.hmm	177	3300007360.a:Ga0104766_1000005_21	718	2e-65	12	176	82	246	0.9265536723163842
GH13_9.hmm	301	3300007360.a:Ga0104766_1000005_234	593	2.9e-119	1	301	161	450	0.9966777408637874
GH31.hmm	427	3300007360.a:Ga0104766_1000005_240	656	3.9e-134	2	425	132	610	0.990632318501171
GH18.hmm	296	3300007360.a:Ga0104766_1000005_3	624	1.3e-32	72	283	379	613	0.7128378378378378
GH77.hmm	494	3300007360.a:Ga0104766_1000005_46	494	3.1e-173	1	491	8	488	0.9919028340080972
CBM34.hmm	120	3300007360.a:Ga0104766_1000005_80	544	7.1e-25	2	120	7	123	0.9833333333333333
GH13_20.hmm	300	3300007360.a:Ga0104766_1000005_80	544	3.5e-117	1	300	171	466	0.9966666666666667
GT2.hmm	170	3300007360.a:Ga0104766_1000009_147	318	5.4e-27	2	167	7	174	0.9705882352941176
GT28.hmm	157	3300007360.a:Ga0104766_1000009_186	355	1.2e-39	2	149	188	336	0.9363057324840764
CBM48.hmm	76	3300007360.a:Ga0104766_1000009_207	640	5.2e-18	2	70	27	112	0.8947368421052632
GH13_9.hmm	301	3300007360.a:Ga0104766_1000009_207	640	4.1e-157	1	301	183	483	0.9966777408637874
GH13_39.hmm	316	3300007360.a:Ga0104766_1000009_60	703	2.1e-93	1	316	197	577	0.9968354430379747
GT35.hmm	674	3300007360.a:Ga0104766_1000009_87	817	2.5e-284	1	674	95	810	0.9985163204747775
GH13_11.hmm	351	3300007360.a:Ga0104766_1000014_141	593	4.3e-48	135	351	240	428	0.6153846153846154
GH13_28.hmm	266	3300007360.a:Ga0104766_1000014_197	700	7.7e-99	1	265	85	361	0.9924812030075187
GH5_2.hmm	237	3300007360.a:Ga0104766_1000014_202	324	5.2e-96	2	235	42	279	0.9831223628691983
CE4.hmm	130	3300007360.a:Ga0104766_1000029_108	256	2.6e-29	3	124	48	171	0.9307692307692308
CE4.hmm	130	3300007360.a:Ga0104766_1000029_140	319	9e-21	4	109	106	216	0.8076923076923077
CBM41.hmm	102	3300007360.a:Ga0104766_1000035_99	875	4.4e-18	2	95	54	147	0.9117647058823529
GH13_14.hmm	289	3300007360.a:Ga0104766_1000035_99	875	8.8e-110	1	289	421	725	0.9965397923875432
GH13_9.hmm	301	3300007360.a:Ga0104766_1000050_109	673	1.2e-40	97	297	334	530	0.6644518272425249
GT2.hmm	170	3300007360.a:Ga0104766_1000050_115	321	9.9e-32	1	167	5	167	0.9764705882352941
GT2.hmm	170	3300007360.a:Ga0104766_1000099_100	317	5.8e-29	1	109	8	114	0.6352941176470588
CE4.hmm	130	3300007360.a:Ga0104766_1000099_15	326	3.5e-23	7	113	122	229	0.8153846153846154
GH13_36.hmm	314	3300007360.a:Ga0104766_1000099_30	544	8.9e-98	1	314	71	394	0.9968152866242038
GH77.hmm	494	3300007360.a:Ga0104766_1000099_36	1258	3.8e-169	1	492	13	492	0.9939271255060729
GT35.hmm	674	3300007360.a:Ga0104766_1000099_36	1258	1.2e-223	2	673	582	1256	0.9955489614243324
CE4.hmm	130	3300007360.a:Ga0104766_1000099_63	241	4.2e-34	6	112	55	163	0.8153846153846154
GH13.hmm	299	3300007360.a:Ga0104766_1000125_19	434	2.5e-48	12	290	25	316	0.9297658862876255
GH133.hmm	372	3300007360.a:Ga0104766_1000125_22	680	1e-117	4	372	309	672	0.989247311827957
GT2.hmm	170	3300007360.a:Ga0104766_1000127_60	340	3.6e-29	1	107	6	110	0.6235294117647059
CE4.hmm	130	3300007360.a:Ga0104766_1000127_71	443	2.2e-16	6	125	254	375	0.9153846153846154
CE4.hmm	130	3300007360.a:Ga0104766_1000253_23	492	8.1e-26	7	124	301	422	0.9
