Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300017646.a:Ga0182737_1000030_251	-	CE11(5-232)	CE11_e18	CE11	N	3
3300017646.a:Ga0182737_1000030_267	-	GT2(3-163)	GT2	-	N	2
3300017646.a:Ga0182737_1000030_268	-	GT4(194-341)	GT4_e3423	GT4	N	3
3300017646.a:Ga0182737_1000030_272	-	GH5_55(28-318)	GH5_e125	-	Y(1-19)	2
3300017646.a:Ga0182737_1000030_288	-	GT4(196-340)	GT4_e2566	GT4	N	3
3300017646.a:Ga0182737_1000030_290	-	GH3(101-323)	GH3_e104	GH3	Y(1-20)	3
3300017646.a:Ga0182737_1000030_300	-	GH73(32-161)	GH73_e88	-	Y(1-20)	2
3300017646.a:Ga0182737_1000030_40	-	GT2(4-185)	GT2	-	N	2
3300017646.a:Ga0182737_1000042_154	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(263-758)	GH92_e0	GH92	Y(1-19)	3
3300017646.a:Ga0182737_1000042_188	-	GT2(13-163)	GT2	-	N	2
3300017646.a:Ga0182737_1000042_213	-	GH171(50-408)	GH171_e3	GH171	Y(1-24)	3
3300017646.a:Ga0182737_1000042_244	3.2.1.25:4	GH2(10-660)	GH2_e80	GH2	N	3
3300017646.a:Ga0182737_1000042_263	-	GT32(21-96)	GT32_e82	GT32	N	3
3300017646.a:Ga0182737_1000042_273	-	GT2(6-155)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000042_32	-	CE1(37-256)	-	-	Y(1-24)	1
3300017646.a:Ga0182737_1000042_48	-	GT2(9-173)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000055_125	-	GT51(76-252)	GT51_e181	GT51	N	3
3300017646.a:Ga0182737_1000055_179	-	GT19(4-351)	GT19_e2	GT19	N	3
3300017646.a:Ga0182737_1000055_48	-	GT5(5-224)	GT5_e28	GT5	N	3
3300017646.a:Ga0182737_1000055_82	-	GH141(20-570)	GH141_e4	-	Y(1-18)	2
3300017646.a:Ga0182737_1000055_86	-	GT4(196-352)	GT4_e3054	-	N	2
3300017646.a:Ga0182737_1000084_10	-	GT4(150-306)	GT4_e85	-	N	2
3300017646.a:Ga0182737_1000084_11	-	GT4(190-338)	GT4_e881	-	N	2
3300017646.a:Ga0182737_1000084_129	-	GT9(78-308)	GT9_e65	-	N	2
3300017646.a:Ga0182737_1000084_47	3.2.1.1:1	GH13(55-357)	GH13_e187	GH13	Y(1-21)	3
3300017646.a:Ga0182737_1000084_48	3.2.1.1:1	GH13(158-483)	GH13_e235	GH13	Y(1-19)	3
3300017646.a:Ga0182737_1000084_49	3.2.1.3:2|3.2.1.20:2	GH97(10-719)	GH97_e22	GH97	Y(1-21)	3
3300017646.a:Ga0182737_1000084_50	2.4.1.8:9	GH65(324-703)	GH65_e0	GH65	N	3
3300017646.a:Ga0182737_1000084_57	-|-	GH13_10(394-555)	CBM48_e54+GH13_e156	CBM48+GH13	Y(1-32)	3
3300017646.a:Ga0182737_1000084_7	-	GT4(196-349)	GT4_e1922	-	N	2
3300017646.a:Ga0182737_1000084_84	-	GT2(6-170)	GT2	-	N	2
3300017646.a:Ga0182737_1000084_96	-	GH109(2-145)	-	-	N	1
3300017646.a:Ga0182737_1000086_139	-	GT2(5-193)	GT2	-	N	2
3300017646.a:Ga0182737_1000086_140	-	GT2(6-124)	GT2	-	N	2
3300017646.a:Ga0182737_1000086_17	-	GT51(58-220)	GT51_e13	GT51	N	3
3300017646.a:Ga0182737_1000110_115	-|-	GT9(56-294)+GT2(356-480)	GT9_e319+GT2	GT2+GT9	N	3
3300017646.a:Ga0182737_1000134_25	-	GT83(12-508)	GT83_e70	GT83	N	3
3300017646.a:Ga0182737_1000134_26	-	GT2(11-148)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000208_16	-	AA4(14-239)	AA4_e1	-	N	2
3300017646.a:Ga0182737_1000208_22	-	GT83(6-415)	GT83_e95	-	Y(1-24)	2
3300017646.a:Ga0182737_1000208_83	-	CE14(44-155)	-	-	Y(1-20)	1
3300017646.a:Ga0182737_1000233_16	-	CE14(6-111)	CE14_e27	-	N	2
3300017646.a:Ga0182737_1000233_63	-	CBM9(44-217)	-	CBM0	Y(1-23)	2
3300017646.a:Ga0182737_1000233_68	-	GT83(10-331)	GT83_e87	-	Y(1-22)	2
3300017646.a:Ga0182737_1000249_25	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1|-	GH92(223-661)	GH92_e0+CBM32_e198	GH92	Y(1-18)	3
3300017646.a:Ga0182737_1000249_79	-	GT2(7-137)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000249_88	-	GT2(9-170)	GT2	-	N	2
3300017646.a:Ga0182737_1000249_90	-	GT4(207-352)	GT4_e2376	GT4	N	3
3300017646.a:Ga0182737_1000249_91	-	GT2(5-134)	GT2	-	N	2
3300017646.a:Ga0182737_1000254_10	-	GT2(3-125)	GT2	-	N	2
3300017646.a:Ga0182737_1000254_2	-	GT2(9-133)	GT2	-	N	2
3300017646.a:Ga0182737_1000254_5	-	GT4(213-359)	GT4_e3889	GT4	N	3
3300017646.a:Ga0182737_1000254_66	-	GT2(4-167)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000254_7	-	GT4(180-323)	GT4_e881	GT4	N	3
3300017646.a:Ga0182737_1000254_8	-	GT2(4-166)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000279_16	-	GT4(208-366)	GT4_e3206	GT4	N	3
3300017646.a:Ga0182737_1000279_62	-	CE4(62-181)	CE4_e122	-	N	2
3300017646.a:Ga0182737_1000279_68	-	GT2(12-135)	GT2	GT2	N	3
3300017646.a:Ga0182737_1000330_49	-	GT4(182-342)	GT4_e1757	GT4	N	3
3300017646.a:Ga0182737_1000330_51	-	GH130(249-478)	GH130_e14	GH130	N	3
3300017646.a:Ga0182737_1000330_64	-	GT51(48-213)	GT51_e99	-	N	2
3300017646.a:Ga0182737_1000365_18	3.2.1.52:18|3.2.1.-:1	GH20(133-480)	GH20_e12	GH20	Y(1-20)	3
3300017646.a:Ga0182737_1000365_5	-	CE1(388-583)	-	-	Y(1-20)	1
3300017646.a:Ga0182737_1000516_9	-	GT30(36-207)	GT30_e38	GT30	N	3
3300017646.a:Ga0182737_1000762_31	-	GT28(197-355)	GT28_e43	GT28	N	3
3300017646.a:Ga0182737_1000042_55	-	-	GT4_e2572	GT4	N	2
3300017646.a:Ga0182737_1000042_63	-	-	AA2_e1	AA0	N	2
3300017646.a:Ga0182737_1000030_215	-	-	CBM50_e391	-	N	1
3300017646.a:Ga0182737_1000055_92	-	-	GT4_e1691	GT4	N	2
3300017646.a:Ga0182737_1000134_126	-|-|-	-	CBM50_e181+CBM50_e601+CBM50_e861	CBM50	Y(1-20)	2
3300017646.a:Ga0182737_1000042_116	-	-	GT4_e2309	GT4	N	2
3300017646.a:Ga0182737_1000233_36	-	-	-	GH28	N	1
3300017646.a:Ga0182737_1000254_38	-	-	-	GT4	N	1
3300017646.a:Ga0182737_1000254_40	-	-	-	GT51	Y(1-21)	1
3300017646.a:Ga0182737_1000254_57	-	-	-	CBM5	Y(1-21)	1
3300017646.a:Ga0182737_1000254_64	-	-	-	GT2	N	1
3300017646.a:Ga0182737_1002952_5	-	-	-	GH13_11	N	1
3300017646.a:Ga0182737_1001076_22	-	-	-	GH1	N	1
3300017646.a:Ga0182737_1000208_87	-	-	-	CE8	N	1
3300017646.a:Ga0182737_1000086_19	-	-	-	GT47	N	1
3300017646.a:Ga0182737_1000042_49	-	-	-	GT83	N	1
3300017646.a:Ga0182737_1000042_90	-	-	-	GH5_11	N	1
3300017646.a:Ga0182737_1000042_193	-	-	-	GT2	N	1
3300017646.a:Ga0182737_1000042_232	-	-	-	GH97	Y(1-18)	1
3300017646.a:Ga0182737_1000042_233	-	-	-	GH1	N	1
3300017646.a:Ga0182737_1000042_268	-	-	-	GT2	N	1
3300017646.a:Ga0182737_1000055_6	-	-	-	GH28	N	1
3300017646.a:Ga0182737_1000055_165	-	-	-	GH28	N	1
3300017646.a:Ga0182737_1000055_186	-	-	-	GH13	N	1
3300017646.a:Ga0182737_1000055_195	-	-	-	GT4	N	1
3300017646.a:Ga0182737_1000249_84	-	-	-	GH0	N	1
3300017646.a:Ga0182737_1000249_85	-	-	-	GH0	N	1
3300017646.a:Ga0182737_1000030_72	-	-	-	GH39	N	1
3300017646.a:Ga0182737_1000030_83	-	-	-	GH65	Y(1-21)	1
3300017646.a:Ga0182737_1000030_121	-	-	-	GH38	N	1
3300017646.a:Ga0182737_1000030_169	-	-	-	GH13_31	N	1
3300017646.a:Ga0182737_1000368_46	-	-	-	GH36	N	1
3300017646.a:Ga0182737_1000279_25	-	-	-	GT58	N	1
3300017646.a:Ga0182737_1000110_57	-	-	-	GH13	N	1
3300017646.a:Ga0182737_1000084_16	-	-	-	GT2	N	1
3300017646.a:Ga0182737_1000084_39	-	-	-	GH13_30	N	1
3300017646.a:Ga0182737_1001365_14	-	-	-	GH1	N	1
3300017646.a:Ga0182737_1000134_68	-	-	-	GH13_26	N	1
3300017646.a:Ga0182737_1000134_97	-	-	-	GT2	N	1
