dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2	GT2:13	-	-	108	3300017652.a:Ga0182746_1000005_112	306	6.3e-40	1	107	6	112	0.9814814814814815	0.9814814814814815
GT4_e881	GT4:46	-	-	143	3300017652.a:Ga0182746_1000005_118	354	2.7e-59	2	141	185	324	0.972027972027972	0.972027972027972
GT4_e2309	GT4:202	-	-	138	3300017652.a:Ga0182746_1000005_386	413	1e-47	1	136	206	344	0.9782608695652174	0.9782608695652174
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	3300017652.a:Ga0182746_1000005_424	762	1.3e-216	1	493	264	758	0.9959514170040485	0.9959514170040485
GH2_e80	GH2:380	3.2.1.25:4	beta-mannan	707	3300017652.a:Ga0182746_1000005_514	794	9.6e-286	17	706	5	680	0.9745403111739745	0.9745403111739745
GT32_e82	GT32:42	-	-	77	3300017652.a:Ga0182746_1000005_533	264	2e-39	3	77	23	97	0.961038961038961	0.961038961038961
CE11_e18	CE11:339	-	-	269	3300017652.a:Ga0182746_1000022_252	465	8.9e-102	1	268	6	298	0.9925650557620818	0.9925650557620818
GH73_e88	GH73:188|CBM50:180	-	-	129	3300017652.a:Ga0182746_1000022_301	354	2e-66	2	128	35	161	0.9767441860465116	0.9767441860465116
GT2	GT2:26	-	-	146	3300017652.a:Ga0182746_1000024_203	329	2.3e-71	1	146	12	157	0.9931506849315068	0.9931506849315068
GT4_e1691	GT4:17	-	-	153	3300017652.a:Ga0182746_1000050_67	404	4.3e-57	1	149	221	369	0.9673202614379085	0.9673202614379085
GT4_e85	GT4:81	-	-	144	3300017652.a:Ga0182746_1000060_21	334	6e-27	5	139	158	300	0.9305555555555556	0.9305555555555556
GH13_e187	GH13:65	3.2.1.1:1	sucrose, starch	297	3300017652.a:Ga0182746_1000060_58	475	7.5e-149	1	297	56	358	0.9966329966329966	0.9966329966329966
GH13_e235	GH13:102	3.2.1.1:1	sucrose, starch	322	3300017652.a:Ga0182746_1000060_59	616	7.3e-169	1	321	159	482	0.9937888198757764	0.9937888198757764
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	3300017652.a:Ga0182746_1000060_60	724	0	4	688	15	719	0.9927431059506531	0.9927431059506531
GT2	GT2:377	-	-	167	3300017652.a:Ga0182746_1000060_95	240	5.4e-75	1	166	7	170	0.9880239520958084	0.9880239520958084
GT30_e38	GT30:395	-	-	163	3300017652.a:Ga0182746_1000108_13	416	3.8e-72	3	163	48	208	0.9815950920245399	0.9815950920245399
GT4_e3206	GT4:6	-	-	156	3300017652.a:Ga0182746_1000127_101	402	3.7e-41	2	153	214	365	0.967948717948718	0.967948717948718
CE4_e122	CE4:183|CBM18:1	-	-	119	3300017652.a:Ga0182746_1000127_55	259	1.3e-43	4	119	66	182	0.9663865546218487	0.9663865546218487
AA4_e1	AA4:19	-	-	525	3300017652.a:Ga0182746_1000176_16	461	2.2e-20	17	236	14	220	0.41714285714285715	0.41714285714285715
GT83_e95	GT83:17	-	-	447	3300017652.a:Ga0182746_1000176_22	537	5.1e-41	5	417	8	426	0.9217002237136466	0.9217002237136466
GT4_e1757	GT4:54	-	-	163	3300017652.a:Ga0182746_1000330_49	392	1.7e-69	2	161	182	341	0.9754601226993865	0.9754601226993865
GH130_e14	GH130:473	-	-	225	3300017652.a:Ga0182746_1000330_51	482	7.9e-104	1	225	256	480	0.9955555555555555	0.9955555555555555
GT51_e99	GT51:592	-	-	164	3300017652.a:Ga0182746_1000330_64	228	1.6e-75	1	163	49	213	0.9878048780487805	0.9878048780487805
GT4_e2376	GT4:12	-	-	147	3300017652.a:Ga0182746_1000005_111	384	3.5e-59	3	145	211	353	0.9659863945578231	0.9659863945578231
GT2	GT2:10	-	-	198	3300017652.a:Ga0182746_1000005_113	307	6.1e-70	1	197	11	209	0.98989898989899	0.98989898989899
GT2	GT2:78|GT4:1|GT32:1	-	-	163	3300017652.a:Ga0182746_1000005_119	329	1e-66	1	163	5	167	0.9938650306748467	0.9938650306748467
GT2	GT2:6	-	-	120	3300017652.a:Ga0182746_1000005_121	253	1.6e-56	1	120	4	123	0.9916666666666667	0.9916666666666667
GT4_e2572	GT4:237	-	-	153	3300017652.a:Ga0182746_1000005_327	433	3.8e-53	2	152	246	396	0.9803921568627451	0.9803921568627451
AA2_e1	AA2:59	-	-	252	3300017652.a:Ga0182746_1000005_335	760	3.5e-20	14	110	88	185	0.38095238095238093	0.38095238095238093
GT2	GT2:97	-	-	162	3300017652.a:Ga0182746_1000005_458	296	2.9e-58	2	156	14	168	0.9506172839506173	0.9506172839506173
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	3300017652.a:Ga0182746_1000005_46	920	3.9e-195	5	451	219	659	0.902834008097166	0.902834008097166
CBM32_e198	CBM32:19|GH20:19	-	host glycan	96	3300017652.a:Ga0182746_1000005_46	920	1.2e-20	2	94	802	894	0.9583333333333334	0.9583333333333334
GH171_e3	GH171:806|GH3:1	-	-	343	3300017652.a:Ga0182746_1000005_483	410	1.7e-164	1	343	51	409	0.9970845481049563	0.9970845481049563
GH5_e125	GH5:10|GH5_55:1	-	-	274	3300017652.a:Ga0182746_1000022_273	445	2.4e-94	1	273	29	320	0.9927007299270073	0.9927007299270073
GT4_e2566	GT4:386|GH3:1	-	-	167	3300017652.a:Ga0182746_1000022_289	377	1.2e-69	5	160	192	347	0.9281437125748503	0.9281437125748503
CBM50_e181	CBM50:122|GH23:1	-	chitin, peptidoglycan	44	3300017652.a:Ga0182746_1000024_302	646	1.5e-16	1	43	25	67	0.9545454545454546	0.9545454545454546
CBM50_e601	CBM50:7	-	chitin, peptidoglycan	44	3300017652.a:Ga0182746_1000024_302	646	2.9e-17	1	44	102	144	0.9772727272727273	0.9772727272727273
CBM50_e861	CBM50:9	-	chitin, peptidoglycan	43	3300017652.a:Ga0182746_1000024_302	646	1.4e-18	1	42	220	261	0.9534883720930233	0.9534883720930233
GT2	GT2:21	-	-	144	3300017652.a:Ga0182746_1000034_90	262	5.3e-61	1	143	5	147	0.9861111111111112	0.9861111111111112
GT2	GT2:16	-	-	184	3300017652.a:Ga0182746_1000034_91	313	4e-75	1	184	7	192	0.9945652173913043	0.9945652173913043
GT51_e181	GT51:710	-	-	178	3300017652.a:Ga0182746_1000050_100	781	1.8e-74	2	177	78	251	0.9831460674157303	0.9831460674157303
GT19_e2	GT19:889	-	-	349	3300017652.a:Ga0182746_1000050_154	372	8e-167	1	349	5	352	0.997134670487106	0.997134670487106
GT5_e28	GT5:878	-	-	225	3300017652.a:Ga0182746_1000050_23	273	4.9e-104	1	223	6	228	0.9866666666666667	0.9866666666666667
GT4_e3054	GT4:16	-	-	147	3300017652.a:Ga0182746_1000050_61	394	1e-46	2	144	200	342	0.9659863945578231	0.9659863945578231
GT9_e65	GT9:196	-	-	249	3300017652.a:Ga0182746_1000060_140	338	3.2e-86	1	244	80	309	0.9759036144578314	0.9759036144578314
GT4_e881	GT4:46	-	-	143	3300017652.a:Ga0182746_1000060_22	360	1.2e-37	3	140	196	333	0.958041958041958	0.958041958041958
CBM48_e54	CBM48:183|GH13:183	-	glycogen	77	3300017652.a:Ga0182746_1000060_68	949	5.9e-34	2	76	255	329	0.961038961038961	0.961038961038961
GH13_e156	GH13:242|CBM48:233|GH13_30:1	-	sucrose	313	3300017652.a:Ga0182746_1000060_68	949	8.1e-138	3	313	397	719	0.9904153354632588	0.9904153354632588
GT83_e87	GT83:7|GT2:1	-	-	356	3300017652.a:Ga0182746_1000108_123	549	2e-29	16	308	19	294	0.8202247191011236	0.8202247191011236
CE14_e27	CE14:619	-	-	106	3300017652.a:Ga0182746_1000108_71	234	1.9e-50	1	106	7	112	0.9905660377358491	0.9905660377358491
GT28_e43	GT28:568	-	-	161	3300017652.a:Ga0182746_1000712_31	369	4.5e-64	1	161	197	356	0.9937888198757764	0.9937888198757764
GT2	GT2:13	-	-	144	3300017652.a:Ga0182746_1000005_100	336	3.2e-59	1	128	8	135	0.8819444444444444	0.8819444444444444
GT2	GT2:59	-	-	141	3300017652.a:Ga0182746_1000005_109	301	1.2e-52	1	127	10	136	0.8936170212765957	0.8936170212765957
GT4_e3889	GT4:44	-	-	145	3300017652.a:Ga0182746_1000005_116	388	4.4e-72	3	144	214	355	0.9724137931034482	0.9724137931034482
GT2	GT2:387	-	-	162	3300017652.a:Ga0182746_1000005_177	326	2.4e-71	1	161	5	166	0.9876543209876543	0.9876543209876543
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	3300017652.a:Ga0182746_1000005_252	743	3.5e-178	3	348	133	481	0.9829059829059829	0.9829059829059829
GT2	GT2:33	-	-	270	3300017652.a:Ga0182746_1000005_320	346	4.4e-123	1	255	10	264	0.9407407407407408	0.9407407407407408
GT2	GT2:444	-	-	314	3300017652.a:Ga0182746_1000005_543	337	1.4e-131	2	297	4	306	0.9394904458598726	0.9394904458598726
CBM50_e391	CBM50:1681	-	chitin, peptidoglycan	49	3300017652.a:Ga0182746_1000022_215	153	1.3e-28	1	49	102	150	0.9795918367346939	0.9795918367346939
GT2	GT2:19	-	-	165	3300017652.a:Ga0182746_1000022_268	294	1.9e-47	1	162	4	163	0.9757575757575757	0.9757575757575757
GT4_e3423	GT4:6	-	-	152	3300017652.a:Ga0182746_1000022_269	376	2.9e-70	2	152	194	344	0.9868421052631579	0.9868421052631579
GH3_e104	GH3:538|GT4:1	-	-	225	3300017652.a:Ga0182746_1000022_291	957	5e-107	1	225	101	324	0.9955555555555555	0.9955555555555555
GT2	GT2:11	-	-	222	3300017652.a:Ga0182746_1000022_40	356	2.6e-94	1	222	5	232	0.9954954954954955	0.9954954954954955
GT83_e70	GT83:12	-	-	477	3300017652.a:Ga0182746_1000024_202	529	1.1e-178	3	476	12	485	0.9916142557651991	0.9916142557651991
GT9_e319	GT9:50|GT2:6	-	-	236	3300017652.a:Ga0182746_1000024_63	621	8.1e-74	2	236	73	307	0.9915254237288136	0.9915254237288136
GT2	GT2:6|GT9:2	-	-	126	3300017652.a:Ga0182746_1000024_63	621	4.5e-49	1	126	372	496	0.9920634920634921	0.9920634920634921
GT51_e13	GT51:429	-	-	160	3300017652.a:Ga0182746_1000034_213	769	2.9e-77	2	159	63	220	0.98125	0.98125
GH141_e4	GH141:58|CBM6:2|CBM47:1	-	-	543	3300017652.a:Ga0182746_1000050_57	640	2.7e-91	1	541	21	569	0.994475138121547	0.994475138121547
GT4_e1922	GT4:6	-	-	153	3300017652.a:Ga0182746_1000060_18	379	2.3e-48	4	149	202	346	0.9477124183006536	0.9477124183006536
GH65_e0	GH65:2334|GT2:1	2.4.1.8:9	alpha-glucan	378	3300017652.a:Ga0182746_1000060_61	769	8.4e-210	1	376	325	702	0.9920634920634921	0.9920634920634921
GT2	GT2:106	-	-	141	3300017652.a:Ga0182746_1000127_49	396	2.1e-62	1	141	13	153	0.9929078014184397	0.9929078014184397
