Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300029421.a:Ga0243844_100030_126	3.2.1.55:1	GH43_29(92-312)	GH43_e210	GH43_29	Y(1-36)	3
3300029421.a:Ga0243844_100030_127	3.2.1.187:2	GH121(4-1467)	GH121_e0	GH121	Y(1-33)	3
3300029421.a:Ga0243844_100030_128	3.2.1.185:2	GH127(3-566)	GH127_e0	GH127	N	3
3300029421.a:Ga0243844_100030_144	-	GT2(10-114)	GT2	GT2	N	3
3300029421.a:Ga0243844_100030_163	3.2.1.97:8|3.2.1.97:8|3.2.1.35:2|3.2.1.52:2	GH101(347-1088)+CBM32(1554-1687)	GH101_e0+CBM32_e206	CBM32+GH101	Y(1-30)	3
3300029421.a:Ga0243844_100030_181	-	GT51(145-317)	GT51_e89	GT51	N	3
3300029421.a:Ga0243844_100030_212	-	GH31(198-627)	GH31_e77	GH31	N	3
3300029421.a:Ga0243844_100030_217	2.4.1.25:4	GH77(204-728)	GH77_e2	GH77	N	3
3300029421.a:Ga0243844_100030_219	3.2.1.20:2	GH13_30(33-403)	GH13_e234	GH13_30	N	3
3300029421.a:Ga0243844_100030_225	2.4.1.7:2	GH13_18(35-379)	GH13_e144	GH13_18	N	3
3300029421.a:Ga0243844_100030_92	-	GH13_3(317-535)	GH13_e41	GH13_3	N	3
3300029421.a:Ga0243844_100090_32	-	GT28(205-376)	GT28_e141	GT28	N	3
3300029421.a:Ga0243844_100090_46	-	CE9(27-423)	CE9_e95	CE9	N	3
3300029421.a:Ga0243844_100121_45	2.4.1.18:57|2.4.1.18:14	GH13_9(300-600)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
3300029421.a:Ga0243844_100121_74	-	GH3(129-355)	GH3_e11	GH3	Y(1-17)	3
3300029421.a:Ga0243844_100135_64	-	GH13_20(46-332)	GH13_e155	GH13	N	3
3300029421.a:Ga0243844_100209_13	-	GH43_34(35-309)	GH43_e120	GH43_34	N	3
3300029421.a:Ga0243844_100209_18	3.2.1.23:6	GH42(35-405)	GH42_e29	GH42	N	3
3300029421.a:Ga0243844_100209_23	3.2.1.185:2	GH127(14-618)	GH127_e0	GH127	N	3
3300029421.a:Ga0243844_100209_35	3.2.1.145:1	GH43_24(90-458)	GH43_e313	GH43_24	Y(1-34)	3
3300029421.a:Ga0243844_100209_36	3.2.1.213:1|3.2.1.213:1	GH30_5(39-635)	GH30_e37+CBM13_e247	CBM13+GH30_5	Y(1-32)	3
3300029421.a:Ga0243844_100209_43	-	GH146(382-943)	GH146_e17	GH146	Y(1-36)	3
3300029421.a:Ga0243844_100209_45	3.2.1.37:1|3.2.1.55:1	GH43_22(438-674)+GH43_34(1056-1355)	GH43_e201+GH43_e28	GH43_22+GH43_34	Y(1-27)	3
