dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH171_e3	GH171:806|GH3:1	-	-	343	3300029312.a:Ga0242764_100002_10	387	6.9e-156	1	343	43	386	0.9970845481049563	0.9970845481049563
GH51_e19	GH51:1621	3.2.1.55:27	arabinan	489	3300029312.a:Ga0242764_100002_110	508	6.1e-241	2	489	19	507	0.9959100204498977	0.9959100204498977
CBM9_e3	CBM9:8	-	cellulose	197	3300029312.a:Ga0242764_100002_113	680	1.7e-64	1	176	48	221	0.8883248730964467	0.8883248730964467
GH33_e121	GH33:131	3.2.1.18:6	sialic acid	336	3300029312.a:Ga0242764_100002_17	547	5.8e-180	1	336	195	531	0.9970238095238095	0.9970238095238095
GT4_e3120	GT4:15	-	-	148	3300029312.a:Ga0242764_100002_193	382	2.9e-61	3	147	205	349	0.972972972972973	0.972972972972973
GT2	GT2:6	-	-	140	3300029312.a:Ga0242764_100002_195	317	3.6e-75	1	140	11	151	0.9928571428571429	0.9928571428571429
GT23_e5	GT23:5	-	-	276	3300029312.a:Ga0242764_100002_199	306	5.9e-17	11	275	15	284	0.9565217391304348	0.9565217391304348
GT111_e4	GT111:21	-	-	216	3300029312.a:Ga0242764_100002_202	275	1.6e-101	1	216	8	232	0.9953703703703703	0.9953703703703703
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	3300029312.a:Ga0242764_100002_24	685	2.3e-158	2	349	142	491	0.9886039886039886	0.9886039886039886
CBM32_e198	CBM32:19|GH20:19	-	host glycan	96	3300029312.a:Ga0242764_100002_24	685	1.2e-25	2	94	578	669	0.9583333333333334	0.9583333333333334
GT111_e1	GT111:222	-	-	216	3300029312.a:Ga0242764_100002_299	300	6.2e-45	1	214	16	224	0.9861111111111112	0.9861111111111112
GH43_e326	GH43_4:43	3.2.1.-:1|3.2.1.99:1	xylan, arabinan	313	3300029312.a:Ga0242764_100004_102	512	1.1e-187	1	313	72	384	0.9968051118210862	0.9968051118210862
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	3300029312.a:Ga0242764_100004_104	643	0	3	632	10	640	0.9936808846761453	0.9936808846761453
GT2	GT2:5	-	-	95	3300029312.a:Ga0242764_100004_181	304	2.9e-31	1	95	36	131	0.9894736842105263	0.9894736842105263
GT4_e2185	GT4:8	-	-	143	3300029312.a:Ga0242764_100004_186	439	9.2e-34	2	143	264	404	0.986013986013986	0.986013986013986
GT83_e52	GT83:7	-	-	514	3300029312.a:Ga0242764_100004_191	575	3e-52	6	381	11	386	0.7295719844357976	0.7295719844357976
GH3_e151	GH3:27	3.2.1.37:1	xylan	216	3300029312.a:Ga0242764_100004_22	450	2.3e-100	1	216	115	330	0.9953703703703703	0.9953703703703703
GT2	GT2:27|GT4:1	-	-	130	3300029312.a:Ga0242764_100004_67	249	8.9e-65	1	130	12	141	0.9923076923076923	0.9923076923076923
CBM62_e0	CBM62:62	-	xyloglucan, arabinogalactan and galactomannan	69	3300029312.a:Ga0242764_100006_161	635	2.6e-18	1	68	432	499	0.9710144927536232	0.9710144927536232
CE9_e7	CE9:187	-	-	374	3300029312.a:Ga0242764_100006_169	388	2.3e-206	1	374	6	378	0.9973262032085561	0.9973262032085561
GH16_e321	GH16_3:114|GH16:2|CBM16:1	3.2.1.-:1	carrageenan	227	3300029312.a:Ga0242764_100006_181	264	2e-112	2	227	36	261	0.9911894273127754	0.9911894273127754
GH43_e84	GH43_18:91|GH43_34:66|CBM32:58|GH42:9|CBM42:1|GH43_20:1|GH43:1	3.2.1.55:2	xylan	233	3300029312.a:Ga0242764_100006_44	785	1.8e-108	1	232	68	301	0.9914163090128756	0.9914163090128756
GH43_e191	GH43_34:11|CBM32:8|CBM13:2	3.2.1.55:1	xylan	281	3300029312.a:Ga0242764_100006_44	785	2.7e-77	1	281	319	612	0.99644128113879	0.99644128113879
CBM32_e123	CBM32:31|GH43_34:30|GH43_18:28	-	host glycan	106	3300029312.a:Ga0242764_100006_44	785	1e-53	1	106	679	784	0.9905660377358491	0.9905660377358491
GH42_e27	GH42:77|GH43_18:9	-	-	376	3300029312.a:Ga0242764_100006_45	705	3.7e-195	1	375	50	423	0.9946808510638298	0.9946808510638298
PL26_e0	PL26:692	4.2.2.24:1	pectin	860	3300029312.a:Ga0242764_100006_67	1100	0	1	857	240	1094	0.9953488372093023	0.9953488372093023
GH115_e4	GH115:122	3.2.1.-:1	arabinogalactan protein	758	3300029312.a:Ga0242764_100006_70	784	0	2	757	26	775	0.996042216358839	0.996042216358839
GH28_e133	GH28:82|PL11_1:1	3.2.1.67:1	pectin	363	3300029312.a:Ga0242764_100006_71	463	3.3e-200	1	362	78	436	0.9944903581267218	0.9944903581267218
GH88_e24	GH88:141|GH92:7|GH28:1	-	-	324	3300029312.a:Ga0242764_100006_87	409	2.4e-165	3	324	74	396	0.9907407407407407	0.9907407407407407
GT4_e602	GT4:97	-	-	147	3300029312.a:Ga0242764_100011_157	422	2.3e-70	1	144	241	384	0.9727891156462585	0.9727891156462585
GH127_e5	GH127:146	3.2.1.-:2	carrageenan	539	3300029312.a:Ga0242764_100011_23	702	8.6e-271	1	539	45	608	0.9981447124304267	0.9981447124304267
GH78_e1	GH78:419	3.2.1.40:3	alpha-rhamnoside	476	3300029312.a:Ga0242764_100011_25	715	1e-238	2	476	195	682	0.9957983193277311	0.9957983193277311
GT2	GT2:12	-	-	117	3300029312.a:Ga0242764_100011_31	302	7e-57	1	116	8	123	0.9829059829059829	0.9829059829059829
CBM48_e14	CBM48:1142|GH13_14:1124|CBM41:557|GH13_32:70|CBM25:49|GH13_41:25|GH13:12|CBM20:10|CBM68:8|GH13_42:1|CBM0:1	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2	glycogen	92	3300029312.a:Ga0242764_100012_105	697	4.8e-20	13	89	42	122	0.8260869565217391	0.8260869565217391
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	sucrose, starch, starch, starch	310	3300029312.a:Ga0242764_100012_105	697	1.2e-144	1	310	199	523	0.9967741935483871	0.9967741935483871
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	3300029312.a:Ga0242764_100012_51	820	0	4	729	22	755	0.9757738896366084	0.9757738896366084
GT2	GT2:13	-	-	155	3300029312.a:Ga0242764_100014_104	319	2.1e-53	1	153	7	164	0.9806451612903225	0.9806451612903225
GT11_e40	GT11:171|GT6:2|GT2:1	2.4.1.69:1	-	283	3300029312.a:Ga0242764_100014_109	290	3.5e-100	2	282	3	289	0.9893992932862191	0.9893992932862191
CBM67_e26	CBM67:52|GH78:52|CBM32:8|CBM13:1	-	rhamnose	183	3300029312.a:Ga0242764_100014_115	785	9.3e-74	1	183	37	220	0.994535519125683	0.994535519125683
