HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH109.hmm	399	3300029326.a:Ga0243238_100003_154	325	8.8e-18	7	169	3	156	0.40601503759398494
GH13_9.hmm	301	3300029326.a:Ga0243238_100003_162	638	4.9e-118	1	301	205	494	0.9966777408637874
GH3.hmm	216	3300029326.a:Ga0243238_100003_17	848	8.9e-61	29	216	131	314	0.8657407407407407
GT35.hmm	674	3300029326.a:Ga0243238_100003_185	815	2.5e-284	1	674	96	807	0.9985163204747775
GT2.hmm	170	3300029326.a:Ga0243238_100003_197	353	1.9e-17	45	168	84	205	0.7235294117647059
GH1.hmm	429	3300029326.a:Ga0243238_100003_261	478	1.1e-146	4	428	2	474	0.9883449883449883
CBM4.hmm	126	3300029326.a:Ga0243238_100003_44	754	7e-26	5	126	71	191	0.9603174603174603
GH9.hmm	418	3300029326.a:Ga0243238_100003_44	754	1.5e-108	2	417	320	749	0.992822966507177
GT51.hmm	177	3300029326.a:Ga0243238_100013_158	1019	2.3e-64	6	176	86	265	0.96045197740113
GT2.hmm	170	3300029326.a:Ga0243238_100013_9	458	6.3e-21	2	165	58	231	0.9588235294117647
GH5_2.hmm	237	3300029326.a:Ga0243238_100016_106	519	2.9e-95	1	236	232	475	0.9915611814345991
GT5.hmm	472	3300029326.a:Ga0243238_100016_170	479	3.1e-176	1	471	3	476	0.9957627118644068
GH94.hmm	1036	3300029326.a:Ga0243238_100016_90	800	3e-254	263	1034	2	795	0.7442084942084942
GH36.hmm	688	3300029326.a:Ga0243238_100031_108	726	1.8e-265	1	686	11	705	0.9956395348837209
GH13_18.hmm	343	3300029326.a:Ga0243238_100031_110	544	4.4e-88	1	343	47	408	0.9970845481049563
CBM34.hmm	120	3300029326.a:Ga0243238_100031_60	701	5e-17	11	113	43	132	0.85
GH13_39.hmm	316	3300029326.a:Ga0243238_100031_60	701	3.8e-99	1	316	195	575	0.9968354430379747
GT4.hmm	160	3300029326.a:Ga0243238_100032_1	528	1.1e-24	12	156	177	320	0.9
GT4.hmm	160	3300029326.a:Ga0243238_100032_2	624	5.2e-24	10	159	271	419	0.93125
GT2.hmm	170	3300029326.a:Ga0243238_100032_65	275	7.2e-25	3	150	7	153	0.8647058823529412
GT2.hmm	170	3300029326.a:Ga0243238_100032_71	245	1.2e-27	1	164	8	170	0.9588235294117647
CBM48.hmm	76	3300029326.a:Ga0243238_100065_23	807	1.7e-17	2	70	129	214	0.8947368421052632
GH13_9.hmm	301	3300029326.a:Ga0243238_100065_23	807	2.9e-151	2	301	288	587	0.9933554817275747
GH5_2.hmm	237	3300029326.a:Ga0243238_100100_19	568	7e-75	2	236	82	343	0.9873417721518988
GT2.hmm	230	3300029326.a:Ga0243238_100145_44	490	6e-20	4	228	64	287	0.9739130434782609
GH16_3.hmm	230	3300029326.a:Ga0243238_100146_69	1223	2.1e-61	57	230	281	461	0.7521739130434782
CBM4.hmm	126	3300029326.a:Ga0243238_100146_69	1223	3.3e-33	1	126	487	620	0.9920634920634921
CBM4.hmm	126	3300029326.a:Ga0243238_100146_69	1223	4.3e-28	2	126	793	923	0.9841269841269841
GH13_20.hmm	300	3300029326.a:Ga0243238_100192_8	437	9.5e-81	6	297	34	322	0.97
GH25.hmm	177	3300029326.a:Ga0243238_100192_9	472	9.1e-45	1	177	276	460	0.9943502824858758
GH5_37.hmm	313	3300029326.a:Ga0243238_100197_22	344	9.6e-136	1	313	10	325	0.9968051118210862
GH94.hmm	1036	3300029326.a:Ga0243238_100197_42	805	2.3e-249	263	1034	2	800	0.7442084942084942
GH94.hmm	1036	3300029326.a:Ga0243238_100197_43	903	9.7e-154	322	1019	57	873	0.6727799227799228
GT4.hmm	160	3300029326.a:Ga0243238_100205_11	410	7.3e-27	4	118	233	345	0.7125
GH1.hmm	429	3300029326.a:Ga0243238_100205_32	483	9.8e-166	3	428	7	479	0.9906759906759907
GT2.hmm	170	3300029326.a:Ga0243238_100205_4	256	5.6e-41	1	131	6	135	0.7647058823529411
GH13_5.hmm	342	3300029326.a:Ga0243238_100205_45	512	5.5e-119	2	342	32	396	0.9941520467836257
GT4.hmm	160	3300029326.a:Ga0243238_100205_5	370	6.6e-20	6	151	197	336	0.90625
GT2.hmm	170	3300029326.a:Ga0243238_100205_7	328	3.2e-33	1	126	7	129	0.7352941176470589
GH2.hmm	752	3300029326.a:Ga0243238_100217_34	1037	7.8e-212	20	749	35	891	0.9694148936170213
GH77.hmm	494	3300029326.a:Ga0243238_100217_37	499	9.1e-177	3	489	11	491	0.9838056680161943
GT35.hmm	674	3300029326.a:Ga0243238_100217_42	753	2.3e-224	2	673	77	750	0.9955489614243324
GH25.hmm	177	3300029326.a:Ga0243238_100243_30	792	6e-49	1	177	143	326	0.9943502824858758
GT2.hmm	170	3300029326.a:Ga0243238_100365_15	319	3e-39	1	135	7	141	0.788235294117647
GT2.hmm	170	3300029326.a:Ga0243238_100365_16	355	1.4e-32	1	133	5	137	0.7764705882352941
GT2.hmm	170	3300029326.a:Ga0243238_100365_18	377	1.2e-33	1	164	5	169	0.9588235294117647
GT2.hmm	170	3300029326.a:Ga0243238_100365_19	316	2.4e-43	1	130	5	132	0.7588235294117647
GT2.hmm	170	3300029326.a:Ga0243238_100365_21	336	1.2e-30	1	115	6	122	0.6705882352941176
CE4.hmm	130	3300029326.a:Ga0243238_100365_23	342	1.1e-32	5	125	148	271	0.9230769230769231
GT28.hmm	157	3300029326.a:Ga0243238_100365_26	356	7.7e-37	2	149	188	336	0.9363057324840764
GH94.hmm	1036	3300029326.a:Ga0243238_100550_20	828	8.1e-300	263	1036	2	824	0.7461389961389961
GH77.hmm	494	3300029326.a:Ga0243238_100550_3	512	2.1e-167	2	490	19	505	0.9878542510121457
GH32.hmm	293	3300029326.a:Ga0243238_101163_3	493	3.8e-58	15	285	18	296	0.9215017064846417
GT2.hmm	170	3300029326.a:Ga0243238_101179_4	348	7.2e-28	1	103	7	107	0.6
