Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300014783.a:Ga0134390_100672_1	ALA73550.1|GH29	72.1	437	119	3	1	435	5	440	3.9e-199	698.0
3300014783.a:Ga0134390_100672_22	AXG45674.1|GH6	35.7	869	506	13	10	849	17	861	1.0e-129	468.4
3300014783.a:Ga0134390_100359_1	AHF11804.1|GT35	94.5	548	30	0	1	548	1	548	0.0e+00	1103.2
3300014783.a:Ga0134390_100359_2	AHF11803.1|GT3	82.5	550	96	0	1	550	1	550	1.5e-280	968.8
3300014783.a:Ga0134390_100041_7	BCA52608.1|GH92	59.1	733	296	3	131	861	12	742	3.7e-266	922.2
3300014783.a:Ga0134390_100041_11	QJB37027.1|GH20	48.6	523	260	4	8	522	7	528	1.9e-147	526.6
3300014783.a:Ga0134390_100041_17	UBD65114.1|GH89	65.6	729	246	3	2	728	1	726	2.5e-307	1058.1
3300014783.a:Ga0134390_100041_18	BCI64332.1|GH3	71.4	837	238	1	24	859	36	872	0.0e+00	1246.1
3300014783.a:Ga0134390_100041_19	BCI64333.1|GH20	68.9	732	227	1	29	759	36	767	0.0e+00	1082.4
3300014783.a:Ga0134390_100041_48	AHF12505.1|GT28	88.4	370	43	0	1	370	1	370	4.7e-185	651.0
3300014783.a:Ga0134390_100041_81	QRO24557.1|GH20	73.1	735	193	3	1	734	7	737	0.0e+00	1130.2
3300014783.a:Ga0134390_100041_87	AHF12543.1|GT9	80.1	346	68	1	1	345	1	346	1.8e-157	559.3
3300014783.a:Ga0134390_100041_95	QZU79878.1|GT4	58.8	323	132	1	3	325	1	322	2.0e-110	402.9
3300014783.a:Ga0134390_100041_99	AHF12551.1|GT2	81.9	248	45	0	1	248	1	248	4.0e-116	421.4
3300014783.a:Ga0134390_100041_110	AHF12561.1|GH2	75.7	1078	259	1	1	1075	1	1078	0.0e+00	1766.9
3300014783.a:Ga0134390_100041_133	BCI64112.1|GH33	50.7	1076	449	26	1	1033	1	1037	2.0e-279	966.1
3300014783.a:Ga0134390_100085_2	QUT23077.1|GH33	78.1	544	116	2	1	542	1	543	6.7e-257	890.2
3300014783.a:Ga0134390_100085_31	AHF12130.1|GH85	70.7	1292	342	11	1	1261	1	1287	0.0e+00	1867.4
3300014783.a:Ga0134390_100085_34	AHF13697.1|GH84	70.7	1114	326	0	1	1114	1	1114	0.0e+00	1647.9
3300014783.a:Ga0134390_100085_35	AHF12131.1|GH92	85.0	755	113	0	1	755	1	755	0.0e+00	1378.2
3300014783.a:Ga0134390_100085_36	AHF12132.1|GH20	79.5	782	158	1	1	782	1	780	0.0e+00	1357.0
3300014783.a:Ga0134390_100085_37	AHF12133.1|GH20	79.0	691	142	2	1	688	1	691	0.0e+00	1171.4
3300014783.a:Ga0134390_100085_39	AHF12135.1|GH130	91.3	323	28	0	1	323	1	323	1.6e-189	665.6
3300014783.a:Ga0134390_100085_40	AHF12136.1|GH92	87.6	750	92	1	3	751	1	750	0.0e+00	1407.9
3300014783.a:Ga0134390_100085_59	AHC21644.2|GH1	48.7	517	262	1	4	520	8	521	1.5e-139	500.4
3300014783.a:Ga0134390_100085_61	CAD7235639.1|GT2	45.6	540	284	5	13	550	138	669	1.6e-131	473.8
3300014783.a:Ga0134390_100085_73	QCW79542.1|GH101	56.8	458	198	0	59	516	611	1068	8.9e-150	534.3
3300014783.a:Ga0134390_100038_3	AVM58209.1|GH171	75.3	388	96	0	12	399	1	388	8.1e-183	643.7
3300014783.a:Ga0134390_100038_5	QUT35459.1|CE0|GH9	65.8	833	274	5	3	826	5	835	0.0e+00	1184.9
3300014783.a:Ga0134390_100038_92	CCO12868.2|GH1	44.1	1434	505	15	11	1398	5	1188	0.0e+00	1108.2
3300014783.a:Ga0134390_100153_8	CAE6110940.1|CE8	45.6	553	275	11	20	564	253	787	3.9e-130	469.2
3300014783.a:Ga0134390_100153_22	QOF98253.1|GT2	61.8	421	161	0	2	422	4	424	1.8e-156	556.2
3300014783.a:Ga0134390_100153_55	AHF11756.1|GT2	93.0	315	21	1	1	314	1	315	1.2e-168	596.3
3300014783.a:Ga0134390_100014_9	AHF12045.1|GT2	72.5	393	108	0	1	393	1	393	3.1e-171	605.1
3300014783.a:Ga0134390_100014_14	AHF12043.1|GT4	67.9	368	117	1	1	367	1	368	1.1e-146	523.5
3300014783.a:Ga0134390_100014_16	AHF12042.1|GT4	73.6	402	106	0	1	402	1	402	2.9e-180	635.2
3300014783.a:Ga0134390_100014_18	AHF12040.1|GT4	81.3	359	67	0	1	359	1	359	1.1e-165	586.6
3300014783.a:Ga0134390_100014_27	UQC84824.1|GT2	60.5	344	136	0	4	347	1785	2128	2.8e-123	445.7
3300014783.a:Ga0134390_100014_52	CUS04494.2|GH39	50.8	1257	577	15	2	1226	8	1254	0.0e+00	1149.8
3300014783.a:Ga0134390_100014_58	AHF13634.1|GH50	77.9	646	143	0	1	646	1	646	0.0e+00	1092.4
3300014783.a:Ga0134390_100014_59	AHF11964.1|GH16	74.9	426	106	1	10	434	9	434	2.5e-201	705.3
3300014783.a:Ga0134390_100014_69	AVI59029.1|GT2	46.1	438	228	4	1	437	1	431	6.7e-106	388.3
3300014783.a:Ga0134390_100014_72	CAG7911095.1|GH5_11	40.5	899	487	15	14	873	589	1478	3.2e-192	676.0
3300014783.a:Ga0134390_100014_82	BCI62100.1|GH84	75.8	857	202	2	1	856	3	855	0.0e+00	1406.0
3300014783.a:Ga0134390_100014_91	AHF11930.1|GH85	73.2	1254	329	6	1	1248	1	1253	0.0e+00	1927.9
3300014783.a:Ga0134390_100014_107	QCQ36424.1|GH31	61.7	530	197	3	1	527	1	527	4.9e-212	741.1
3300014783.a:Ga0134390_100014_122	QUT75822.1|GH0	61.4	1053	400	6	1	1050	9	1058	0.0e+00	1352.8
3300014783.a:Ga0134390_100014_124	QUT75824.1|CBM35	62.2	895	330	6	1	895	1	887	0.0e+00	1177.2
3300014783.a:Ga0134390_100014_138	VEJ19452.1|GT4	68.0	334	103	2	5	337	371	701	4.2e-124	448.4
3300014783.a:Ga0134390_100014_148	BCA52608.1|GH92	64.1	732	261	1	7	736	6	737	1.3e-295	1019.2
3300014783.a:Ga0134390_100014_149	AHM61588.1|GH97	59.8	634	247	6	26	655	17	646	2.0e-223	779.2
3300014783.a:Ga0134390_100014_177	AHF11649.1|GT2	93.7	317	20	0	1	317	1	317	5.1e-172	607.4
