dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH5_e276	GH5_1:145|CBM2:55|CBM3:30|GH5_8:16|GH5_4:8|GH10:6|GH44:5|GH5:4|GH9:3|CBM37:3|AA10:1|CBM78:1	3.2.1.4:25|3.2.1.78:5|3.2.1.73:1|3.2.1.74:1	beta-glucan, beta-mannan, beta-glucan, cellulose	334	3300022823.a:Ga0222425_100013_203	598	4.6e-155	2	334	67	404	0.9940119760479041	0.9940119760479041
CBM2_e43	CBM2:135|CE1:128|GH28:2	-	cellulose, chitin, xylan	100	3300022823.a:Ga0222425_100013_203	598	1.2e-33	1	100	496	595	0.99	0.99
CBM2_e6	CBM2:17|GH43_36:13|GH8:1	-	cellulose, chitin, xylan	100	3300022823.a:Ga0222425_100013_222	737	6.3e-36	2	100	23	121	0.98	0.98
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin, pectin	607	3300022823.a:Ga0222425_100013_222	737	2e-266	2	583	165	735	0.957166392092257	0.957166392092257
GT2	GT2:31	-	-	165	3300022823.a:Ga0222425_100013_226	264	2.6e-74	1	164	8	176	0.9878787878787879	0.9878787878787879
AA10_e50	AA10:207|CBM2:84	1.14.99.54:4|1.14.99.56:4	cellulose, cellulose	184	3300022823.a:Ga0222425_100013_50	381	5.9e-96	1	183	45	227	0.9891304347826086	0.9891304347826086
CBM2_e17	CBM2:10|AA10:9	1.14.99.54:1|1.14.99.56:1	cellulose, chitin, xylan	83	3300022823.a:Ga0222425_100013_50	381	4.9e-27	1	83	294	376	0.9879518072289156	0.9879518072289156
CBM2_e16	CBM2:465|GH18:461	3.2.1.14:8	cellulose, chitin, xylan	97	3300022823.a:Ga0222425_100013_546	568	4.2e-35	1	97	54	151	0.9896907216494846	0.9896907216494846
GH18_e285	GH18:1252|CBM2:408|CBM12:109|CBM5:46|CBM73:17|AA10:2|CBM0:1|CBM57:1|CBM16:1|CBM50:1	3.2.1.14:22|1.14.99.53:1	chitin	359	3300022823.a:Ga0222425_100013_546	568	9.8e-185	2	359	202	559	0.9944289693593314	0.9944289693593314
CBM34_e5	CBM34:12|GH13_21:12	-	starch	82	3300022823.a:Ga0222425_100013_548	619	2.8e-22	2	78	24	100	0.926829268292683	0.926829268292683
GH13_e177	GH13_21:124|CBM34:8|GH13:2	-	sucrose	314	3300022823.a:Ga0222425_100013_548	619	2.2e-147	1	314	179	490	0.9968152866242038	0.9968152866242038
