Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300029368.a:Ga0243967_100031_11	-	GH28(104-469)	GH28_e123	GH28	N	3
3300029368.a:Ga0243967_100031_13	3.2.1.37:1|3.2.1.55:1|-	GH43_12(135-410)+CBM91(435-649)	GH43_e111+CBM91_e50	GH43_12	N	3
3300029368.a:Ga0243967_100031_131	3.2.1.67:1	GH28(49-430)	GH28_e64	GH28	N	3
3300029368.a:Ga0243967_100031_18	-	GT51(82-263)	GT51_e43	GT51	N	3
3300029368.a:Ga0243967_100031_88	4.2.2.-:1|4.2.2.2:2|4.2.2.-:1	CE8(1281-1565)+PL1(1710-1949)	CE8_e77+PL1_e79	CE8+PL1+4.2.2.-	Y(1-41)	3
3300029368.a:Ga0243967_100059_30	-	GT2(16-133)	GT2	-	N	2
3300029368.a:Ga0243967_100059_32	-	GT2(4-125)	GT2	-	N	2
3300029368.a:Ga0243967_100059_33	-	GT2(5-123)	GT2	-	N	2
3300029368.a:Ga0243967_100059_34	-	GT111(6-215)	GT111_e11	-	N	2
3300029368.a:Ga0243967_100059_35	-	GT2(5-143)	GT2	GT2	N	3
3300029368.a:Ga0243967_100059_37	-	GH109(131-282)	-	-	N	1
3300029368.a:Ga0243967_100059_52	-	GT8(2-249)	GT8_e223	-	N	2
3300029368.a:Ga0243967_100059_54	-	GT2(7-133)	GT2	-	N	2
3300029368.a:Ga0243967_100059_57	-	GT8(2-202)	GT8_e223	-	N	2
3300029368.a:Ga0243967_100059_81	-	GH109(5-172)	-	-	N	1
3300029368.a:Ga0243967_100063_79	-|2.4.1.18:14	CBM48(139-215)+GH13_9(278-576)	CBM48_e87+GH13_e200	CBM48+GH13_9	N	3
3300029368.a:Ga0243967_100063_97	-	CE4(272-383)	CE4_e347	CE4	N	3
3300029368.a:Ga0243967_100069_102	-	GH25(115-307)	GH25_e157	-	N	2
3300029368.a:Ga0243967_100069_12	-	GT2(5-123)	GT2	GT2	N	3
3300029368.a:Ga0243967_100069_61	-	CE12(2-295)	CE12_e37	CE12	N	3
3300029368.a:Ga0243967_100083_38	2.4.1.1:158	GT35(97-816)	GT35_e0	GT35	N	3
3300029368.a:Ga0243967_100083_41	-	GT28(188-338)	GT28_e30	GT28	N	3
3300029368.a:Ga0243967_100083_71	-	GT2(9-180)	GT2	GT2	N	3
3300029368.a:Ga0243967_100083_73	-	GT4(200-326)	GT4_e3098	-	N	2
3300029368.a:Ga0243967_100083_74	-	GT4(180-328)	GT4_e1377	GT4	N	3
3300029368.a:Ga0243967_100083_76	-	GT76(52-290)	GT76_e12	-	N	2
3300029368.a:Ga0243967_100083_78	-	GT2(9-173)	GT2	GT2	N	3
3300029368.a:Ga0243967_100083_86	-	GT76(49-296)	GT76_e12	-	N	2
3300029368.a:Ga0243967_100083_87	-	GT2(3-166)	GT2	GT2	N	3
3300029368.a:Ga0243967_100093_23	3.2.1.55:2|3.2.1.37:1|-	GH43_10(12-281)	GH43_e0+CBM91_e10	GH43_10	N	3
3300029368.a:Ga0243967_100093_34	-	GH143(16-387)	GH143_e1	-	N	2
3300029368.a:Ga0243967_100093_36	-	CE1(12-250)	CE1_e22	-	N	2
3300029368.a:Ga0243967_100093_37	2.3.1.122:4|3.1.1.-:4|2.3.1.20:4	CE1(10-248)	CE1_e32	-	N	2
3300029368.a:Ga0243967_100093_45	-	GT8(2-248)	GT8_e141	-	N	2
3300029368.a:Ga0243967_100093_46	-	GT8(7-253)	GT8_e165	-	N	2
3300029368.a:Ga0243967_100093_58	-	GH105(31-375)	GH105_e32	GH105	N	3
3300029368.a:Ga0243967_100093_92	-	CE12(3-222)	CE12_e65	CE12	N	3
3300029368.a:Ga0243967_100137_18	-	CE8(2-312)	CE8_e51	CE8	N	3
3300029368.a:Ga0243967_100137_77	-	PL11(415-648)	CBM66_e3	CBM66	N	3
3300029368.a:Ga0243967_100140_37	-	CE4(66-180)	CE4_e53	-	N	2
3300029368.a:Ga0243967_100146_1	-	GT4(204-350)	GT4_e3375	GT4	N	3
