Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300029490.a:Ga0244171_100002_10	-	GH26(34-268)	GH26_e53	-	Y(1-24)	2
3300029490.a:Ga0244171_100002_12	3.2.1.21:12|3.2.1.-:6	GH3(70-288)	GH3_e10	GH3	Y(1-25)	3
3300029490.a:Ga0244171_100002_122	3.2.1.18:6	GH33(191-527)	GH33_e121	GH33	Y(1-20)	3
3300029490.a:Ga0244171_100002_14	3.2.1.21:20|3.2.1.-:6	GH3(87-309)	GH3_e1	GH3	Y(1-20)	3
3300029490.a:Ga0244171_100002_154	-	GH85(120-429)	GH85_e14	GH85	Y(1-22)	3
3300029490.a:Ga0244171_100002_157	-|-	GH84(178-497)	GH84_e1+CBM32_e32	GH84	Y(1-23)	3
3300029490.a:Ga0244171_100002_158	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(245-753)	GH92_e0	GH92	Y(1-25)	3
3300029490.a:Ga0244171_100002_159	3.2.1.52:18|3.2.1.-:1	GH20(159-514)	GH20_e12	GH20	Y(1-23)	3
3300029490.a:Ga0244171_100002_160	3.2.1.52:18|3.2.1.-:1|-	GH20(147-495)	GH20_e12+CBM32_e198	GH20	Y(1-24)	3
3300029490.a:Ga0244171_100002_162	2.4.1.319:4|2.4.1.320:2	GH130(20-318)	GH130_e13	GH130	N	3
3300029490.a:Ga0244171_100002_163	3.2.1.24:1	GH92(261-750)	GH92_e13	GH92	Y(1-22)	3
3300029490.a:Ga0244171_100002_18	3.2.1.-:3|3.2.1.63:2	GH95(24-790)	GH95_e1	GH95	Y(1-23)	3
3300029490.a:Ga0244171_100002_182	-	CE1(162-361)	-	-	Y(1-21)	1
3300029490.a:Ga0244171_100002_199	3.2.1.20:2	GH13_38(32-398)	GH13_e113	GH13_38	N	3
3300029490.a:Ga0244171_100002_220	3.2.1.3:2|3.2.1.20:2	GH97(9-696)	GH97_e22	GH97	Y(1-20)	3
3300029490.a:Ga0244171_100002_231	-	GH109(1-395)	GH109_e3	GH109	N	3
3300029490.a:Ga0244171_100002_243	3.2.1.21:33|3.2.1.37:3|3.2.1.-:3|3.2.1.74:1	GH3(75-301)	GH3_e165	GH3	Y(1-24)	3
3300029490.a:Ga0244171_100002_25	3.2.1.111:8|3.2.1.51:3|-|-	GH29(45-371)	GH29_e30+CBM32_e126+CBM32_e114	GH29	Y(1-20)	3
3300029490.a:Ga0244171_100002_282	-	GH2(53-915)	GH2_e30	GH2	Y(1-22)	3
3300029490.a:Ga0244171_100002_284	-	GH20(157-514)	GH20_e135	GH20	Y(1-22)	3
3300029490.a:Ga0244171_100002_3	-	GH16_3(175-422)	GH16_e265	GH16_3	Y(1-22)	3
3300029490.a:Ga0244171_100002_389	3.2.1.113:6|3.2.1.-:1	GH92(236-741)	GH92_e18	GH92	Y(1-25)	3
3300029490.a:Ga0244171_100002_391	3.2.1.-:4	GH125(69-464)	GH125_e1	GH125	Y(1-24)	3
3300029490.a:Ga0244171_100002_392	-	GH39(73-241)	GH39_e76	GH39	Y(1-25)	3
3300029490.a:Ga0244171_100002_431	-	GT2(6-137)	GT2	-	N	2
3300029490.a:Ga0244171_100002_435	-	GH57(6-324)	GH57_e10	GH57	N	3
3300029490.a:Ga0244171_100002_436	-	GT4(241-388)	GT4_e602	GT4	N	3
3300029490.a:Ga0244171_100002_437	-	GH133(286-638)	GH133_e1	GH133	N	3
3300029490.a:Ga0244171_100002_452	-	GT2(2-158)	GT2	GT2	N	3
3300029490.a:Ga0244171_100002_459	3.2.1.22:1	GH97(14-668)	GH97_e1	GH97	Y(1-23)	3
3300029490.a:Ga0244171_100002_466	-	GH31(204-640)	GH31_e65	GH31	Y(1-22)	3
3300029490.a:Ga0244171_100002_498	3.2.1.53:2|3.2.1.-:1	GH123(60-599)	GH123_e16	GH123	Y(1-30)	3
3300029490.a:Ga0244171_100002_505	3.2.1.23:2	GH2(22-624)	GH2_e137	GH2	Y(1-24)	3
3300029490.a:Ga0244171_100002_531	-	CE1(31-260)	CE1_e22	-	Y(1-21)	2
3300029490.a:Ga0244171_100002_559	2.4.1.15:96	GT20(29-487)	GT20_e1	GT20	N	3
