Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300014005.a:Ga0121051_10040_12	VEH96240.1|GH1	62.5	365	137	0	1	365	1	365	2.2e-150	535.8
3300014005.a:Ga0121051_10040_14	UJF29369.1|GT4	69.1	363	109	1	1	360	1	363	1.9e-143	512.7
3300014005.a:Ga0121051_10040_34	AXP81648.1|GH32	70.8	432	125	1	1	431	7	438	1.3e-175	619.8
3300014005.a:Ga0121051_10040_35	VFA41378.1|GH32	99.2	518	4	0	1	518	1	518	1.5e-311	1071.6
3300014005.a:Ga0121051_10040_36	AST56160.1|GH35	31.3	882	512	25	222	1034	714	1570	1.6e-113	414.8
3300014005.a:Ga0121051_10040_39	VFA41374.1|GH32	94.0	513	31	0	1	513	1	513	7.0e-288	993.0
3300014005.a:Ga0121051_10001_17	CAD7252417.1|GH13	51.1	581	273	7	132	705	342	918	2.2e-149	533.5
3300014005.a:Ga0121051_10001_34	CAD7280782.1|GT2	45.3	795	382	10	143	898	396	1176	2.4e-185	653.3
3300014005.a:Ga0121051_10001_196	AZI54801.1|GT51	100.0	215	0	0	1	215	1	215	2.8e-121	438.3
3300014005.a:Ga0121051_10001_216	QIG72767.1|GH36	52.5	551	260	1	2	550	3	553	5.7e-163	578.2
3300014005.a:Ga0121051_10001_220	AMJ20543.1|GH13_11	52.4	414	179	2	3	413	5	403	4.0e-116	422.2
3300014005.a:Ga0121051_10001_231	UBB88542.1|GT4	76.6	355	83	0	1	355	1	355	8.3e-155	550.4
3300014005.a:Ga0121051_10001_232	AZI54285.1|GT4	75.1	370	91	1	1	369	6	375	6.8e-160	567.4
3300014005.a:Ga0121051_10001_233	AZI54283.1|GT4	54.2	384	176	0	2	385	3	386	6.1e-119	431.4
3300014005.a:Ga0121051_10001_235	AZI54287.1|GT0	85.8	437	52	1	12	448	1	427	2.9e-197	691.8
3300014005.a:Ga0121051_10001_236	AZI41124.1|GT0	89.2	369	30	2	1	369	1	359	7.1e-189	663.7
3300014005.a:Ga0121051_10001_241	AZI54294.1|GT4	95.7	394	17	0	1	394	1	394	1.6e-218	762.3
3300014005.a:Ga0121051_10001_272	AZI54320.1|CBM48|GH13	97.1	938	26	1	1	938	1	937	0.0e+00	1803.9
3300014005.a:Ga0121051_10001_275	AZI54322.1|GH13_5	97.3	489	13	0	1	489	1	489	6.0e-297	1023.1
3300014005.a:Ga0121051_10001_319	AGL63717.2|GT4	45.6	677	292	9	159	833	107	709	6.0e-151	538.9
3300014005.a:Ga0121051_10001_344	CAN80640.1|GT47	45.6	421	226	3	6	424	944	1363	5.2e-103	378.6
3300014005.a:Ga0121051_10001_368	AZI40934.1|GT2	100.0	283	0	0	1	283	1	283	1.1e-162	576.2
3300014005.a:Ga0121051_10001_464	AWZ17133.1|GH13_30	32.1	1058	612	20	248	1269	406	1393	9.2e-150	535.8
3300014005.a:Ga0121051_10001_492	AZI54484.1|GH97	98.9	718	8	0	1	718	1	718	0.0e+00	1481.1
3300014005.a:Ga0121051_10001_494	AZI54486.1|GH13	97.4	615	16	0	1	615	1	615	0.0e+00	1255.4
3300014005.a:Ga0121051_10001_509	AXY72765.1|GH97	48.5	524	252	9	26	535	671	1190	1.0e-148	530.8
3300014005.a:Ga0121051_10001_523	AZI40816.1|CE11	100.0	464	0	0	1	464	1	464	3.0e-266	921.0
3300014005.a:Ga0121051_10001_538	AZI40801.1|CBM20|GH77	98.6	884	12	0	1	884	1	884	0.0e+00	1843.9
3300014005.a:Ga0121051_10001_564	CAN65674.1|GH28	41.4	546	288	8	73	612	111	630	8.3e-121	438.3
3300014005.a:Ga0121051_10001_594	AZI40741.1|CBM50|GH73	98.0	354	7	0	1	354	1	354	9.9e-201	703.0
3300014005.a:Ga0121051_10001_596	QYO62262.1|GH13	67.6	346	110	1	1	346	1	344	1.8e-121	440.3
3300014005.a:Ga0121051_10001_732	UQB70337.1|GT2	68.8	308	95	1	1	308	1	307	1.0e-116	423.7
3300014005.a:Ga0121051_10001_734	AZI40596.1|GT4	97.0	364	11	0	1	364	1	364	5.4e-202	707.2
3300014005.a:Ga0121051_10012_24	CAG7911095.1|GH5_11	39.4	902	494	17	12	872	588	1477	4.2e-184	649.0
3300014005.a:Ga0121051_10012_37	CCO12868.2|GH1	43.0	1448	519	17	8	1409	5	1191	0.0e+00	1097.4
3300014005.a:Ga0121051_10012_69	AZI56418.1|GH25	96.9	286	9	0	11	296	1	286	4.8e-164	580.9
3300014005.a:Ga0121051_10012_81	AZI39459.1|GT5	100.0	256	0	0	1	256	1	256	1.8e-143	512.3
3300014005.a:Ga0121051_10012_172	AZI39708.1|GH43_28	97.4	584	15	0	1	584	1	584	0.0e+00	1228.4
3300014005.a:Ga0121051_10012_191	APA93463.1|GT51	51.7	495	238	1	1	495	1	494	1.8e-147	526.6
3300014005.a:Ga0121051_10046_24	AZI53973.1|GT2	99.6	238	1	0	1	238	1	238	1.9e-134	482.3
3300014005.a:Ga0121051_10023_30	SNV51320.1|GT4	56.2	372	160	3	1	372	1	369	4.4e-114	415.2
3300014005.a:Ga0121051_10023_45	AZI56552.1|GT35	100.0	550	0	0	1	550	1	550	0.0e+00	1152.5
3300014005.a:Ga0121051_10023_77	AZI56516.1|GH3	97.9	775	16	0	1	775	1	775	0.0e+00	1515.4
3300014005.a:Ga0121051_10023_79	AZI39563.1|GH144	95.0	461	23	0	1	461	1	461	2.2e-269	931.4
3300014005.a:Ga0121051_10023_80	AZI39562.1|GH144	96.0	474	18	1	1	473	1	474	2.5e-268	927.9
3300014005.a:Ga0121051_10004_37	AYO56883.1|GH3	79.9	756	151	1	2	757	3	757	0.0e+00	1233.4
3300014005.a:Ga0121051_10004_38	AZI20321.1|CE20	72.3	459	126	1	2	459	4	462	2.1e-203	712.2
3300014005.a:Ga0121051_10004_39	AZI20322.1|CE2|GH5_2	65.6	660	221	3	1	655	1	659	1.3e-267	926.0
3300014005.a:Ga0121051_10004_40	AYO56882.1|GH26	70.5	356	105	0	22	377	20	375	3.8e-158	561.6
3300014005.a:Ga0121051_10004_41	AZI22829.1|GH27	78.2	409	88	1	1	408	1	409	3.8e-204	714.5
3300014005.a:Ga0121051_10004_45	AZI20328.1|GH130	86.8	386	51	0	4	389	3	388	7.1e-208	726.9
3300014005.a:Ga0121051_10004_47	AYO56874.1|GH26	69.5	371	111	1	8	376	8	378	3.1e-160	568.5
3300014005.a:Ga0121051_10004_48	AZI23746.1|GH5_7	74.3	405	104	0	21	425	8	412	4.7e-189	664.5
3300014005.a:Ga0121051_10004_77	UQB68948.1|CBM6|GH5_46	83.3	576	96	0	1	576	1	576	3.3e-302	1040.8
3300014005.a:Ga0121051_10004_167	AZI39848.1|GT4	98.2	451	8	0	1	451	1	451	8.0e-264	912.9
3300014005.a:Ga0121051_10004_229	AZI39903.1|GH13	98.9	447	5	0	1	447	1	447	1.3e-269	932.2
3300014005.a:Ga0121051_10004_233	CAE6110940.1|CE8	45.3	539	269	9	26	555	265	786	3.4e-123	446.0
3300014005.a:Ga0121051_10004_254	URM35469.1|GT4	65.3	337	117	0	1	337	1	337	5.3e-127	458.0
3300014005.a:Ga0121051_10004_269	AZI39941.1|CBM48|GH13_9	98.1	648	12	0	1	648	1	648	0.0e+00	1371.7
3300014005.a:Ga0121051_10004_270	AZI55519.1|GT5	98.3	468	8	0	1	468	1	468	4.4e-281	970.3
3300014005.a:Ga0121051_10118_3	QIY84799.1|GH27	77.7	825	179	3	9	828	3	827	0.0e+00	1366.3
3300014005.a:Ga0121051_10118_7	QIY84803.1|GH31	88.8	824	91	1	3	825	2	825	0.0e+00	1555.4
3300014005.a:Ga0121051_10118_8	QIY84804.1|GH97	92.1	718	57	0	1	718	1	718	0.0e+00	1384.0
3300014005.a:Ga0121051_10026_24	AZI55079.1|GT2	98.7	317	4	0	4	320	1	317	2.1e-181	638.6
3300014005.a:Ga0121051_10026_27	CAD7235639.1|GT2	53.3	548	248	5	3	544	128	673	3.2e-164	582.4
3300014005.a:Ga0121051_10026_34	AZI55088.1|GH3	97.2	750	21	0	1	750	1	750	0.0e+00	1469.5
3300014005.a:Ga0121051_10026_36	CAD7245033.1|GT58	62.2	503	155	5	7	502	1055	1529	2.7e-167	592.4
3300014005.a:Ga0121051_10026_51	AZI55107.1|GH16_3	95.3	235	11	0	1	235	26	260	9.1e-134	479.9
3300014005.a:Ga0121051_10026_52	UQB69441.1|GH30_3	79.5	487	98	1	1	487	1	485	3.0e-232	808.1
3300014005.a:Ga0121051_10026_74	AZI55126.1|GT2	94.7	303	16	0	1	303	1	303	2.3e-169	598.6
3300014005.a:Ga0121051_10026_77	AHC21644.2|GH1	49.0	518	259	4	3	520	8	520	8.6e-140	501.1
3300014005.a:Ga0121051_10007_12	AZI38824.1|GT4	98.8	403	5	0	1	403	1	403	6.1e-231	803.5
3300014005.a:Ga0121051_10007_57	AVM55139.1|GH65	56.6	675	292	1	4	677	683	1357	1.5e-229	799.7
3300014005.a:Ga0121051_10007_107	AGL63717.2|GT4	48.2	651	318	7	186	835	107	739	1.4e-160	570.9
3300014005.a:Ga0121051_10007_109	AZI38921.1|GT4	98.9	365	4	0	1	365	1	365	3.1e-213	744.6
3300014005.a:Ga0121051_10007_194	AZI39005.1|GT4	98.2	380	7	0	2	381	3	382	2.0e-215	751.9
3300014005.a:Ga0121051_10007_197	AZI39008.1|GT4	96.9	385	12	0	1	385	1	385	3.2e-213	744.6
3300014005.a:Ga0121051_10007_200	AZI55865.1|GT2	85.3	265	39	0	4	268	3	267	2.2e-131	472.2
3300014005.a:Ga0121051_10007_205	QIG90167.1|GT2	62.7	330	123	0	1	330	1	330	1.7e-109	399.8
3300014005.a:Ga0121051_10007_210	AZI39018.1|GT32	95.8	260	11	0	1	260	1	260	2.4e-151	538.5
3300014005.a:Ga0121051_10007_220	QAY63367.1|GT2	69.1	285	88	0	1	285	316	600	3.1e-112	408.7
3300014005.a:Ga0121051_10007_222	CAI32746.2|GT4	56.3	394	166	1	1	388	1	394	1.4e-126	456.8
3300014005.a:Ga0121051_10007_225	AGL64345.2|GT2	49.1	585	290	4	368	946	276	858	4.3e-158	562.8
3300014005.a:Ga0121051_10007_233	UQB67737.1|CBM50	87.4	668	78	3	1	662	1	668	0.0e+00	1079.3
3300014005.a:Ga0121051_10007_260	QIY84616.1|GH0	98.5	868	13	0	21	888	1	868	0.0e+00	1813.1
3300014005.a:Ga0121051_10007_265	CUS04494.2|GH39	55.2	335	150	0	1	335	4	338	1.8e-106	389.8
3300014005.a:Ga0121051_10007_266	CUS04494.2|GH39	56.7	919	360	5	9	891	341	1257	1.7e-294	1015.8
3300014005.a:Ga0121051_10007_280	CCO12112.2|GH13_31	68.0	428	135	2	1	426	1	428	6.9e-164	580.9
3300014005.a:Ga0121051_10009_21	AZI54016.1|GT28	96.0	373	15	0	1	373	9	381	2.1e-201	705.3
3300014005.a:Ga0121051_10009_37	CAE6204650.1|GH28	50.2	606	286	6	12	607	745	1344	4.4e-172	608.6
3300014005.a:Ga0121051_10009_55	AZI38698.1|GT51	99.6	785	3	0	1	785	1	785	0.0e+00	1568.9
3300014005.a:Ga0121051_10009_74	UQB70599.1|GT9	89.8	305	31	0	17	321	1	305	1.8e-164	582.4
3300014005.a:Ga0121051_10009_75	AZI38680.1|GT2	98.0	300	6	0	1	300	1	300	7.4e-165	583.6
3300014005.a:Ga0121051_10009_130	AZI38546.1|GT4	63.2	372	135	2	1	371	1	371	4.1e-128	461.8
3300014005.a:Ga0121051_10009_166	AZI54158.1|GT2	99.1	336	3	0	1	336	1	336	4.5e-187	657.5
3300014005.a:Ga0121051_10011_16	ALR08738.2|GT83	44.9	586	308	7	3	578	2	582	3.4e-145	519.2
3300014005.a:Ga0121051_10011_22	UQB68294.1|GT19	97.0	367	11	0	1	367	1	367	2.1e-201	705.3
3300014005.a:Ga0121051_10011_67	AZI39226.1|GT1	99.7	322	1	0	1	322	1	322	2.7e-189	664.8
3300014005.a:Ga0121051_10011_83	AZA80936.1|GT4	68.6	404	127	0	3	406	2	405	4.5e-165	584.7
3300014005.a:Ga0121051_10011_84	AZB11817.1|GT4	68.3	363	114	1	1	363	1	362	2.1e-145	519.2
3300014005.a:Ga0121051_10011_85	AQX11563.1|GT4	62.2	360	133	1	1	357	1	360	6.2e-126	454.5
3300014005.a:Ga0121051_10011_98	AZI39259.1|GT30	97.9	421	9	0	1	421	1	421	4.6e-237	823.9
3300014005.a:Ga0121051_10011_100	AZI56208.1|GT2	94.8	251	13	0	1	251	1	251	4.2e-137	491.1
3300014005.a:Ga0121051_10011_101	CUS04921.2|GT4	31.5	1055	467	11	3	1012	17	860	8.9e-154	548.5
3300014005.a:Ga0121051_10011_108	AZI56217.1|CE14	99.2	240	2	0	1	240	1	240	9.9e-136	486.5
3300014005.a:Ga0121051_10011_152	AZI56262.1|GH3	97.1	583	17	0	1	583	1	583	0.0e+00	1120.5
3300014005.a:Ga0121051_10011_154	AZI56264.1|GT4	99.5	386	2	0	1	386	1	386	3.1e-216	754.6
3300014005.a:Ga0121051_10033_38	CAE6201338.1|GH1	51.2	641	290	8	6	630	587	1220	1.2e-188	663.7
3300014005.a:Ga0121051_10033_46	AZI56613.1|GH171	98.5	398	6	0	1	398	1	398	1.3e-233	812.4
3300014005.a:Ga0121051_10013_17	AZI55244.1|GT2	98.1	324	6	0	1	324	1	324	3.8e-191	671.0
3300014005.a:Ga0121051_10013_46	AZI55279.1|GT2	99.1	332	3	0	1	332	1	332	2.3e-191	671.8
3300014005.a:Ga0121051_10013_79	AZI40104.1|GT4	98.6	356	5	0	1	356	2	357	1.1e-199	699.5
3300014005.a:Ga0121051_10013_192	QKX52201.1|CBM50	33.6	745	451	8	35	737	19	761	1.5e-113	414.5
