CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_4	4521	5459	+	GH18
CGC1	TF	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_5	5800	6966	+	none
CGC1	CAZyme	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_6	7013	8518	-	GH18
CGC1	null	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_7	8533	9810	-	null
CGC1	null	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_8	9814	10701	-	null
CGC1	TC	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_9	10713	12326	-	8.A.46.2.2
CGC1	TC	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_10	12332	15649	-	1.B.14.6.13
CGC1	STP	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_11	15806	16771	-	FecR
CGC1	STP	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_12	16976	17542	-	Sigma70_r2+Sigma70_r4_2
CGC1	null	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_13	17755	19197	+	null
CGC1	null	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_14	19201	19386	+	null
CGC1	TC	3300029615.a:Ga0245146_100542	3300029615.a:Ga0245146_100542_15	19428	21533	+	3.A.7.7.1
CGC1	TF	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_6	5068	5232	+	TrmB
CGC1	STP	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_7	5703	6293	+	Sigma70_r2+Sigma70_r4_2
CGC1	null	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_8	6363	6530	+	null
CGC1	null	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_9	6762	8123	-	null
CGC1	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_10	8181	9101	-	2.A.115.1.1
CGC1	null	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_11	9332	10153	+	null
CGC1	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_12	10505	11149	+	9.B.31.1.2
CGC1	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_13	11238	12896	+	4.C.1.1.7
CGC1	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_14	13228	14883	+	4.C.1.1.7
CGC1	CAZyme	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_15	15010	17049	-	GH2| GH2
CGC2	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_25	24428	25246	+	3.A.1.7.5
CGC2	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_26	25300	26508	+	3.A.1.7.5
CGC2	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_27	26505	27362	+	3.A.1.7.3
CGC2	TC	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_28	27369	28115	+	3.A.1.7.1
CGC2	null	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_29	28142	28810	+	null
CGC2	TF	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_30	28851	29543	+	Trans_reg_C
CGC2	STP	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_31	29540	31276	+	HisKA+HATPase_c
CGC2	null	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_32	31428	31634	-	null
CGC2	CAZyme	3300029615.a:Ga0245146_100406	3300029615.a:Ga0245146_100406_33	31793	32914	-	GT2
