HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23.hmm	135	3300027980.a:Ga0209475_10000005_1070	544	2.4e-27	14	125	132	267	0.8222222222222222
GT2.hmm	170	3300027980.a:Ga0209475_10000005_1072	378	4.9e-35	3	143	7	145	0.8235294117647058
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1096	428	3.4e-31	12	157	236	389	0.90625
GT28.hmm	157	3300027980.a:Ga0209475_10000005_1097	402	4.6e-19	2	143	229	374	0.8980891719745223
CE4.hmm	130	3300027980.a:Ga0209475_10000005_1126	701	9.9e-20	5	122	54	264	0.9
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1126	701	1.5e-24	6	159	493	647	0.95625
GT2.hmm	170	3300027980.a:Ga0209475_10000005_1127	556	6.7e-16	6	129	265	396	0.7235294117647059
GH23.hmm	135	3300027980.a:Ga0209475_10000005_1143	475	4.4e-23	15	127	323	463	0.8296296296296296
GH109.hmm	399	3300027980.a:Ga0209475_10000005_1149	517	4.5e-21	7	160	7	149	0.38345864661654133
GT2.hmm	170	3300027980.a:Ga0209475_10000005_1150	312	6.7e-25	2	113	12	124	0.6529411764705882
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1151	342	2e-36	7	157	147	303	0.9375
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1152	653	3.8e-17	12	151	188	328	0.86875
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1183	376	2.2e-30	7	159	195	348	0.95
GT4.hmm	160	3300027980.a:Ga0209475_10000005_1225	579	1.4e-20	12	138	246	381	0.7875
GT4.hmm	160	3300027980.a:Ga0209475_10000005_137	383	4.5e-16	9	153	216	352	0.9
GT2.hmm	170	3300027980.a:Ga0209475_10000005_141	241	2e-33	1	166	8	167	0.9705882352941176
GT51.hmm	177	3300027980.a:Ga0209475_10000005_216	782	1.7e-70	2	177	55	230	0.9887005649717514
GT4.hmm	160	3300027980.a:Ga0209475_10000005_287	416	3.5e-19	9	153	217	372	0.9
GT2.hmm	170	3300027980.a:Ga0209475_10000005_314	538	5.6e-17	7	126	262	386	0.7
GT2.hmm	170	3300027980.a:Ga0209475_10000005_315	567	3.3e-18	7	122	278	397	0.6764705882352942
GT2.hmm	170	3300027980.a:Ga0209475_10000005_336	340	1.3e-29	2	133	8	138	0.7705882352941177
GT83.hmm	540	3300027980.a:Ga0209475_10000005_398	541	4.2e-75	9	522	15	527	0.95
GT19.hmm	354	3300027980.a:Ga0209475_10000005_402	379	7.5e-122	1	352	9	356	0.9915254237288136
GT2.hmm	170	3300027980.a:Ga0209475_10000005_418	386	4.5e-19	1	166	7	159	0.9705882352941176
GT4.hmm	160	3300027980.a:Ga0209475_10000005_419	316	4.5e-18	7	113	140	253	0.6625
GH3.hmm	216	3300027980.a:Ga0209475_10000005_435	363	3.7e-53	7	215	92	315	0.9629629629629629
GH109.hmm	399	3300027980.a:Ga0209475_10000005_564	524	1.4e-19	3	162	191	343	0.39849624060150374
GH102.hmm	157	3300027980.a:Ga0209475_10000005_60	445	5.4e-44	1	157	188	338	0.9936305732484076
GT28.hmm	157	3300027980.a:Ga0209475_10000005_602	360	1.5e-53	2	157	186	346	0.9872611464968153
