Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300027162.a:Ga0255212_1000003_132	3.2.1.41:1|3.2.1.135:1	GH13_20(47-360)	GH13_e157	GH13_20	N	3
3300027162.a:Ga0255212_1000003_224	-	GH23(388-530)	GH23_e858	GH23	Y(1-16)	3
3300027162.a:Ga0255212_1000003_48	-	GH13_21(157-459)	GH13_e229	GH13_21	N	3
3300027162.a:Ga0255212_1000004_155	-	CE1(120-304)	-	-	N	1
3300027162.a:Ga0255212_1000004_159	-	GT4(189-332)	GT4_e227	GT4	N	3
3300027162.a:Ga0255212_1000004_184	-	GT28(182-321)	GT28_e151	GT28	N	3
3300027162.a:Ga0255212_1000004_68	-	CE14(5-110)	CE14_e41	CE14	N	3
3300027162.a:Ga0255212_1000004_85	-	GT51(71-237)	GT51_e35	GT51	N	3
3300027162.a:Ga0255212_1000004_9	2.4.1.25:21	GH77(11-480)	GH77_e26	GH77	N	3
3300027162.a:Ga0255212_1000004_96	2.4.1.1:9	GT35(263-619)	GT35_e7	GT35	N	3
3300027162.a:Ga0255212_1000005_192	-	GT4(195-341)	GT4_e3473	GT4	N	3
3300027162.a:Ga0255212_1000005_194	-	GT94(84-264)	GT4_e1899	GT4	N	3
3300027162.a:Ga0255212_1000005_196	-	GT4(184-334)	GT4_e2845	GT4	N	3
3300027162.a:Ga0255212_1000005_45	-	AA7(39-233)	-	-	N	1
3300027162.a:Ga0255212_1000005_51	-	CE14(83-236)	-	-	N	1
3300027162.a:Ga0255212_1000005_98	-	GT2(242-468)	GT2	GT2	N	3
3300027162.a:Ga0255212_1000016_31	-	AA4(20-219)	-	-	N	1
3300027162.a:Ga0255212_1000016_9	2.4.1.21:29	GT5(5-436)	GT5_e31	GT5	N	3
3300027162.a:Ga0255212_1000020_64	-	AA4(27-229)	AA4_e1	-	N	2
3300027162.a:Ga0255212_1000020_88	3.2.1.20:1|3.2.1.10:1	GH13_23(26-366)	GH13_e182	GH13_23+3.2.1.10	N	3
3300027162.a:Ga0255212_1000020_91	5.4.99.16:7	GH13_16(28-380)	GH13_e0	GH13_16+5.4.99.16	N	3
3300027162.a:Ga0255212_1000021_24	-	GH57(23-468)	GH57_e18	GH57	Y(1-20)	3
3300027162.a:Ga0255212_1000022_39	3.2.1.170:3	GH63(23-408)	GH63_e14	GH63	N	3
3300027162.a:Ga0255212_1000022_62	2.4.1.217:4	GT55(4-381)	GT55_e4	GT55	N	3
3300027162.a:Ga0255212_1000026_54	-	GT26(56-218)	GT26_e104	GT26	N	3
3300027162.a:Ga0255212_1000045_52	-	GT4(164-298)	GT4_e1943	GT4	N	3
3300027162.a:Ga0255212_1000045_59	-	CE14(4-133)	CE14_e52	-	N	2
3300027162.a:Ga0255212_1000051_49	2.4.1.18:3|3.2.1.1:1	GH57(5-437)	GH57_e46	GH57+2.4.1.18	Y(1-18)	3
3300027162.a:Ga0255212_1000054_26	-	GT2(40-229)	GT2	GT2	N	3
3300027162.a:Ga0255212_1000054_45	3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1	GH1(6-428)	GH1_e113	GH1	N	3
3300027162.a:Ga0255212_1000073_14	-	GT2(5-128)	GT2	GT2	N	3
3300027162.a:Ga0255212_1000073_29	-	CE14(1-111)	CE14_e26	-	N	2
3300027162.a:Ga0255212_1000073_38	-	CE4(31-100)	CE4_e356	CE4	N	3
3300027162.a:Ga0255212_1000073_40	-	GT2(4-154)	GT2	GT2	N	3
3300027162.a:Ga0255212_1000073_41	-	GT4(195-345)	GT4_e1633	GT4	N	3
3300027162.a:Ga0255212_1000081_2	-	GT2(6-108)	GT2	GT2	N	3
3300027162.a:Ga0255212_1000081_4	-	GT4(181-312)	GT4_e377	GT4	N	3
