HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	3300014916.a:Ga0169762_100033_137	477	9.8e-137	4	428	7	473	0.9883449883449883
GH1.hmm	429	3300014916.a:Ga0169762_100033_138	484	1e-139	2	428	5	480	0.993006993006993
GH1.hmm	429	3300014916.a:Ga0169762_100060_51	491	1.5e-144	4	428	5	486	0.9883449883449883
GH4.hmm	179	3300014916.a:Ga0169762_100065_11	445	8.1e-57	1	177	4	181	0.9832402234636871
CE9.hmm	373	3300014916.a:Ga0169762_100065_14	375	1e-115	2	371	6	369	0.9892761394101877
CE4.hmm	130	3300014916.a:Ga0169762_100065_24	457	4.9e-27	4	120	240	369	0.8923076923076924
CE4.hmm	130	3300014916.a:Ga0169762_100065_25	456	9.4e-29	5	113	241	356	0.8307692307692308
GH112.hmm	715	3300014916.a:Ga0169762_100065_64	724	0	1	714	6	720	0.9972027972027973
GH1.hmm	429	3300014916.a:Ga0169762_100066_19	261	5.1e-59	202	428	6	257	0.5268065268065268
CE4.hmm	130	3300014916.a:Ga0169762_100066_2	389	2.6e-22	4	130	222	356	0.9692307692307692
GT14.hmm	250	3300014916.a:Ga0169762_100066_68	292	4.7e-22	1	248	3	256	0.988
GH1.hmm	429	3300014916.a:Ga0169762_100071_45	468	2.3e-139	15	428	3	456	0.9627039627039627
GH38.hmm	269	3300014916.a:Ga0169762_100077_51	881	6.5e-49	2	264	5	277	0.9739776951672863
GH1.hmm	429	3300014916.a:Ga0169762_100077_62	477	4e-147	6	428	2	472	0.9836829836829837
GH1.hmm	429	3300014916.a:Ga0169762_100079_19	463	2.4e-145	5	428	3	458	0.986013986013986
CE6.hmm	99	3300014916.a:Ga0169762_100079_5	277	8.2e-32	1	98	54	145	0.9797979797979798
GH4.hmm	179	3300014916.a:Ga0169762_100079_52	443	1.2e-76	1	179	7	187	0.994413407821229
GT28.hmm	157	3300014916.a:Ga0169762_100083_74	358	8.7e-48	2	157	189	344	0.9872611464968153
GH1.hmm	429	3300014916.a:Ga0169762_100085_3	472	2.4e-153	8	427	3	463	0.9766899766899767
GH1.hmm	429	3300014916.a:Ga0169762_100085_31	470	2e-139	7	428	3	466	0.9813519813519813
GH170.hmm	350	3300014916.a:Ga0169762_100086_37	362	3.4e-127	1	349	3	359	0.9942857142857143
CBM66.hmm	155	3300014916.a:Ga0169762_100086_41	1605	5.6e-28	2	154	237	391	0.9806451612903225
GH32.hmm	293	3300014916.a:Ga0169762_100086_41	1605	3.8e-59	1	287	524	831	0.9761092150170648
CBM66.hmm	155	3300014916.a:Ga0169762_100086_41	1605	1.4e-17	1	155	1094	1257	0.9935483870967742
GH1.hmm	429	3300014916.a:Ga0169762_100086_75	362	7.1e-101	103	428	1	358	0.7575757575757576
GT51.hmm	177	3300014916.a:Ga0169762_100091_42	884	3.5e-53	2	176	73	270	0.9830508474576272
GT51.hmm	177	3300014916.a:Ga0169762_100091_44	1144	2.8e-54	3	176	309	503	0.9774011299435028
GH1.hmm	429	3300014916.a:Ga0169762_100107_16	482	1.5e-136	3	428	6	478	0.9906759906759907
GH1.hmm	429	3300014916.a:Ga0169762_100107_18	480	1.1e-154	1	428	1	476	0.9953379953379954
GH170.hmm	350	3300014916.a:Ga0169762_100107_40	365	8.7e-106	1	343	3	354	0.9771428571428571
GH109.hmm	399	3300014916.a:Ga0169762_100107_8	341	5.2e-24	3	147	1	135	0.3609022556390977
GH112.hmm	715	3300014916.a:Ga0169762_100113_58	724	0	1	714	6	717	0.9972027972027973
GT5.hmm	472	3300014916.a:Ga0169762_100119_26	480	4e-180	1	471	3	475	0.9957627118644068
GH1.hmm	429	3300014916.a:Ga0169762_100128_55	464	3.5e-114	3	427	3	459	0.9883449883449883
GH13_20.hmm	300	3300014916.a:Ga0169762_100171_9	561	4.3e-80	4	298	34	324	0.98
CE4.hmm	130	3300014916.a:Ga0169762_100174_15	437	3e-25	4	123	235	362	0.9153846153846154
GT4.hmm	160	3300014916.a:Ga0169762_100174_23	351	4.7e-21	5	157	164	312	0.95
GT4.hmm	160	3300014916.a:Ga0169762_100174_25	660	3.5e-34	5	153	207	351	0.925
GH25.hmm	177	3300014916.a:Ga0169762_100174_43	297	1.1e-41	1	176	6	181	0.9887005649717514
CE1.hmm	227	3300014916.a:Ga0169762_100181_29	253	2.7e-36	6	223	14	249	0.9559471365638766
GT51.hmm	177	3300014916.a:Ga0169762_100181_48	234	1.5e-63	7	176	45	213	0.9548022598870056
GH109.hmm	399	3300014916.a:Ga0169762_100181_8	317	8.7e-26	6	183	2	165	0.44360902255639095
GH4.hmm	179	3300014916.a:Ga0169762_100192_15	442	5.3e-69	2	179	6	183	0.9888268156424581
GH43_24.hmm	246	3300014916.a:Ga0169762_100192_34	310	7.8e-85	1	245	22	267	0.991869918699187
GH1.hmm	429	3300014916.a:Ga0169762_100200_12	474	6.4e-141	4	428	2	470	0.9883449883449883
GH1.hmm	429	3300014916.a:Ga0169762_100203_23	329	9.3e-82	123	428	1	325	0.710955710955711
GH73.hmm	128	3300014916.a:Ga0169762_100203_45	495	4e-20	4	126	287	401	0.953125
CE9.hmm	373	3300014916.a:Ga0169762_100204_29	380	1.2e-119	2	373	4	375	0.9946380697050938
GH38.hmm	269	3300014916.a:Ga0169762_100207_22	870	5.4e-60	1	255	3	254	0.9442379182156134
GH1.hmm	429	3300014916.a:Ga0169762_100207_24	458	3.2e-146	4	428	3	456	0.9883449883449883
GH13_14.hmm	289	3300014916.a:Ga0169762_100211_29	713	4e-105	2	289	259	573	0.9930795847750865
GT35.hmm	674	3300014916.a:Ga0169762_100211_31	805	9.3e-263	2	674	96	799	0.9970326409495549
GT2.hmm	170	3300014916.a:Ga0169762_100211_34	316	1.3e-25	1	143	4	145	0.8352941176470589
GT2.hmm	170	3300014916.a:Ga0169762_100211_39	891	1.8e-35	1	166	36	199	0.9705882352941176
GT2.hmm	170	3300014916.a:Ga0169762_100211_40	1151	4e-37	1	156	8	160	0.9117647058823529
CE4.hmm	130	3300014916.a:Ga0169762_100212_35	265	2.1e-19	4	124	91	224	0.9230769230769231
GH13_29.hmm	344	3300014916.a:Ga0169762_100213_10	550	2.1e-173	2	343	25	368	0.9912790697674418
CE4.hmm	130	3300014916.a:Ga0169762_100213_15	255	8.6e-28	6	112	44	150	0.8153846153846154
GH1.hmm	429	3300014916.a:Ga0169762_100213_41	484	1.2e-162	3	428	7	480	0.9906759906759907
GH1.hmm	429	3300014916.a:Ga0169762_100232_22	479	3.8e-132	2	428	6	473	0.993006993006993
GH1.hmm	429	3300014916.a:Ga0169762_100232_24	472	9.6e-146	6	426	2	462	0.9790209790209791
GH1.hmm	429	3300014916.a:Ga0169762_100245_21	489	1.1e-140	3	428	6	485	0.9906759906759907
GH1.hmm	429	3300014916.a:Ga0169762_100245_23	475	2.6e-148	7	426	7	467	0.9766899766899767
CBM48.hmm	76	3300014916.a:Ga0169762_100247_32	620	4.6e-18	3	69	21	104	0.868421052631579
GH13_9.hmm	301	3300014916.a:Ga0169762_100247_32	620	9.5e-125	2	300	172	459	0.9900332225913622
GH25.hmm	177	3300014916.a:Ga0169762_100247_5	577	2.5e-36	1	177	113	303	0.9943502824858758
GH109.hmm	399	3300014916.a:Ga0169762_100248_27	325	3e-19	7	164	2	151	0.39348370927318294
GH1.hmm	429	3300014916.a:Ga0169762_100300_19	460	2.1e-147	7	428	3	458	0.9813519813519813
GH32.hmm	293	3300014916.a:Ga0169762_100300_9	435	1.2e-78	1	293	9	308	0.9965870307167235
GT51.hmm	177	3300014916.a:Ga0169762_100399_1	621	8.8e-66	5	175	50	221	0.96045197740113
CE9.hmm	373	3300014916.a:Ga0169762_100399_4	370	5.5e-87	2	373	6	365	0.9946380697050938
CE1.hmm	227	3300014916.a:Ga0169762_100411_12	252	5.9e-20	74	221	83	248	0.6475770925110133
CE4.hmm	130	3300014916.a:Ga0169762_100411_14	438	5.7e-34	5	119	243	359	0.8769230769230769
GT35.hmm	674	3300014916.a:Ga0169762_100441_4	753	3.5e-208	4	673	81	751	0.9925816023738873
GH77.hmm	494	3300014916.a:Ga0169762_100441_5	491	2.2e-143	1	468	9	467	0.9453441295546559
GH109.hmm	399	3300014916.a:Ga0169762_100476_21	334	1.7e-20	3	160	1	149	0.39348370927318294
