dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH19_e52	GH19:405	-	-	141	3300011924.a:Ga0120870_100002_134	792	8.7e-24	2	137	35	162	0.9574468085106383	0.9574468085106383
GH77_e2	GH77:1777|GT4:13	2.4.1.25:4	starch	527	3300011924.a:Ga0120870_100004_123	748	3.5e-246	1	522	212	734	0.9886148007590133	0.9886148007590133
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	3300011924.a:Ga0120870_100005_19	745	5.2e-28	5	98	13	108	0.9207920792079208	0.9207920792079208
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose, starch, starch	358	3300011924.a:Ga0120870_100005_19	745	4e-149	3	356	187	582	0.9860335195530726	0.9860335195530726
GT4_e4007	GT4:9	-	-	151	3300011924.a:Ga0120870_100007_2	358	3.1e-71	1	149	179	327	0.9801324503311258	0.9801324503311258
GH13_e105	GH13_26:1493|GH77:81|GH13:7|GH57:1|CBM48:1|GH13_10:1	5.4.99.15:5	sucrose, starch	304	3300011924.a:Ga0120870_100009_12	900	1.8e-113	7	302	20	310	0.9703947368421053	0.9703947368421053
GT2	GT2:6	-	-	173	3300011924.a:Ga0120870_100014_11	317	1.7e-69	1	172	7	198	0.9884393063583815	0.9884393063583815
GT4_e3310	GT4:12|GT2:1	-	-	129	3300011924.a:Ga0120870_100014_14	676	4.7e-53	1	128	188	315	0.9844961240310077	0.9844961240310077
GT2	GT2:13|GT4:1	-	-	216	3300011924.a:Ga0120870_100014_14	676	3e-57	1	215	372	596	0.9907407407407407	0.9907407407407407
GT4_e498	GT4:16	-	-	149	3300011924.a:Ga0120870_100014_17	317	4.2e-42	2	149	103	249	0.9865771812080537	0.9865771812080537
GT4_e1001	GT4:5	-	-	150	3300011924.a:Ga0120870_100014_20	397	1.7e-68	2	149	201	347	0.98	0.98
GT4_e2393	GT4:10	-	-	139	3300011924.a:Ga0120870_100014_34	348	1.1e-24	2	135	179	315	0.9568345323741008	0.9568345323741008
