CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_15	11187	13328	+	AA0|AA2
CGC1	null	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_16	13534	14433	-	null
CGC1	TC	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_17	14582	15103	+	9.A.24.1.7
CGC1	TC	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_18	15237	15887	+	9.B.150.1.3
CGC1	null	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_19	15967	17256	+	null
CGC1	TF	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_20	17504	20386	+	HTH_10
CGC1	null	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_21	20681	21973	+	null
CGC1	null	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_22	22053	22430	+	null
CGC1	TF	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_23	22483	22902	+	none
CGC1	STP	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_24	23030	24517	+	Pyr_redox_2
CGC1	STP	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_25	24595	25836	+	Rhodanese
CGC1	null	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_26	25907	26149	+	null
CGC1	TC	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_27	26275	27126	+	8.A.5.1.6
CGC1	TC	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_28	27205	28068	+	2.A.5.5.2
CGC1	STP	3300011185.a:Ga0136597_1000099	3300011185.a:Ga0136597_1000099_29	28186	28650	+	Glyoxalase
CGC1	TF	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_101	84980	85519	-	HTH_3
CGC1	TC	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_102	85567	86199	-	4.F.1.3.4
CGC1	null	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_103	86257	86871	-	null
CGC1	STP	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_104	86868	87986	-	Aminotran_1_2
CGC1	null	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_105	88290	88502	-	null
CGC1	CAZyme	3300011185.a:Ga0136597_1000017	3300011185.a:Ga0136597_1000017_106	88519	90300	+	CBM20|GH13_32|GH13_43
