CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	STP	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_87	90338	91873	+	Pribosyltran
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_88	91912	92289	-	null
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_89	92351	93058	-	null
CGC1	TC	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_90	93128	94378	-	2.A.6.4.1
CGC1	TC	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_91	94389	96284	-	2.A.6.4.1
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_92	96439	96798	-	null
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_93	97129	97638	+	null
CGC1	CAZyme	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_94	97866	100922	+	GH23| GH23|CBM50
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_95	101084	101356	-	null
CGC1	null	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_96	101806	102468	+	null
CGC1	TF	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_97	102675	103289	+	Rrf2
CGC1	STP	3300011596.a:Ga0120932_100004	3300011596.a:Ga0120932_100004_98	103286	104503	+	Aminotran_1_2
CGC1	STP	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_21	24299	25606	+	HisKA+HATPase_c
CGC1	TF	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_22	25616	26176	+	HTH_8
CGC1	TF	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_23	26387	26599	-	CSD
CGC1	CAZyme	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_24	26921	27652	-	GT2
CGC1	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_25	27667	28269	-	null
CGC1	STP	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_26	28262	29083	-	PIG-L
CGC1	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_27	29071	30168	-	null
CGC1	CAZyme	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_28	30223	31638	-	 GT20|GT20
CGC1	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_29	31626	32459	-	null
CGC1	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_30	32509	33672	-	null
CGC1	TC	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_31	34339	36936	+	3.A.9.1.2
CGC2	TC	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_107	122818	123810	+	8.A.21.2.4
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_108	123932	124594	+	null
CGC2	STP	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_109	124729	126810	+	AAA
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_110	126839	127927	+	null
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_111	128033	129613	-	null
CGC2	TF	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_112	129765	130094	-	HTH_8
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_113	130348	131526	-	null
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_114	131749	132657	-	null
CGC2	CAZyme	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_115	132856	135531	-	 GT51|GT51
CGC2	TC	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_116	135641	138379	+	3.A.3.27.5
CGC2	null	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_117	138400	139320	-	null
CGC2	STP	3300011596.a:Ga0120932_100014	3300011596.a:Ga0120932_100014_118	139680	140465	+	AAA
