HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH125.hmm	402	3300029770.a:Ga0168716_100004_102	442	9.1e-166	3	402	37	432	0.9925373134328358
GT2.hmm	170	3300029770.a:Ga0168716_100004_250	338	1.7e-20	2	169	16	200	0.9823529411764705
GH32.hmm	293	3300029770.a:Ga0168716_100004_36	519	5.2e-88	1	289	44	351	0.9829351535836177
GT28.hmm	157	3300029770.a:Ga0168716_100004_98	407	4.5e-46	2	157	219	391	0.9872611464968153
GH13_4.hmm	400	3300029770.a:Ga0168716_100020_110	606	2.2e-177	1	400	85	482	0.9975
GH43_11.hmm	292	3300029770.a:Ga0168716_100020_155	544	3.3e-138	1	292	3	304	0.9965753424657534
CBM91.hmm	200	3300029770.a:Ga0168716_100020_155	544	6.8e-44	3	199	332	539	0.98
GH120.hmm	91	3300029770.a:Ga0168716_100020_156	681	1.1e-36	2	91	320	409	0.978021978021978
GH8.hmm	320	3300029770.a:Ga0168716_100020_157	380	1.5e-75	19	319	54	371	0.9375
GH43_10.hmm	271	3300029770.a:Ga0168716_100020_158	530	2.4e-96	1	271	6	276	0.996309963099631
CBM91.hmm	200	3300029770.a:Ga0168716_100020_158	530	2.6e-25	10	198	319	521	0.94
GH77.hmm	494	3300029770.a:Ga0168716_100020_165	721	1.4e-137	2	481	188	705	0.9696356275303644
GH13_11.hmm	351	3300029770.a:Ga0168716_100020_168	816	9.6e-144	1	351	230	598	0.9971509971509972
GT4.hmm	160	3300029770.a:Ga0168716_100047_98	394	2e-20	11	158	210	354	0.91875
GT2.hmm	170	3300029770.a:Ga0168716_100049_101	334	1.8e-32	1	118	4	119	0.6882352941176471
GH31.hmm	427	3300029770.a:Ga0168716_100049_124	691	2.9e-144	1	425	221	682	0.9929742388758782
GH31.hmm	427	3300029770.a:Ga0168716_100049_133	900	4e-132	1	427	195	667	0.9976580796252927
GT51.hmm	177	3300029770.a:Ga0168716_100049_149	768	2e-60	3	176	80	269	0.9774011299435028
GH13_3.hmm	210	3300029770.a:Ga0168716_100049_35	763	2.6e-85	3	209	330	549	0.9809523809523809
GH42.hmm	371	3300029770.a:Ga0168716_100049_73	697	2.3e-147	1	370	23	394	0.9946091644204852
GT2.hmm	170	3300029770.a:Ga0168716_100049_95	353	5.7e-37	2	167	9	179	0.9705882352941176
GT111.hmm	217	3300029770.a:Ga0168716_100049_97	266	8.3e-77	1	217	7	227	0.9953917050691244
GT4.hmm	160	3300029770.a:Ga0168716_100049_98	366	1.8e-23	11	116	187	289	0.65625
GT4.hmm	160	3300029770.a:Ga0168716_100049_99	372	7.9e-30	5	119	196	308	0.7125
GH3.hmm	216	3300029770.a:Ga0168716_100091_16	965	8.2e-52	14	213	674	875	0.9212962962962963
GH13_31.hmm	349	3300029770.a:Ga0168716_100091_4	607	3.1e-152	1	348	46	412	0.994269340974212
GT35.hmm	674	3300029770.a:Ga0168716_100091_61	815	2e-258	1	672	100	809	0.9955489614243324
GH36.hmm	688	3300029770.a:Ga0168716_100091_9	771	9.1e-221	13	673	33	709	0.9593023255813954
GH43_4.hmm	310	3300029770.a:Ga0168716_100096_100	529	4.3e-103	2	310	53	396	0.9935483870967742
GH43_27.hmm	299	3300029770.a:Ga0168716_100096_101	706	3.5e-114	1	299	344	677	0.9966555183946488
GH43_26.hmm	294	3300029770.a:Ga0168716_100096_103	339	1.3e-114	1	292	4	304	0.9897959183673469
GH146.hmm	503	3300029770.a:Ga0168716_100096_107	854	3.2e-181	1	503	13	591	0.9980119284294234
GT51.hmm	177	3300029770.a:Ga0168716_100096_108	773	1.3e-60	3	177	105	278	0.9830508474576272
CE20.hmm	249	3300029770.a:Ga0168716_100096_15	606	2.3e-69	3	248	122	435	0.9839357429718876
GT2.hmm	170	3300029770.a:Ga0168716_100096_52	344	1.4e-29	2	110	9	116	0.6352941176470588
GH127.hmm	524	3300029770.a:Ga0168716_100096_68	658	2.7e-206	1	524	3	565	0.9980916030534351
GH121.hmm	1392	3300029770.a:Ga0168716_100096_69	1861	0	9	1391	13	1444	0.992816091954023
GH43_29.hmm	278	3300029770.a:Ga0168716_100096_70	1138	2.5e-92	3	273	91	441	0.9712230215827338
GH13_18.hmm	343	3300029770.a:Ga0168716_100096_9	505	6.8e-113	2	343	35	379	0.9941690962099126
GH43_4.hmm	310	3300029770.a:Ga0168716_100096_99	553	1.4e-99	2	310	42	401	0.9935483870967742
CE1.hmm	227	3300029770.a:Ga0168716_100167_16	468	6.6e-25	7	217	204	437	0.9251101321585903
GH3.hmm	216	3300029770.a:Ga0168716_100167_30	412	1.1e-37	9	215	142	365	0.9537037037037037
GH13_9.hmm	301	3300029770.a:Ga0168716_100167_59	752	5.5e-157	1	301	301	601	0.9966777408637874
CBM48.hmm	76	3300029770.a:Ga0168716_100167_89	715	1.1e-18	2	71	10	99	0.9078947368421053
GH13_11.hmm	351	3300029770.a:Ga0168716_100167_89	715	3.7e-174	1	351	179	532	0.9971509971509972
GH36.hmm	688	3300029770.a:Ga0168716_100229_11	813	1.1e-78	107	605	145	675	0.7238372093023255
GH172.hmm	236	3300029770.a:Ga0168716_100229_18	394	5.7e-85	1	236	114	374	0.9957627118644068
CE9.hmm	373	3300029770.a:Ga0168716_100229_27	444	2.4e-112	3	372	35	433	0.9892761394101877
GH20.hmm	337	3300029770.a:Ga0168716_100229_29	669	2.1e-43	14	336	144	453	0.9554896142433235
GH2.hmm	752	3300029770.a:Ga0168716_100229_36	1025	6.8e-208	5	749	22	899	0.9893617021276596
GH3.hmm	216	3300029770.a:Ga0168716_100229_56	810	2.2e-72	3	216	25	245	0.9861111111111112
GH51.hmm	630	3300029770.a:Ga0168716_100229_8	787	6.3e-87	108	627	189	784	0.8238095238095238
GH27.hmm	229	3300029770.a:Ga0168716_100229_9	474	3.9e-46	6	184	164	359	0.777292576419214
GH13_32.hmm	269	3300029770.a:Ga0168716_100239_52	1753	1e-95	3	268	74	357	0.9851301115241635
CBM41.hmm	102	3300029770.a:Ga0168716_100239_52	1753	1.3e-21	2	102	755	879	0.9803921568627451
