dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51_e153	GT51:4623	-	-	175	3300029814.a:Ga0243410_100016_213	804	1.6e-78	1	175	86	260	0.9942857142857143	0.9942857142857143
GH24_e26	GH24:188|CBM50:1	-	-	132	3300029814.a:Ga0243410_100046_143	150	1e-31	4	131	15	143	0.9621212121212122	0.9621212121212122
GT30_e26	GT30:1466	2.4.99.-:1	-	172	3300029814.a:Ga0243410_100077_52	442	1.1e-65	1	171	37	217	0.9883720930232558	0.9883720930232558
CE11_e22	CE11:9240	3.5.1.108:18	exo-polysaccharide	272	3300029814.a:Ga0243410_100125_14	306	3.9e-122	1	272	5	276	0.9963235294117647	0.9963235294117647
GH23_e266	GH23:17	-	-	127	3300029814.a:Ga0243410_100239_6	158	4.9e-37	2	122	26	140	0.9448818897637795	0.9448818897637795
GH23_e326	GH23:1448|CBM50:1331	-	-	139	3300029814.a:Ga0243410_100435_35	589	5.3e-67	1	139	91	229	0.9928057553956835	0.9928057553956835
CBM50_e623	CBM50:9|GH23:8|GH18:1	3.2.1.14:1	chitin, peptidoglycan	42	3300029814.a:Ga0243410_100435_35	589	5.1e-17	2	41	471	510	0.9285714285714286	0.9285714285714286
CBM50_e225	CBM50:1418|GH23:1401	-	chitin, peptidoglycan	43	3300029814.a:Ga0243410_100435_35	589	6.8e-16	1	42	546	586	0.9534883720930233	0.9534883720930233
GH103_e12	GH103:1128	-	-	288	3300029814.a:Ga0243410_100599_8	394	1.7e-96	2	288	49	349	0.9930555555555556	0.9930555555555556
GT9_e327	GT9:6	-	-	211	3300029814.a:Ga0243410_101235_11	314	5.5e-83	1	209	79	287	0.985781990521327	0.985781990521327
GT8_e138	GT8:5	-	-	241	3300029814.a:Ga0243410_101309_3	337	3.4e-48	3	240	27	263	0.983402489626556	0.983402489626556
GH102_e26	GH102:180	-	-	157	3300029814.a:Ga0243410_103639_4	397	7.4e-63	3	157	138	291	0.9808917197452229	0.9808917197452229
GH8_e0	GH8:4312	3.2.1.4:20|3.2.1.6:1	cellulose, beta-glucan	326	3300029814.a:Ga0243410_100016_184	366	5.1e-98	2	325	24	335	0.99079754601227	0.99079754601227
GH23_e807	GH23:501	-	-	105	3300029814.a:Ga0243410_100016_44	304	1.2e-35	2	103	139	240	0.9619047619047619	0.9619047619047619
GT28_e46	GT28:8561	2.4.1.227:11	-	160	3300029814.a:Ga0243410_100125_21	361	6.9e-59	1	160	187	346	0.99375	0.99375
GH23_e977	GH23:408	-	-	143	3300029814.a:Ga0243410_100762_5	235	3.4e-50	3	139	69	196	0.951048951048951	0.951048951048951
GT2	GT2:23	-	-	125	3300029814.a:Ga0243410_101309_5	261	1.4e-34	1	124	14	136	0.984	0.984
GT4_e1490	GT4:23	-	-	132	3300029814.a:Ga0243410_101309_6	364	3.8e-40	3	130	194	322	0.9621212121212122	0.9621212121212122
GT2	GT2:108	2.4.1.12:1	-	294	3300029814.a:Ga0243410_100016_186	901	1.1e-98	1	293	288	561	0.9931972789115646	0.9931972789115646
GT2	GT2:522	2.4.1.12:6|2.4.1.-:1	-	352	3300029814.a:Ga0243410_100016_186	901	1.1e-49	81	305	448	719	0.6363636363636364	0.6363636363636364
GT9_e37	GT9:13	-	-	209	3300029814.a:Ga0243410_100077_51	316	1.7e-68	1	208	78	281	0.9904306220095693	0.9904306220095693
GH24_e123	GH24:56	-	-	132	3300029814.a:Ga0243410_100086_4	166	8.5e-36	5	131	18	161	0.9545454545454546	0.9545454545454546
GT104_e0	GT104:2389	2.4.1.-:4	-	383	3300029814.a:Ga0243410_100136_72	363	2.4e-118	5	379	2	361	0.9765013054830287	0.9765013054830287
GT19_e37	GT19:847	-	-	356	3300029814.a:Ga0243410_100152_70	384	5.5e-136	2	354	11	365	0.9887640449438202	0.9887640449438202
GT51_e94	GT51:192	-	-	165	3300029814.a:Ga0243410_100239_35	239	2.8e-63	2	162	67	227	0.9696969696969697	0.9696969696969697
GH23_e348	GH23:6	-	-	145	3300029814.a:Ga0243410_100267_44	177	2.2e-41	1	143	30	172	0.9793103448275862	0.9793103448275862
GH3_e78	GH3:1653	3.2.1.52:1	chitin	228	3300029814.a:Ga0243410_100290_6	358	1.5e-104	2	228	61	286	0.9912280701754386	0.9912280701754386
GT111_e1	GT111:222	-	-	216	3300029814.a:Ga0243410_106344_3	255	1.4e-82	1	215	5	221	0.9907407407407407	0.9907407407407407
