3300021319.a:Ga0214520_102097	PUL0335_25	63.4	413	149	2	8845	10077	8	420	5.75e-163	509
3300021319.a:Ga0214520_100224	PUL0333_3	64.1	304	109	0	35685	36596	7	310	4.09e-120	384
3300021319.a:Ga0214520_100639	PUL0038_7	48.5	511	235	6	56840	55323	2	489	2.13e-140	449
3300021319.a:Ga0214520_100022	PUL0340_3	45.8	893	414	12	32244	34799	4	867	1.88e-208	664
3300021319.a:Ga0214520_100243	PUL0121_9	47.6	717	356	6	15686	13569	27	734	2.86e-197	624
3300021319.a:Ga0214520_100125	PUL0124_19	42.8	594	336	3	55253	53475	8	598	1.90e-147	476
3300021319.a:Ga0214520_100459	PUL0017_9	45.2	733	321	10	5552	7720	111	772	8.36e-187	595
3300021319.a:Ga0214520_100348	PUL0230_10	44.6	392	211	3	13225	12050	4	389	2.08e-101	333
3300021319.a:Ga0214520_100076	PUL0017_9	51.7	650	284	8	117904	115982	144	772	2.75e-199	633
3300021319.a:Ga0214520_100692	PUL0103_5	33.3	631	376	12	46187	48049	119	714	4.24e-94	323
3300021319.a:Ga0214520_100151	PUL0286_13	59.7	335	135	0	155411	154407	5	339	8.79e-135	428
3300021319.a:Ga0214520_100075	PUL0267_9	57.2	663	280	2	194208	196184	4	666	2.01e-245	761
3300021319.a:Ga0214520_100526	PUL0507_12	53.8	383	156	3	4818	5903	1	383	1.63e-124	399
3300021319.a:Ga0214520_100107	PUL0267_10	56.3	942	404	4	15369	12544	1	934	0.0	1056
3300021319.a:Ga0214520_100493	PUL0214_9	38.0	677	311	7	60052	58343	20	694	5.92e-107	378
