CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	STP	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_77	67853	69961	+	EAL
CGC1	null	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_78	70024	70248	-	null
CGC1	TC	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_79	70442	71407	-	2.A.28.3.4
CGC1	STP	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_80	71547	71948	-	Glyoxalase
CGC1	TC	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_81	71951	74140	-	2.A.1.25.5
CGC1	null	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_82	74307	76925	+	null
CGC1	TF	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_83	76981	77910	-	HTH_1
CGC1	CAZyme	3300011452.a:Ga0120960_10004	3300011452.a:Ga0120960_10004_84	78012	78851	-	CBM50
CGC1	STP	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_16	14939	15514	+	Pribosyltran
CGC1	CAZyme	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_17	15569	16171	-	AA6
CGC1	TC	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_18	16452	17699	+	9.B.126.2.3
CGC1	null	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_19	17720	18634	-	null
CGC1	TF	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_20	18740	19534	+	HTH_AraC
CGC1	null	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_21	19610	20251	-	null
CGC1	null	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_22	20291	20788	-	null
CGC1	STP	3300011452.a:Ga0120960_10082	3300011452.a:Ga0120960_10082_23	21012	21704	+	Nitroreductase
CGC1	STP	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_15	16041	17222	+	Pyr_redox_2
CGC1	null	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_16	17276	18220	+	null
CGC1	TF	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_17	18227	19135	+	HTH_1
CGC1	null	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_18	19166	19756	-	null
CGC1	null	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_19	19994	22072	-	null
CGC1	CAZyme	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_20	22177	22854	-	 GT51|GT51
CGC1	TC	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_21	22931	23740	+	9.B.104.1.3
CGC1	TC	3300011452.a:Ga0120960_10024	3300011452.a:Ga0120960_10024_22	23742	26201	-	3.A.1.122.15
