dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2	GT2:373	-	-	256	3300012131.a:Ga0153994_1000003_292	638	4.1e-127	1	256	176	431	0.99609375	0.99609375
CE1_e32	CE1:2027|GH23:1	2.3.1.122:4|3.1.1.-:4|2.3.1.20:4	trehalose, polyphenol, xylan	254	3300012131.a:Ga0153994_1000003_296	337	6.5e-116	3	253	80	329	0.984251968503937	0.984251968503937
CE1_e38	CE1:175	-	-	268	3300012131.a:Ga0153994_1000003_297	628	4.8e-134	1	267	83	353	0.9925373134328358	0.9925373134328358
GT2	GT2:233	2.4.1.287:1	-	210	3300012131.a:Ga0153994_1000003_373	299	9.6e-101	2	207	10	216	0.9761904761904762	0.9761904761904762
GH13_e105	GH13_26:1493|GH77:81|GH13:7|GH57:1|CBM48:1|GH13_10:1	5.4.99.15:5	sucrose, starch	304	3300012131.a:Ga0153994_1000006_133	789	1.4e-110	5	304	18	303	0.9835526315789473	0.9835526315789473
GT83_e5	GT83:115	-	-	373	3300012131.a:Ga0153994_1000006_99	661	6.5e-16	8	224	40	259	0.579088471849866	0.579088471849866
CE4_e177	CE4:5337	3.5.1.41:1	chitin	100	3300012131.a:Ga0153994_1000007_162	310	2.9e-45	1	100	85	184	0.99	0.99
GT4_e1685	GT4:258	-	-	154	3300012131.a:Ga0153994_1000009_101	423	3.2e-61	2	150	223	371	0.961038961038961	0.961038961038961
GH23_e744	GH23:1466|CBM50:453	-	-	90	3300012131.a:Ga0153994_1000011_106	196	1.7e-37	3	82	49	125	0.8777777777777778	0.8777777777777778
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	3300012131.a:Ga0153994_1000011_183	724	1e-31	4	96	16	107	0.9108910891089109	0.9108910891089109
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose, starch, starch	358	3300012131.a:Ga0153994_1000011_183	724	1.6e-158	2	356	180	531	0.9888268156424581	0.9888268156424581
GT2	GT2:272|GT4:1	-	-	230	3300012131.a:Ga0153994_1000011_21	305	9.9e-115	1	229	6	234	0.991304347826087	0.991304347826087
CE1_e5	CE1:28	-	-	265	3300012131.a:Ga0153994_1000013_17	314	8.4e-141	1	265	42	308	0.9962264150943396	0.9962264150943396
GT4_e2563	GT4:9	-	-	155	3300012131.a:Ga0153994_1000016_117	386	4.6e-50	2	155	206	355	0.9870967741935484	0.9870967741935484
CE14_e2	CE14:1539	3.5.1.89:6	exo-polysaccharide	140	3300012131.a:Ga0153994_1000016_16	295	5.2e-64	1	140	10	149	0.9928571428571429	0.9928571428571429
GT1_e47	GT1:540	-	-	378	3300012131.a:Ga0153994_1000021_33	388	1.5e-178	1	377	8	379	0.9947089947089947	0.9947089947089947
GH109_e7	GH109:31	-	-	390	3300012131.a:Ga0153994_1000024_57	383	1.2e-17	26	288	35	292	0.6717948717948717	0.6717948717948717
GH23_e409	GH23:128	-	-	141	3300012131.a:Ga0153994_1000030_81	288	5e-69	1	140	132	272	0.9858156028368794	0.9858156028368794
GT4_e1800	GT4:638|GT2:1	-	-	166	3300012131.a:Ga0153994_1000030_89	387	1.7e-77	3	166	190	357	0.9819277108433735	0.9819277108433735
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	3300012131.a:Ga0153994_1000042_70	734	3.5e-17	6	87	29	112	0.81	0.81
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	3300012131.a:Ga0153994_1000042_70	734	3.7e-21	7	93	126	229	0.86	0.86
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	3300012131.a:Ga0153994_1000042_70	734	3.1e-161	1	300	279	578	0.9933554817275747	0.9933554817275747
GH63_e24	GH63:328	3.2.1.170:1|3.2.1.208:1	alpha-glucan, alpha-glucan	405	3300012131.a:Ga0153994_1000003_3	446	1.1e-214	1	405	38	442	0.9975308641975309	0.9975308641975309
GH1_e60	GH1:321	-	-	313	3300012131.a:Ga0153994_1000006_79	430	2.7e-146	2	312	34	400	0.9904153354632588	0.9904153354632588
CE4_e235	CE4:12	-	-	115	3300012131.a:Ga0153994_1000008_96	273	1.4e-22	5	114	83	197	0.9478260869565217	0.9478260869565217
GT4_e582	GT4:381	-	-	138	3300012131.a:Ga0153994_1000009_228	395	9.5e-61	2	135	217	351	0.9637681159420289	0.9637681159420289
GT2	GT2:156	-	-	255	3300012131.a:Ga0153994_1000009_331	514	5.7e-104	1	248	133	382	0.9686274509803922	0.9686274509803922
GT4_e2947	GT4:7	-	-	150	3300012131.a:Ga0153994_1000013_165	389	1.7e-47	2	149	212	351	0.98	0.98
GT2	GT2:14	-	-	200	3300012131.a:Ga0153994_1000013_224	235	5.3e-61	2	200	8	203	0.99	0.99
CBM50_e675	CBM50:20	-	chitin, peptidoglycan	42	3300012131.a:Ga0153994_1000013_258	273	3.5e-28	1	42	231	272	0.9761904761904762	0.9761904761904762
GH16_e299	GH16_3:15|CBM6:1	-	-	232	3300012131.a:Ga0153994_1000016_114	289	5.3e-115	1	232	55	285	0.9956896551724138	0.9956896551724138
GH16_e83	GH16_3:39|GH16:1	-	-	228	3300012131.a:Ga0153994_1000016_116	245	5e-86	1	227	11	242	0.9912280701754386	0.9912280701754386
GH1_e101	GH1:635	3.2.1.21:2	beta-glucan	437	3300012131.a:Ga0153994_1000028_45	462	2e-212	1	436	9	456	0.9954233409610984	0.9954233409610984
GT51_e107	GT51:931	-	-	187	3300012131.a:Ga0153994_1000037_56	796	3.1e-100	1	187	67	253	0.9946524064171123	0.9946524064171123
GH13_e41	GH13_3:1253|GH0:92|GH13:34|GT4:1	-	sucrose	217	3300012131.a:Ga0153994_1000042_69	675	6.9e-97	2	217	225	444	0.9907834101382489	0.9907834101382489
GH25_e154	GH25:85	-	-	181	3300012131.a:Ga0153994_1000003_2	249	1.7e-99	1	180	40	220	0.988950276243094	0.988950276243094
GT89_e0	GT89:885	2.4.2.-:4	-	569	3300012131.a:Ga0153994_1000003_295	640	5.7e-249	2	566	31	632	0.9912126537785588	0.9912126537785588
CE1_e38	CE1:175	-	-	268	3300012131.a:Ga0153994_1000003_417	337	4.1e-116	1	267	61	331	0.9925373134328358	0.9925373134328358
CE1_e32	CE1:2027|GH23:1	2.3.1.122:4|3.1.1.-:4|2.3.1.20:4	trehalose, polyphenol, xylan	254	3300012131.a:Ga0153994_1000006_262	343	8.1e-113	3	253	86	335	0.984251968503937	0.984251968503937
GH15_e22	GH15:1196	3.2.1.28:6	trehalose	365	3300012131.a:Ga0153994_1000006_387	653	3.1e-161	2	364	267	630	0.9917808219178083	0.9917808219178083
GT53_e6	GT53:60	-	-	1080	3300012131.a:Ga0153994_1000006_78	1090	0	2	1078	27	1085	0.9962962962962963	0.9962962962962963
GH71_e0	GH71:56	-	-	350	3300012131.a:Ga0153994_1000008_207	516	1.1e-156	1	349	132	491	0.9942857142857143	0.9942857142857143
GT4_e3552	GT4:625|GH77:1|GT2:1	-	-	169	3300012131.a:Ga0153994_1000009_140	447	1.1e-69	4	165	228	390	0.9526627218934911	0.9526627218934911
GT2	GT2:12	-	-	247	3300012131.a:Ga0153994_1000009_340	288	3.4e-88	1	247	4	250	0.9959514170040485	0.9959514170040485
CE1_e30	CE1:169	-	-	275	3300012131.a:Ga0153994_1000012_121	324	1.3e-141	2	275	44	317	0.9927272727272727	0.9927272727272727
GT26_e154	GT26:30|GT4:1	-	-	173	3300012131.a:Ga0153994_1000013_164	270	3.4e-75	2	173	69	243	0.9884393063583815	0.9884393063583815
GT2	GT2:5	-	-	220	3300012131.a:Ga0153994_1000013_166	299	8.7e-98	1	219	9	220	0.990909090909091	0.990909090909091
GT4_e3966	GT4:7	-	-	144	3300012131.a:Ga0153994_1000013_168	404	1.2e-46	3	142	231	366	0.9652777777777778	0.9652777777777778
GT2	GT2:184	-	-	175	3300012131.a:Ga0153994_1000016_124	262	6.2e-75	1	155	27	181	0.88	0.88
GH2_e45	GH2:60	-	-	646	3300012131.a:Ga0153994_1000016_127	857	2.4e-302	2	644	35	695	0.9938080495356038	0.9938080495356038
CE14_e39	CE14:42	-	-	108	3300012131.a:Ga0153994_1000021_36	238	8.2e-33	1	106	13	116	0.9722222222222222	0.9722222222222222
CE1_e30	CE1:169	-	-	275	3300012131.a:Ga0153994_1000029_126	346	1.7e-130	1	275	64	340	0.9963636363636363	0.9963636363636363
GT51_e18	GT51:1230	-	-	174	3300012131.a:Ga0153994_1000067_20	730	1.1e-78	3	173	98	270	0.9770114942528736	0.9770114942528736
CE5_e43	CE5:19	-	-	177	3300012131.a:Ga0153994_1000003_299	318	9.4e-27	6	173	61	254	0.943502824858757	0.943502824858757
GT2	GT2:79|GT4:1	-	-	245	3300012131.a:Ga0153994_1000003_370	634	2.9e-113	1	244	185	429	0.9918367346938776	0.9918367346938776
CBM48_e0	CBM48:5017|GH13_10:4928|GH13:79|GH77:20|GT5:1|GH13_26:1|GH13_9:1	3.2.1.141:34|3.2.1.1:4	glycogen	103	3300012131.a:Ga0153994_1000006_152	574	1.1e-24	19	102	3	85	0.8058252427184466	0.8058252427184466
GH13_e92	GH13_10:665|CBM48:609|GH13:4|GH13_9:1	3.2.1.141:4	sucrose, starch	317	3300012131.a:Ga0153994_1000006_152	574	4e-158	1	317	104	419	0.9968454258675079	0.9968454258675079
GT28_e100	GT28:1897	-	-	152	3300012131.a:Ga0153994_1000006_181	390	1.4e-65	1	152	208	363	0.993421052631579	0.993421052631579
GT4_e3367	GT4:494	-	-	159	3300012131.a:Ga0153994_1000006_214	376	4.1e-74	1	159	193	351	0.9937106918238994	0.9937106918238994
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	3300012131.a:Ga0153994_1000007_247	434	1.6e-16	2	201	193	417	0.9660194174757282	0.9660194174757282
GH23_e158	GH23:1010|CBM50:175|CE1:1	-	-	80	3300012131.a:Ga0153994_1000007_38	188	2.3e-41	1	77	48	124	0.95	0.95
GH15_e19	GH15:380	-	-	361	3300012131.a:Ga0153994_1000008_192	847	5.2e-190	2	361	478	843	0.9944598337950139	0.9944598337950139
CE9_e100	CE9:107	-	-	386	3300012131.a:Ga0153994_1000008_357	394	1.3e-147	2	385	12	385	0.9922279792746114	0.9922279792746114
GT2	GT2:429	-	-	167	3300012131.a:Ga0153994_1000008_408	409	1.7e-84	1	167	21	187	0.9940119760479041	0.9940119760479041
CE14_e28	CE14:17	-	-	129	3300012131.a:Ga0153994_1000009_137	258	1.1e-60	1	129	7	136	0.9922480620155039	0.9922480620155039
GT87_e5	GT87:33	-	-	238	3300012131.a:Ga0153994_1000009_298	436	6.9e-86	1	238	74	311	0.9957983193277311	0.9957983193277311
CE1_e30	CE1:169	-	-	275	3300012131.a:Ga0153994_1000009_57	339	6.3e-140	1	275	59	333	0.9963636363636363	0.9963636363636363
CE1_e30	CE1:169	-	-	275	3300012131.a:Ga0153994_1000009_58	356	1.8e-140	1	275	76	350	0.9963636363636363	0.9963636363636363
GT2	GT2:20	-	-	141	3300012131.a:Ga0153994_1000011_275	329	2.3e-82	1	141	6	146	0.9929078014184397	0.9929078014184397
GT4_e1577	GT4:46	-	-	154	3300012131.a:Ga0153994_1000013_179	427	6.6e-63	2	153	230	381	0.9805194805194806	0.9805194805194806
GT4_e2419	GT4:13	-	-	147	3300012131.a:Ga0153994_1000013_181	374	4.8e-50	1	142	180	320	0.9591836734693877	0.9591836734693877
GT2	GT2:279	-	-	225	3300012131.a:Ga0153994_1000013_184	484	2.6e-107	1	225	119	343	0.9955555555555555	0.9955555555555555
GH23_e158	GH23:1010|CBM50:175|CE1:1	-	-	80	3300012131.a:Ga0153994_1000016_188	376	1.3e-33	1	73	302	374	0.9	0.9
GT39_e0	GT39:966	2.4.1.109:6	-	252	3300012131.a:Ga0153994_1000016_198	518	6.8e-131	1	251	44	294	0.9920634920634921	0.9920634920634921
CE5_e29	CE5:5	-	-	209	3300012131.a:Ga0153994_1000021_132	566	5.4e-20	28	209	98	268	0.8660287081339713	0.8660287081339713
CE1_e30	CE1:169	-	-	275	3300012131.a:Ga0153994_1000026_105	341	5.3e-138	1	275	61	334	0.9963636363636363	0.9963636363636363
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	3300012131.a:Ga0153994_1000029_24	463	9e-55	2	411	32	454	0.9808153477218226	0.9808153477218226
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	3300012131.a:Ga0153994_1000030_35	438	6.7e-18	9	175	16	181	0.3980815347721823	0.3980815347721823
GH13_e234	GH13_30:1338|GH13:8|GH13_23:7|GH13_16:1	3.2.1.20:2	sucrose, starch	351	3300012131.a:Ga0153994_1000042_4	533	4.4e-160	4	348	39	384	0.98005698005698	0.98005698005698
GT53_e6	GT53:60	-	-	1080	3300012131.a:Ga0153994_1000003_307	1114	0	2	1079	42	1110	0.9972222222222222	0.9972222222222222
GT2	GT2:20	-	-	119	3300012131.a:Ga0153994_1000003_369	271	1.2e-46	1	118	20	147	0.9831932773109243	0.9831932773109243
GT2	GT2:72	-	-	150	3300012131.a:Ga0153994_1000006_332	246	1.3e-74	1	150	10	159	0.9933333333333333	0.9933333333333333
GT83_e5	GT83:115	-	-	373	3300012131.a:Ga0153994_1000008_409	718	1.3e-21	55	219	81	242	0.43967828418230565	0.43967828418230565
AA3_e4	AA3_2:57|AA3:5	-	-	517	3300012131.a:Ga0153994_1000009_332	494	5.6e-80	2	514	8	489	0.9903288201160542	0.9903288201160542
AA1_e33	AA1_1:698|AA1:86|CE4:1	1.10.3.2:77	lignin	353	3300012131.a:Ga0153994_1000011_120	513	1.4e-16	26	351	84	477	0.9206798866855525	0.9206798866855525
GT4_e3215	GT4:206	-	-	151	3300012131.a:Ga0153994_1000011_192	415	2.9e-69	2	150	216	364	0.9801324503311258	0.9801324503311258
GH23_e744	GH23:1466|CBM50:453	-	-	90	3300012131.a:Ga0153994_1000012_8	185	8e-34	3	84	37	115	0.9	0.9
GH5_e204	GH5:5	-	-	223	3300012131.a:Ga0153994_1000013_188	383	8e-20	9	222	124	354	0.9551569506726457	0.9551569506726457
AA2_e1	AA2:59	-	-	252	3300012131.a:Ga0153994_1000013_281	741	2e-17	14	109	96	192	0.376984126984127	0.376984126984127
GH23_e158	GH23:1010|CBM50:175|CE1:1	-	-	80	3300012131.a:Ga0153994_1000016_189	375	3.6e-36	1	73	301	373	0.9	0.9
CE14_e1	CE14:1894	3.5.1.115:3	chitin	135	3300012131.a:Ga0153994_1000016_84	297	7.1e-71	1	135	12	146	0.9925925925925926	0.9925925925925926
GH23_e195	GH23:167	-	-	129	3300012131.a:Ga0153994_1000016_87	367	3.9e-46	1	127	95	226	0.9767441860465116	0.9767441860465116
CBM50_e773	CBM50:235	-	chitin, peptidoglycan	47	3300012131.a:Ga0153994_1000020_100	186	6.1e-28	1	46	139	184	0.9574468085106383	0.9574468085106383
GT4_e1300	GT4:437|GT0:1	2.4.1.57:1	-	150	3300012131.a:Ga0153994_1000028_38	376	6.9e-65	3	149	190	335	0.9733333333333334	0.9733333333333334
