3300008060_4	GH125	N
3300008060_4	GT4	N
3300008060_4	GT4	N
3300008060_4	GT4	N
3300008060_4	GT26	N
3300008060_4	GH92	Y
3300008060_4	GH97	Y
3300008060_4	GT2	N
3300008060_4	GH43_10	N
3300008060_4	GH136	Y
3300008060_4	GT11	N
3300008060_4	GH92	Y
3300008060_4	GH25	N
3300008060_4	GT4	N
3300008060_4	GT4	N
3300008060_4	GT2	N
3300008060_4	GT4	N
3300008060_4	GH35	Y
3300008060_4	GH5_21	Y
3300008060_4	GH43_29	Y
3300008060_4	GH43_12	Y
3300008060_4	GH2	Y
3300008060_4	GH43_9	Y
3300008060_4	GH13_8	N
3300008060_4	GT51	N
3300008060_4	GH43_9	Y
3300008060_4	GH43_24	Y
3300008060_4	PL26	Y
3300008060_4	GH105	Y
3300008060_4	GH43_24	Y
3300008060_4	PL27	Y
3300008060_4	CE12	Y
3300008060_4	GH43_24	Y
3300008060_4	GH115	Y
3300008060_4	GH43_24	Y
3300008060_4	GH30_5	N
3300008060_4	CBM67	N
3300008060_4	GT28	N
3300008060_4	CE6	Y
3300008060_4	GH51	Y
3300008060_4	CE4	N
3300008060_4	GT20	N
3300008060_4	GH15	N
3300008060_4	GH43_34	N
3300008060_4	GH43_10	Y
3300008060_4	GH154	Y
3300008060_4	GH73	N
3300008060_4	GH25	Y
3300008060_4	GH43_5	Y
3300008060_4	GH95	Y
3300008060_4	GH2	Y
3300008060_4	GH36	Y
3300008060_4	GH36	N
3300008060_4	GT8	N
3300008060_4	GT2	N
3300008060_4	GT8	N
3300008060_4	GT11	N
3300008060_4	GT8	N
3300008060_4	GT2	N
3300008060_4	GH92	Y
3300008060_4	GH115	Y
3300008060_4	GH38	Y
3300008060_4	GH2	Y
3300008060_4	GH115	Y
3300008060_4	CE1	Y
3300008060_4	GH127	Y
3300008060_4	GH127	Y
3300008060_4	GH43_19	Y
3300008060_4	GH43_24	Y
3300008060_4	GH110	Y
3300008060_4	GH88	Y
3300008060_4	GH43_10	Y
3300008060_4	PL40	Y
3300008060_4	CBM20	N
3300008060_4	GH2	Y
3300008060_4	GT2	N
3300008060_4	GT83	N
3300008060_4	GH29	Y
3300008060_4	CE12	Y
3300008060_4	GH29	Y
3300008060_4	GT2	N
3300008060_4	GT32	N
3300008060_4	PL11_1	Y
