Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300029730.a:Ga0245159_100527_11	QRO23309.1|GH16_3	66.7	264	86	1	1	264	1	262	3.3e-108	395.2
3300029730.a:Ga0245159_100031_37	QUT31543.1|GH5_2	81.5	325	60	0	2	326	1	325	4.1e-164	581.3
3300029730.a:Ga0245159_100031_41	QNL39860.1|GH5_5	71.7	360	102	0	3	362	2	361	1.1e-159	566.6
3300029730.a:Ga0245159_100031_42	SCV07058.1|GH2	70.1	846	251	2	11	855	8	852	0.0e+00	1287.7
3300029730.a:Ga0245159_100031_43	QUT79278.1|GH5_5	68.2	346	104	2	1	341	1	345	3.1e-143	511.9
3300029730.a:Ga0245159_100031_44	QDH53452.1|GH140	59.3	447	175	4	6	449	9	451	3.0e-162	575.5
3300029730.a:Ga0245159_100031_45	QNL39864.1|GH130	85.1	383	57	0	7	389	6	388	6.0e-199	697.2
3300029730.a:Ga0245159_100031_47	QUT31553.1|GH78	61.5	873	332	4	10	881	32	901	0.0e+00	1182.5
3300029730.a:Ga0245159_100031_48	SCV07065.1|CE20	59.5	640	252	4	1	639	1	634	1.8e-240	835.9
3300029730.a:Ga0245159_100031_49	EAR02039.1|GH117	52.6	492	226	4	25	513	24	511	6.8e-150	534.6
3300029730.a:Ga0245159_100031_50	AHF11512.1|GH31	82.0	863	153	2	1	861	1	863	0.0e+00	1538.5
3300029730.a:Ga0245159_100031_60	UBF06037.1|GH16	43.9	537	272	13	3	533	4	517	3.3e-113	412.9
3300029730.a:Ga0245159_100031_63	AHF11520.1|GH92	87.6	735	91	0	1	735	1	735	0.0e+00	1371.3
3300029730.a:Ga0245159_100031_65	QKX62786.1|GH2	53.7	516	229	4	48	557	27	538	5.9e-156	555.1
3300029730.a:Ga0245159_100031_67	QNL39860.1|GH5_5	67.4	322	98	3	192	507	39	359	1.8e-127	460.3
3300029730.a:Ga0245159_100031_74	CAG7883609.1|GT1	58.0	900	345	6	2	899	171	1039	2.5e-288	995.3
3300029730.a:Ga0245159_100031_76	QUT31542.1|GH172	60.6	665	251	5	1	656	1	663	2.4e-248	862.1
3300029730.a:Ga0245159_100031_115	UBD64971.1|GT4	61.1	370	144	0	1	370	1	370	1.3e-134	483.4
3300029730.a:Ga0245159_100031_117	UBD15634.1|GT2	67.8	298	96	0	1	298	1	298	1.6e-111	406.4
3300029730.a:Ga0245159_100031_119	AVI59029.1|GT2	47.5	438	222	4	1	437	1	431	3.7e-112	409.1
3300029730.a:Ga0245159_100031_120	AHF11571.1|GT4	76.0	384	91	1	1	383	1	384	1.2e-175	619.8
3300029730.a:Ga0245159_100031_121	AHF11573.1|GT26	86.4	250	34	0	1	250	1	250	8.0e-128	460.3
3300029730.a:Ga0245159_100031_124	ADY36201.1|CE2	55.7	366	158	2	2	364	5	369	4.9e-110	401.7
3300029730.a:Ga0245159_100031_163	UBD16828.1|GH85	59.0	1025	396	14	1	1016	1	1010	0.0e+00	1202.6
3300029730.a:Ga0245159_100031_165	ALR08738.2|GT83	45.4	584	304	6	3	576	2	580	7.5e-145	518.1
3300029730.a:Ga0245159_100031_189	QYO62262.1|GH13	65.3	346	118	1	1	346	1	344	2.1e-117	426.8
3300029730.a:Ga0245159_100031_205	BCI62460.1|CBM50	47.4	683	323	8	1	679	1	651	9.9e-173	610.9
3300029730.a:Ga0245159_100031_207	AHF11673.1|GH23	87.3	283	36	0	33	315	1	283	4.0e-145	518.1
3300029730.a:Ga0245159_100031_213	AGL63717.2|GT4	48.5	643	312	8	193	834	107	731	1.7e-166	590.5
3300029730.a:Ga0245159_100031_222	CAE6204650.1|GH28	50.3	600	290	3	2	594	745	1343	7.1e-175	617.8
3300029730.a:Ga0245159_100007_5	AHF12332.1|GH31	78.4	767	164	2	3	769	4	768	0.0e+00	1336.2
3300029730.a:Ga0245159_100007_12	QUR50186.1|GH97	62.1	651	236	6	23	671	22	663	1.7e-246	855.9
3300029730.a:Ga0245159_100007_19	AHF12323.1|GT2	73.4	357	95	0	1	357	33	389	3.7e-155	551.6
3300029730.a:Ga0245159_100007_29	AMJ18631.1|GT2	49.0	1187	563	15	9	1177	3	1165	0.0e+00	1080.1
3300029730.a:Ga0245159_100007_33	AHF12310.1|GH133	92.0	648	52	0	1	648	1	648	0.0e+00	1280.0
3300029730.a:Ga0245159_100007_34	BCI63387.1|GT4	86.1	418	58	0	1	418	1	418	4.8e-218	760.8
3300029730.a:Ga0245159_100007_35	AHF12308.1|GH57	94.7	433	23	0	1	433	1	433	1.3e-240	835.9
3300029730.a:Ga0245159_100007_76	AHF13740.1|GH39	77.9	412	87	2	19	426	15	426	1.7e-199	699.1
3300029730.a:Ga0245159_100007_77	AHF12276.1|GH125	87.9	481	58	0	1	481	1	481	1.6e-257	892.1
3300029730.a:Ga0245159_100007_79	AHF12275.1|GH92	79.5	761	155	1	1	761	1	760	0.0e+00	1318.1
3300029730.a:Ga0245159_100007_110	UBD72179.1|GH2	69.5	295	88	1	15	309	3	295	5.4e-118	427.9
3300029730.a:Ga0245159_100007_164	BCI61676.1|GH0	79.3	852	174	2	1	850	1	852	0.0e+00	1401.0
3300029730.a:Ga0245159_100007_168	BCI61680.1|GH20	78.3	771	165	2	1	771	1	769	0.0e+00	1273.8
3300029730.a:Ga0245159_100007_170	BCI61682.1|GH2	81.0	1031	195	1	1	1030	2	1032	0.0e+00	1828.1
3300029730.a:Ga0245159_100007_209	QUT74321.1|GH3	55.6	757	331	4	10	763	11	765	1.6e-251	872.8
3300029730.a:Ga0245159_100007_221	QUT33801.1|GH109	48.7	390	186	5	1	390	1	376	3.9e-105	385.6
3300029730.a:Ga0245159_100007_232	BCI62392.1|GH97	75.5	707	168	2	4	709	10	712	0.0e+00	1132.9
3300029730.a:Ga0245159_100007_252	AHF12174.1|GH13_38	81.6	572	105	0	1	572	1	572	2.9e-295	1017.7
3300029730.a:Ga0245159_100007_257	QCW79542.1|GH101	56.6	458	199	0	59	516	611	1068	4.4e-149	531.9
3300029730.a:Ga0245159_100007_271	CAD7235639.1|GT2	45.6	540	284	5	13	550	138	669	9.5e-132	474.6
3300029730.a:Ga0245159_100007_273	AHC21644.2|GH1	48.7	517	262	1	4	520	8	521	1.9e-139	500.0
3300029730.a:Ga0245159_100007_288	AHF12136.1|GH92	88.1	750	88	1	3	751	1	750	0.0e+00	1417.5
3300029730.a:Ga0245159_100007_289	AHF12135.1|GH130	91.6	323	27	0	1	323	1	323	4.2e-190	667.5
3300029730.a:Ga0245159_100007_291	AHF12133.1|GH20	79.0	691	142	2	1	688	1	691	0.0e+00	1172.5
3300029730.a:Ga0245159_100007_293	AHF12132.1|GH20	79.1	688	142	1	1	688	1	686	0.0e+00	1182.9
3300029730.a:Ga0245159_100007_294	AHF12131.1|GH92	84.5	755	117	0	1	755	1	755	0.0e+00	1364.7
