Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300007272.a:Ga0104871_100072_5	AGL64353.2|CBM50|GH25	42.6	571	324	3	1	570	1	568	3.2e-132	476.1
3300007272.a:Ga0104871_100249_13	AXG45674.1|GH6	38.4	844	478	13	13	829	20	848	1.6e-135	487.6
3300007272.a:Ga0104871_100252_4	CAE6110940.1|CE8	43.8	553	283	11	12	553	252	787	1.4e-119	434.1
3300007272.a:Ga0104871_100157_5	AVO73979.1|GT83	53.2	513	237	2	203	714	8	518	6.1e-149	531.9
3300007272.a:Ga0104871_100157_6	AXL21032.1|GT83	54.5	536	242	1	1	534	1	536	7.5e-160	567.8
3300007272.a:Ga0104871_100157_32	CAN80640.1|GT47	47.9	424	207	5	6	421	944	1361	5.5e-105	385.2
3300007272.a:Ga0104871_100012_44	CAD7226128.1|GH38	36.0	727	398	18	11	689	1345	2052	3.4e-112	409.8
3300007272.a:Ga0104871_100012_48	CCO12868.2|GH1	53.6	1406	444	15	1	1402	1	1202	0.0e+00	1394.8
3300007272.a:Ga0104871_100012_70	QYU70931.1|GH28	57.0	421	176	2	6	421	5	425	1.2e-126	457.2
3300007272.a:Ga0104871_100012_139	CCO12633.2|GH84	48.6	675	311	13	1	644	1	670	6.5e-174	614.8
3300007272.a:Ga0104871_100021_22	AXB81531.1|GT2	81.9	415	75	0	1	415	1	415	1.1e-209	733.0
3300007272.a:Ga0104871_100021_31	AWZ17133.1|GH13_30	37.8	1207	666	23	3	1158	405	1577	1.6e-218	763.8
3300007272.a:Ga0104871_100021_38	AVO26609.1|CE11	76.4	275	65	0	1	275	1	275	6.1e-121	437.6
3300007272.a:Ga0104871_100021_42	UBS54543.1|GT19	62.3	377	142	0	1	377	1	377	2.3e-131	472.6
3300007272.a:Ga0104871_100021_121	CAG7911095.1|GH5_11	44.4	900	460	13	17	885	589	1479	7.2e-216	754.6
3300007272.a:Ga0104871_100021_164	AXB81519.1|GT51	69.9	634	187	1	1	630	1	634	7.8e-258	893.6
3300007272.a:Ga0104871_100021_169	CAN65674.1|GH28	47.9	551	262	7	61	605	99	630	2.4e-152	543.1
3300007272.a:Ga0104871_100017_97	AMJ20771.1|GH13_26	46.1	879	397	11	2	825	3	859	3.7e-214	748.8
3300007272.a:Ga0104871_100017_104	AVO75296.1|GT28	72.7	366	98	1	2	365	3	368	2.6e-154	548.9
3300007272.a:Ga0104871_100017_142	AHC21644.2|GH1	58.0	517	210	6	7	523	12	521	1.5e-168	596.7
3300007272.a:Ga0104871_100017_149	ALR08738.2|GT83	47.5	590	299	6	9	592	2	586	2.1e-147	526.6
3300007272.a:Ga0104871_100039_88	AGL63871.2|GT2	50.7	471	222	5	349	813	525	991	6.4e-126	455.7
3300007272.a:Ga0104871_100039_110	AMJ18631.1|GT2	47.0	1187	592	11	7	1177	2	1167	0.0e+00	1086.2
3300007272.a:Ga0104871_100177_36	AXB80797.1|GT2	78.0	304	67	0	11	314	1	304	9.9e-140	500.4
3300007272.a:Ga0104871_100056_7	CAD7245033.1|GT58	69.3	479	127	5	4	469	1053	1524	1.0e-176	623.6
3300007272.a:Ga0104871_100056_16	BCZ44502.1|GT0	58.5	378	155	2	3	380	5	380	4.2e-120	435.3
3300007272.a:Ga0104871_100056_43	CAE6204650.1|GH28	52.8	598	275	4	6	597	747	1343	2.8e-179	632.5
3300007272.a:Ga0104871_100056_47	CCC73398.1|GT9	55.8	342	151	0	1	342	1	342	7.3e-108	394.4
3300007272.a:Ga0104871_100056_55	CCC73389.1|GT28	78.3	368	80	0	1	368	1	368	7.7e-159	563.9
3300007272.a:Ga0104871_100056_74	AGL64345.2|GT2	55.2	574	250	4	241	808	286	858	9.9e-172	607.8
3300007272.a:Ga0104871_100075_58	QCW79542.1|GH101	57.9	461	186	2	56	508	608	1068	1.5e-154	550.1
3300007272.a:Ga0104871_100063_63	AMJ18631.1|GT2	44.5	1183	600	14	5	1158	2	1157	5.5e-280	968.0
3300007272.a:Ga0104871_100152_11	CAD7252683.1|GH23	39.3	631	346	13	13	614	443	1065	4.1e-105	386.3
3300007272.a:Ga0104871_100122_30	QYO62262.1|GH13	67.5	345	110	2	1	344	1	344	2.2e-122	443.4
3300007272.a:Ga0104871_100122_33	AGL64700.2|GH23	57.4	359	151	2	5	363	4	360	5.7e-111	404.8
3300007272.a:Ga0104871_100050_61	CAD7252417.1|GH13	41.8	596	317	9	117	691	329	915	1.8e-116	424.1
