CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_75	83462	84265	-	3.A.1.24.5
CGC1	TC	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_76	84596	86056	-	2.A.3.1.15
CGC1	STP	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_77	86146	87360	-	PALP+ACT
CGC1	STP	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_78	87365	88180	-	Fer4+Fer4+Nitroreductase
CGC1	TC	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_79	88799	89428	+	3.A.1.139.1
CGC1	TC	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_80	89455	90222	+	3.A.1.139.3
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_81	90412	91068	-	null
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_82	91081	91731	-	null
CGC1	TF	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_83	91896	92573	-	Crp
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_84	92662	93108	+	null
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_85	93099	93566	+	null
CGC1	TC	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_86	93711	95132	-	2.A.23.1.8
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_87	95434	96144	-	null
CGC1	STP	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_88	96157	97596	-	Fer4
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_89	97616	98353	-	null
CGC1	null	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_90	98790	100229	+	null
CGC1	CAZyme	3300029367.a:Ga0243974_100026	3300029367.a:Ga0243974_100026_91	100248	101966	+	GT83
CGC1	CAZyme	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_6	5242	6054	-	CE4
CGC1	null	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_7	6255	7040	+	null
CGC1	TF	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_8	7612	8109	+	HTH_3
CGC1	null	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_9	8532	9881	+	null
CGC1	null	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_10	9794	10066	-	null
CGC1	TC	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_11	10440	11273	+	3.A.1.24.5
CGC1	TC	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_12	11547	12377	+	3.A.1.24.5
CGC1	null	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_13	12651	13046	-	null
CGC1	STP	3300029367.a:Ga0243974_100497	3300029367.a:Ga0243974_100497_14	13094	14458	-	Glycos_trans_3N
CGC1	CAZyme	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_82	95082	96803	-	 GT83|GT83
CGC1	TC	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_83	96815	97558	-	9.B.27.2.5
CGC1	null	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_84	97898	99187	-	null
CGC1	TF	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_85	99853	100377	+	HTH_11
CGC1	TC	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_86	100528	101850	+	2.A.1.82.4
CGC1	null	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_87	102107	103027	-	null
CGC1	STP	3300029367.a:Ga0243974_100002	3300029367.a:Ga0243974_100002_88	102988	103479	-	AAA
CGC1	CAZyme	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_58	67793	69928	+	GT51| GT51
CGC1	null	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_59	69975	71183	+	null
CGC1	TC	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_60	71522	73906	+	4.A.2.1.10
CGC1	TF	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_61	73976	74605	+	HTH_11
CGC1	null	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_62	74733	75560	+	null
CGC1	STP	3300029367.a:Ga0243974_100117	3300029367.a:Ga0243974_100117_63	75643	76650	+	HD
