Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300014956.a:Ga0134434_1001937_3	CBK93170.1|CBM48|GH13_11	99.7	710	2	0	1	710	1	710	0.0e+00	1503.0
3300014956.a:Ga0134434_1000704_4	CBK94938.1|GH2	99.2	633	5	0	1	633	1	633	0.0e+00	1328.9
3300014956.a:Ga0134434_1000457_5	CAE6110940.1|CE8	41.0	553	293	13	18	556	253	786	9.5e-113	411.4
3300014956.a:Ga0134434_1000457_21	CAE6204650.1|GH28	49.8	602	294	4	5	600	744	1343	1.0e-168	597.4
3300014956.a:Ga0134434_1000387_16	CAD7226128.1|GH38	35.6	710	393	15	12	683	1345	2028	7.7e-112	408.7
3300014956.a:Ga0134434_1000387_19	CCO12868.2|GH1	57.4	1274	429	15	1	1242	1	1192	0.0e+00	1392.1
3300014956.a:Ga0134434_1000331_25	CBK92563.1|GH32	99.6	487	2	0	1	487	1	487	5.2e-301	1036.6
3300014956.a:Ga0134434_1000284_12	ACR73832.1|CBM48|GH13_9	99.8	652	1	0	1	652	6	657	0.0e+00	1395.2
3300014956.a:Ga0134434_1000284_15	ACR73835.1|GH18	99.7	577	2	0	1	577	1	577	0.0e+00	1132.9
3300014956.a:Ga0134434_1000284_37	CBK91832.1|GT28	99.7	358	1	0	1	358	1	358	1.7e-203	712.2
3300014956.a:Ga0134434_1000157_1	CBK91127.1|CBM26|CBM41|CBM82|CBM83|GH13_41|3.2.1.1	82.8	1539	87	6	1	1538	1	1363	0.0e+00	2484.5
3300014956.a:Ga0134434_1000157_10	CBK91117.1|GH94	99.8	817	2	0	1	817	1	817	0.0e+00	1733.0
3300014956.a:Ga0134434_1000157_21	AWZ17133.1|GH13_30	39.4	1165	630	22	3	1119	406	1542	1.3e-225	787.3
3300014956.a:Ga0134434_1000157_24	CBK91104.1|GT35	100.0	822	0	0	1	822	1	822	0.0e+00	1653.3
3300014956.a:Ga0134434_1000157_33	ACR74806.1|GH3	99.6	714	3	0	1	714	1	714	0.0e+00	1453.0
3300014956.a:Ga0134434_1000157_35	CBK91093.1|GH43_12	99.6	523	2	0	1	523	1	523	0.0e+00	1113.2
3300014956.a:Ga0134434_1000157_36	QSF46877.1|CE17	50.7	582	266	5	2	580	14	577	3.6e-163	578.9
3300014956.a:Ga0134434_1000157_37	CBK91091.1|GH8	100.0	380	0	0	1	380	1	380	2.7e-236	821.2
3300014956.a:Ga0134434_1000157_38	ACR74801.1|CE0	99.4	626	4	0	18	643	1	626	0.0e+00	1312.4
3300014956.a:Ga0134434_1000157_47	CBK91082.1|GT2	99.4	352	2	0	1	352	1	352	3.6e-203	711.1
3300014956.a:Ga0134434_1000107_41	ACR74497.1|GT0	97.8	227	5	0	1	227	1	227	3.8e-121	438.0
3300014956.a:Ga0134434_1000107_48	CBK89548.1|GT51	99.9	846	1	0	1	846	1	846	0.0e+00	1660.2
3300014956.a:Ga0134434_1000107_69	UML65985.1|GH133	96.6	679	23	0	1	679	1	679	0.0e+00	1384.4
3300014956.a:Ga0134434_1000301_8	QYO62262.1|GH13	62.6	345	127	2	1	344	1	344	1.8e-116	423.7
3300014956.a:Ga0134434_1002399_2	CCO12112.2|GH13_31	60.3	426	166	3	6	429	4	428	1.7e-138	496.5
3300014956.a:Ga0134434_1001196_1	CAG7911095.1|GH5_11	44.0	853	441	16	2	825	577	1421	5.0e-209	731.9
3300014956.a:Ga0134434_1001196_2	CBK92901.1|GH43_10	99.8	498	1	0	1	498	1	498	2.2e-310	1067.8
3300014956.a:Ga0134434_1000946_9	ACR75909.1|GT5	100.0	483	0	0	1	483	1	483	2.2e-291	1004.6
3300014956.a:Ga0134434_1003677_7	ACR75068.1|GH25	87.0	345	42	1	1	342	1	345	6.1e-179	630.6
3300014956.a:Ga0134434_1000632_10	AMJ20771.1|GH13_26	37.7	869	465	16	1	803	1	859	1.2e-161	574.3
3300014956.a:Ga0134434_1000632_18	UML64005.1|GT28	96.0	375	15	0	1	375	1	375	6.8e-208	726.9
3300014956.a:Ga0134434_1000495_10	CAN65674.1|GH28	38.7	563	308	8	60	616	99	630	2.7e-103	380.2
3300014956.a:Ga0134434_1000398_26	ACR76802.1|GT2	100.0	363	0	0	1	363	5	367	4.7e-214	747.3
3300014956.a:Ga0134434_1000075_9	ACR76157.1|GT35	99.9	751	1	0	1	751	1	751	0.0e+00	1485.7
3300014956.a:Ga0134434_1000075_30	ACR76184.1|GH42	98.4	669	11	0	1	669	1	669	0.0e+00	1384.0
3300014956.a:Ga0134434_1000075_32	AEN95763.1|GH127	74.0	638	155	3	3	639	17	644	6.0e-289	996.9
3300014956.a:Ga0134434_1000075_33	ACR76185.1|GH51	99.0	506	5	0	1	506	15	520	2.9e-310	1067.4
3300014956.a:Ga0134434_1000075_69	ARA85284.1|CE12	57.0	328	138	3	2	327	45	371	1.0e-106	390.6
3300014956.a:Ga0134434_1000075_105	AGL63717.2|GT4	45.6	708	305	10	162	865	107	738	7.9e-159	565.1
3300014956.a:Ga0134434_1000500_10	AQP39327.1|GH4	92.7	441	32	0	1	441	1	441	3.9e-247	857.4
3300014956.a:Ga0134434_1000128_39	AGL64345.2|GT2	57.1	574	239	3	361	930	286	856	7.6e-176	621.7
3300014956.a:Ga0134434_1000128_54	AGL63871.2|GT2	49.1	493	228	4	452	943	526	996	5.3e-124	449.5
3300014956.a:Ga0134434_1000128_55	ACR75702.1|GT5	99.8	484	1	0	1	484	1	484	5.0e-296	1020.0
3300014956.a:Ga0134434_1000423_22	UMY99419.1|GH0	62.4	287	108	0	9	295	8	294	2.1e-107	392.9
3300014956.a:Ga0134434_1000195_46	ACR76042.1|GH73	98.2	768	14	0	1	768	1	768	0.0e+00	1365.1
3300014956.a:Ga0134434_1000195_48	AGL63717.2|GT4	48.5	653	300	11	167	805	107	737	1.8e-160	570.5
3300014956.a:Ga0134434_1000525_4	AMJ20543.1|GH13_11	61.0	372	143	2	18	388	11	381	1.0e-124	450.7
3300014956.a:Ga0134434_1000525_24	VCV23087.1|GH172	99.7	342	1	0	1	342	1	342	2.3e-210	734.9
3300014956.a:Ga0134434_1000369_15	CBK92741.1|CE4	99.6	489	2	0	1	489	1	489	1.8e-277	958.4
3300014956.a:Ga0134434_1000369_24	CBK73963.1|CBM61|GH53	34.3	1006	476	29	3	971	5	862	8.5e-135	485.7
