Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300014778.a:Ga0134408_100033_15	3.2.1.1:6|3.2.1.41:4|3.2.1.68:2	CBM82(48-171)+CBM83(515-610)+GH13_41(867-1166)	GH13_e61	CBM26+CBM41+CBM82+CBM83+GH13_41+3.2.1.1	Y(1-44)	3
3300014778.a:Ga0134408_100033_24	2.4.1.20:14|2.4.1.49:1	GH94(2-812)	GH94_e12	GH94	N	3
3300014778.a:Ga0134408_100033_38	2.4.1.1:158	GT35(95-812)	GT35_e0	GT35	N	3
3300014778.a:Ga0134408_100033_47	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(31-272)	GH3_e0	GH3	N	3
3300014778.a:Ga0134408_100033_49	3.2.1.55:2|3.2.1.37:1|-	GH43_12(5-291)+CBM91(325-519)	GH43_e259+CBM91_e25	GH43_12	N	3
3300014778.a:Ga0134408_100033_50	3.1.1.-:1	CE17(215-385)	CE17_e0	CE17	N	3
3300014778.a:Ga0134408_100033_51	3.2.1.156:5	GH8(54-372)	GH8_e36	GH8	N	3
3300014778.a:Ga0134408_100033_52	-	CE1(144-349)	CE1_e22	CE0	N	3
3300014778.a:Ga0134408_100033_61	-	GT2(5-109)	GT2	GT2	N	3
3300014778.a:Ga0134408_100033_74	3.2.1.-:2	GH13_20(34-323)	GH13_e141	GH13	N	3
3300014778.a:Ga0134408_100033_82	3.2.1.89:4	GH53(624-950)	GH53_e16	GH53	N	3
3300014778.a:Ga0134408_100046_1	-|3.2.1.54:2|3.2.1.135:1	CBM34(2-96)+GH13_20(147-445)	CBM34_e9+GH13_e32	CBM34+GH13_20	N	3
3300014778.a:Ga0134408_100046_95	-	GT51(79-253)	GT51_e55	GT51	N	3
3300014778.a:Ga0134408_100048_82	3.2.1.17:12|4.2.2.n1:6	GH23(165-269)	GH23_e335	GH23	N	3
3300014778.a:Ga0134408_100053_102	3.2.1.84:1	GH31(245-681)	GH31_e37	GH31	N	3
3300014778.a:Ga0134408_100053_103	-	GH31(170-595)	GH31_e77	GH31	N	3
