dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_e346	GH16:20|CBM72:18	-	-	322	3300008734.a:Ga0113998_100008_132	508	2.8e-62	1	322	46	338	0.9968944099378882	0.9968944099378882
CBM32_e47	CBM32:7	-	host glycan	140	3300008734.a:Ga0113998_100013_198	304	1.7e-56	1	138	146	280	0.9785714285714285	0.9785714285714285
CE4_e274	CE4:13|GT4:1	-	-	141	3300008734.a:Ga0113998_100013_40	264	7.6e-23	3	126	78	207	0.8723404255319149	0.8723404255319149
GT4_e2349	GT4:51	-	-	133	3300008734.a:Ga0113998_100013_41	405	3.3e-47	2	131	240	369	0.9699248120300752	0.9699248120300752
GT19_e2	GT19:889	-	-	349	3300008734.a:Ga0113998_100013_47	380	3.1e-148	1	349	5	361	0.997134670487106	0.997134670487106
GH27_e2	GH27:47	3.2.1.22:1	alpha-galactan	257	3300008734.a:Ga0113998_100021_4	487	9.4e-84	1	256	205	463	0.9922178988326849	0.9922178988326849
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	pectin	314	3300008734.a:Ga0113998_100025_110	628	1e-144	2	313	44	365	0.9904458598726115	0.9904458598726115
GH133_e1	GH133:236	-	-	351	3300008734.a:Ga0113998_100025_154	649	7.8e-165	2	351	290	638	0.9943019943019943	0.9943019943019943
GT4_e602	GT4:97	-	-	147	3300008734.a:Ga0113998_100025_155	419	1.7e-71	2	144	241	383	0.9659863945578231	0.9659863945578231
GT11_e30	GT11:9	-	-	256	3300008734.a:Ga0113998_100025_160	271	7.9e-93	1	254	2	252	0.98828125	0.98828125
GT4_e2325	GT4:14	-	-	149	3300008734.a:Ga0113998_100025_161	393	2.6e-49	1	146	216	362	0.9731543624161074	0.9731543624161074
GH29_e63	GH29:296|CBM13:1	3.2.1.63:1|3.2.1.51:1	host glycan, host glycan	336	3300008734.a:Ga0113998_100025_32	439	1.2e-164	4	336	26	357	0.9880952380952381	0.9880952380952381
GT4_e1919	GT4:22	-	-	146	3300008734.a:Ga0113998_100066_40	360	5e-65	4	146	187	328	0.9726027397260274	0.9726027397260274
GH33_e121	GH33:131	3.2.1.18:6	sialic acid	336	3300008734.a:Ga0113998_100068_3	540	9.9e-182	1	336	190	526	0.9970238095238095	0.9970238095238095
GT4_e1535	GT4:69	-	-	146	3300008734.a:Ga0113998_100125_48	425	5.9e-61	1	145	240	384	0.9863013698630136	0.9863013698630136
GT2	GT2:21	-	-	136	3300008734.a:Ga0113998_100125_49	264	2.1e-55	1	136	6	141	0.9926470588235294	0.9926470588235294
GH26_e2	GH26:14	-	-	277	3300008734.a:Ga0113998_100151_11	367	9.3e-154	1	277	19	295	0.9963898916967509	0.9963898916967509
CE4_e54	CE4:19|CBM50:1	-	-	122	3300008734.a:Ga0113998_100151_58	270	4.9e-16	19	101	40	115	0.6721311475409836	0.6721311475409836
GH20_e44	GH20:100	-	-	284	3300008734.a:Ga0113998_100195_20	660	2e-131	1	283	141	422	0.9929577464788732	0.9929577464788732
GT23_e4	GT23:7	-	-	249	3300008734.a:Ga0113998_100207_5	283	5.6e-51	1	248	14	267	0.9919678714859438	0.9919678714859438
GT2	GT2:444	-	-	314	3300008734.a:Ga0113998_100263_12	342	4.4e-136	2	296	5	301	0.9363057324840764	0.9363057324840764
CBM50_e800	CBM50:46	-	chitin, peptidoglycan	46	3300008734.a:Ga0113998_100263_27	460	1.4e-26	1	46	33	78	0.9782608695652174	0.9782608695652174
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	3300008734.a:Ga0113998_100263_46	854	5.8e-232	1	530	126	654	0.9962335216572504	0.9962335216572504
GH89_e8	GH89:84|GH3:3|GH29:1	-	-	649	3300008734.a:Ga0113998_100312_29	1572	2.3e-267	2	648	74	721	0.9953775038520801	0.9953775038520801
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	3300008734.a:Ga0113998_100312_29	1572	1.4e-100	2	221	813	1032	0.9909502262443439	0.9909502262443439
CE11_e18	CE11:339	-	-	269	3300008734.a:Ga0113998_100417_19	462	8.9e-126	2	268	6	297	0.9888475836431226	0.9888475836431226
GH13_e102	GH13:48	3.2.1.54:1|3.2.1.135:1	sucrose, starch, starch	320	3300008734.a:Ga0113998_100525_18	620	4.5e-161	1	319	161	484	0.99375	0.99375
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	sucrose, starch, starch, starch	310	3300008734.a:Ga0113998_100525_19	642	4.5e-135	2	310	177	500	0.9935483870967742	0.9935483870967742
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	3300008734.a:Ga0113998_100525_20	710	0	6	689	16	696	0.9912917271407837	0.9912917271407837
GT5_e28	GT5:878	-	-	225	3300008734.a:Ga0113998_100744_16	270	2.9e-100	1	224	5	229	0.9911111111111112	0.9911111111111112
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	3300008734.a:Ga0113998_101422_1	698	0	6	688	17	693	0.9898403483309144	0.9898403483309144
GT2	GT2:20	-	-	118	3300008734.a:Ga0113998_102859_6	314	2.5e-54	1	116	4	119	0.9745762711864406	0.9745762711864406
GT2	GT2:14	-	-	144	3300008734.a:Ga0113998_102859_9	335	9.5e-52	1	140	6	152	0.9652777777777778	0.9652777777777778
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	3300008734.a:Ga0113998_100008_133	850	1.1e-279	11	715	42	783	0.9818688981868898	0.9818688981868898
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	3300008734.a:Ga0113998_100013_175	777	1.3e-164	2	348	154	510	0.9857549857549858	0.9857549857549858
GH109_e5	GH109:463	-	-	399	3300008734.a:Ga0113998_100013_211	428	2.6e-159	2	394	33	423	0.9824561403508771	0.9824561403508771
GT4_e1000	GT4:11	-	-	152	3300008734.a:Ga0113998_100013_39	374	8.3e-73	2	149	191	338	0.9671052631578947	0.9671052631578947
GT2	GT2:54	-	-	141	3300008734.a:Ga0113998_100013_44	252	3.9e-60	1	137	5	141	0.9645390070921985	0.9645390070921985
GT2	GT2:60	-	-	266	3300008734.a:Ga0113998_100034_59	346	1.9e-127	1	262	5	266	0.981203007518797	0.981203007518797
GT2	GT2:6	-	-	130	3300008734.a:Ga0113998_100066_37	294	6.9e-54	2	127	8	133	0.9615384615384616	0.9615384615384616
GT4_e3487	GT4:9	-	-	145	3300008734.a:Ga0113998_100066_41	387	1.1e-69	2	142	207	347	0.9655172413793104	0.9655172413793104
