dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE4_e362	CE4:61	-	-	127	3300029086.a:Ga0169215_100046_90	280	1e-64	2	127	83	208	0.984251968503937	0.984251968503937
CBM40_e1	CBM40:220|GH33:210	3.2.1.18:7|4.2.2.15:4	sialic acid	179	3300029086.a:Ga0169215_100051_133	724	5.5e-70	4	178	59	235	0.9720670391061452	0.9720670391061452
GH33_e135	GH33:249|CBM40:210|GH84:2	3.2.1.18:7|4.2.2.15:4	sialic acid, sialic acid	444	3300029086.a:Ga0169215_100051_133	724	5.4e-204	2	444	247	701	0.9954954954954955	0.9954954954954955
GH2_e100	GH2:216	3.2.1.31:3	beta-glucuronan	571	3300029086.a:Ga0169215_100051_59	748	4.5e-248	2	570	4	562	0.9947460595446584	0.9947460595446584
CBM13_e244	CBM13:6|CBM16:1	-	xylan	157	3300029086.a:Ga0169215_100077_85	2356	1.8e-49	1	143	1240	1383	0.9044585987261147	0.9044585987261147
CBM13_e244	CBM13:6|CBM16:1	-	xylan	157	3300029086.a:Ga0169215_100077_85	2356	5.9e-61	2	156	1396	1553	0.9808917197452229	0.9808917197452229
GH23_e843	GH23:9	-	-	109	3300029086.a:Ga0169215_100078_44	711	1e-50	2	107	253	361	0.963302752293578	0.963302752293578
GT1_e153	GT1:468|PL1_1:1|GH18:1|GH29:1	2.4.1.173:23|2.4.1.-:3	-	414	3300029086.a:Ga0169215_100078_89	413	8.1e-103	2	410	8	409	0.9855072463768116	0.9855072463768116
GH3_e33	GH3:23	-	-	212	3300029086.a:Ga0169215_100083_74	1037	4.4e-96	14	212	738	936	0.9339622641509434	0.9339622641509434
GT28_e30	GT28:2065	-	-	150	3300029086.a:Ga0169215_100091_39	355	6.3e-65	1	149	189	337	0.9866666666666667	0.9866666666666667
PL12_e15	PL12_1:24	-	-	141	3300029086.a:Ga0169215_100114_18	663	1.5e-64	1	141	360	499	0.9929078014184397	0.9929078014184397
GH32_e57	GH32:2835	3.2.1.26:16	fructan	306	3300029086.a:Ga0169215_100114_60	425	4.9e-117	1	306	7	301	0.9967320261437909	0.9967320261437909
CBM34_e0	CBM34:2551|GH13_20:2520|GH13_21:5|CBM48:4	3.2.1.54:37|3.2.1.133:20|3.2.1.135:9	starch	119	3300029086.a:Ga0169215_100128_23	585	1.3e-24	1	119	7	131	0.9915966386554622	0.9915966386554622
GH13_e204	GH13_20:15|CBM34:13|GH13:1	-	sucrose	300	3300029086.a:Ga0169215_100128_23	585	5.5e-165	1	300	180	479	0.9966666666666667	0.9966666666666667
GH73_e240	GH73:21	-	-	130	3300029086.a:Ga0169215_100131_35	263	3.1e-65	2	130	129	257	0.9846153846153847	0.9846153846153847
GH136_e10	GH136:44|CBM16:5	3.2.1.140:1	human milk polysaccharide	554	3300029086.a:Ga0169215_100133_23	1592	8.8e-200	1	553	39	607	0.9963898916967509	0.9963898916967509
GH23_e928	GH23:90	-	-	132	3300029086.a:Ga0169215_100179_8	564	4e-65	1	131	286	415	0.9848484848484849	0.9848484848484849
GT2	GT2:340	-	-	162	3300029086.a:Ga0169215_100208_40	312	1.4e-77	1	162	6	167	0.9938271604938271	0.9938271604938271
GH109_e7	GH109:31	-	-	390	3300029086.a:Ga0169215_100212_4	359	4.8e-27	2	260	4	251	0.6615384615384615	0.6615384615384615
GH109_e2	GH109:143	-	-	391	3300029086.a:Ga0169215_100212_7	352	1.4e-19	4	158	8	151	0.3938618925831202	0.3938618925831202
