PUL0017	5.67e-187	3300003272_7
PUL0063	6.5e-101	3300003272_7
PUL0103	8.19e-195	3300003272_7
PUL0106	5.9e-172	3300003272_7
PUL00121	6.48e-28	3300003272_7
PUL0178	3.35e-183	3300003272_7
PUL0180	4.97e-250	3300003272_7
PUL0206	3.24e-126	3300003272_7
PUL0335	1.63e-207	3300003272_7
PUL0337	1.33e-139	3300003272_7
PUL0414	1.65e-57	3300003272_7
PUL0462	2.08e-127	3300003272_7
PUL0482	1.68e-168	3300003272_7
PUL00493	1.10999999421392e-316	3300003272_7
PUL0527	1.6e-255	3300003272_7
PUL0527	2.31e-19	3300003272_7
PUL02670	4.39000000000003e-311	3300003272_7
PUL03345	6.1e-241	3300003272_7
PUL03349	2.53e-20	3300003272_7
PUL03393	1.55e-230	3300003272_7
PUL03398	3.44e-292	3300003272_7
PUL03412	5.82e-154	3300003272_7
PUL03440	5.16e-46	3300003272_7
PUL03440	5.66e-22	3300003272_7
PUL04930	3.06e-35	3300003272_7
