dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT83_e71	GT83:14	-	-	287	3300027316.a:Ga0207768_100002_1026	520	7e-33	1	276	80	368	0.9581881533101045	0.9581881533101045
GH74_e3	GH74:13	-	-	146	3300027316.a:Ga0207768_100002_1031	1043	8e-16	12	126	209	320	0.7808219178082192	0.7808219178082192
GT4_e912	GT4:7	-	-	87	3300027316.a:Ga0207768_100002_1109	337	9.5e-46	1	87	200	286	0.9885057471264368	0.9885057471264368
GT2	GT2:5	-	-	121	3300027316.a:Ga0207768_100002_1111	300	1.9e-27	1	118	6	124	0.9669421487603306	0.9669421487603306
GT4_e1588	GT4:6	-	-	163	3300027316.a:Ga0207768_100002_278	392	3.9e-61	1	163	199	356	0.9938650306748467	0.9938650306748467
GT2	GT2:5	-	-	118	3300027316.a:Ga0207768_100002_279	589	1.3e-32	1	118	12	132	0.9915254237288136	0.9915254237288136
GT2	GT2:8	-	-	237	3300027316.a:Ga0207768_100002_279	589	5.3e-73	1	227	279	520	0.9535864978902954	0.9535864978902954
GT4_e459	GT4:164|GT2:1	-	-	148	3300027316.a:Ga0207768_100002_40	388	2.5e-57	2	147	203	346	0.9797297297297297	0.9797297297297297
GH74_e3	GH74:13	-	-	146	3300027316.a:Ga0207768_100002_420	1089	8.7e-16	12	130	219	333	0.8082191780821918	0.8082191780821918
GT2	GT2:7	-	-	134	3300027316.a:Ga0207768_100002_54	343	1.1e-43	1	129	11	141	0.9552238805970149	0.9552238805970149
GT4_e740	GT4:68	2.4.1.245:2	-	160	3300027316.a:Ga0207768_100002_736	479	3e-73	2	158	225	381	0.975	0.975
GT2	GT2:156	-	-	255	3300027316.a:Ga0207768_100002_74	391	7.7e-34	2	193	13	218	0.7490196078431373	0.7490196078431373
GT2	GT2:82	-	-	161	3300027316.a:Ga0207768_100002_75	355	3.1e-65	1	161	38	198	0.9937888198757764	0.9937888198757764
GT4_e738	GT4:12	-	-	142	3300027316.a:Ga0207768_100002_85	394	1.3e-48	1	141	203	342	0.9859154929577465	0.9859154929577465
GT83_e87	GT83:7|GT2:1	-	-	356	3300027316.a:Ga0207768_100002_908	525	9.3e-24	4	282	30	300	0.7808988764044944	0.7808988764044944
GT4_e3136	GT4:15	-	-	154	3300027316.a:Ga0207768_100010_476	452	5.5e-46	1	154	226	380	0.9935064935064936	0.9935064935064936
GT2	GT2:36	-	-	156	3300027316.a:Ga0207768_100012_134	366	1.5e-49	1	155	9	174	0.9871794871794872	0.9871794871794872
GT2	GT2:14	-	-	160	3300027316.a:Ga0207768_100012_135	410	1.3e-44	1	159	48	211	0.9875	0.9875
GT4_e1051	GT4:23|GT2:1	-	-	146	3300027316.a:Ga0207768_100012_173	382	4.6e-51	1	145	199	343	0.9863013698630136	0.9863013698630136
GT9_e217	GT9:44	-	-	232	3300027316.a:Ga0207768_100012_276	376	4.5e-68	4	231	100	342	0.978448275862069	0.978448275862069
CE4_e281	CE4:9	-	-	120	3300027316.a:Ga0207768_100012_283	266	6e-21	17	118	49	150	0.8416666666666667	0.8416666666666667
GT51_e125	GT51:39	-	-	172	3300027316.a:Ga0207768_100012_304	796	2.1e-67	14	172	152	308	0.9186046511627907	0.9186046511627907
GT2	GT2:65	-	-	304	3300027316.a:Ga0207768_100012_381	326	1.3e-126	2	303	8	306	0.9901315789473685	0.9901315789473685
GT2	GT2:5	-	-	121	3300027316.a:Ga0207768_100012_384	286	2.9e-29	1	120	6	124	0.9834710743801653	0.9834710743801653
CBM50_e386	CBM50:11|GH25:6|GH39:1	-	chitin, peptidoglycan	44	3300027316.a:Ga0207768_100012_79	300	6.8e-18	4	43	37	76	0.8863636363636364	0.8863636363636364
CBM50_e163	CBM50:12|GH23:1	-	chitin, peptidoglycan	51	3300027316.a:Ga0207768_100012_79	300	1.1e-19	1	51	102	146	0.9803921568627451	0.9803921568627451
GH23_e284	GH23:10|CBM50:7	-	-	108	3300027316.a:Ga0207768_100012_79	300	7.9e-35	1	107	179	288	0.9814814814814815	0.9814814814814815
GT4_e1818	GT4:12	-	-	164	3300027316.a:Ga0207768_100019_226	416	5.4e-66	3	163	216	379	0.975609756097561	0.975609756097561
CE4_e342	CE4:13	-	-	122	3300027316.a:Ga0207768_100029_135	417	2.3e-36	1	121	49	169	0.9836065573770492	0.9836065573770492
CBM50_e786	CBM50:7|GH0:2	-	chitin, peptidoglycan	44	3300027316.a:Ga0207768_100029_172	139	1.4e-23	1	44	91	134	0.9772727272727273	0.9772727272727273
CBM50_e530	CBM50:30|GH18:1|GH39:1	-	chitin, peptidoglycan	44	3300027316.a:Ga0207768_100029_95	442	1.4e-16	1	44	167	210	0.9772727272727273	0.9772727272727273
CBM50_e1011	CBM50:8	-	chitin, peptidoglycan	45	3300027316.a:Ga0207768_100029_95	442	9.2e-18	2	44	225	266	0.9333333333333333	0.9333333333333333
GT4_e94	GT4:87	-	-	158	3300027316.a:Ga0207768_100030_100	886	3.1e-57	2	157	253	408	0.9810126582278481	0.9810126582278481
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	3300027316.a:Ga0207768_100043_98	758	2.1e-60	11	412	352	746	0.9616306954436451	0.9616306954436451
GT2	GT2:8	-	-	171	3300027316.a:Ga0207768_100074_20	321	1.1e-80	1	171	8	178	0.9941520467836257	0.9941520467836257
GT2	GT2:18	-	-	254	3300027316.a:Ga0207768_100074_20	321	3.7e-20	146	240	128	228	0.3700787401574803	0.3700787401574803
GH39_e128	GH39:7	-	-	254	3300027316.a:Ga0207768_100074_52	581	1e-126	2	254	295	546	0.9921259842519685	0.9921259842519685
CE14_e51	CE14:7	-	-	108	3300027316.a:Ga0207768_100168_33	223	4.6e-50	1	108	2	109	0.9907407407407407	0.9907407407407407
GT4_e907	GT4:432|GH0:5	-	-	149	3300027316.a:Ga0207768_100196_44	366	6.3e-60	3	147	170	314	0.9664429530201343	0.9664429530201343
GT4_e1738	GT4:29	-	-	148	3300027316.a:Ga0207768_100261_10	348	2e-46	3	148	160	311	0.9797297297297297	0.9797297297297297
GT9_e144	GT9:7	-	-	251	3300027316.a:Ga0207768_100002_1106	382	2.2e-124	2	251	90	343	0.9920318725099602	0.9920318725099602
GT9_e258	GT9:17	-	-	245	3300027316.a:Ga0207768_100002_1107	362	1.1e-98	1	244	85	331	0.9918367346938776	0.9918367346938776
GT9_e110	GT9:344|GT4:1	-	-	243	3300027316.a:Ga0207768_100002_1108	356	8e-87	1	243	86	327	0.9958847736625515	0.9958847736625515
GT26_e114	GT26:7	-	-	171	3300027316.a:Ga0207768_100002_423	272	1.5e-72	2	171	83	253	0.9883040935672515	0.9883040935672515
CE14_e51	CE14:7	-	-	108	3300027316.a:Ga0207768_100002_837	249	2.5e-53	1	107	16	122	0.9814814814814815	0.9814814814814815
GT4_e2964	GT4:9	-	-	152	3300027316.a:Ga0207768_100010_1	401	1.9e-65	2	151	242	391	0.9802631578947368	0.9802631578947368
GT2	GT2:37	-	-	118	3300027316.a:Ga0207768_100012_133	335	1.5e-51	1	116	9	124	0.9745762711864406	0.9745762711864406
CE4_e165	CE4:52	-	-	117	3300027316.a:Ga0207768_100012_137	269	1.1e-34	3	115	55	166	0.9572649572649573	0.9572649572649573
GH15_e59	GH15:2947	3.2.1.3:1	starch	363	3300027316.a:Ga0207768_100012_338	621	6.1e-149	1	362	242	600	0.9944903581267218	0.9944903581267218
GT4_e907	GT4:432|GH0:5	-	-	149	3300027316.a:Ga0207768_100012_55	390	2.3e-55	5	147	173	315	0.9530201342281879	0.9530201342281879
GH39_e128	GH39:7	-	-	254	3300027316.a:Ga0207768_100012_71	593	2.9e-54	44	253	156	359	0.8228346456692913	0.8228346456692913
GT94_e3	GT94:7	-	-	297	3300027316.a:Ga0207768_100012_89	391	4.9e-105	1	296	53	352	0.9932659932659933	0.9932659932659933
AA4_e1	AA4:19	-	-	525	3300027316.a:Ga0207768_100019_50	490	1e-25	15	249	8	233	0.44571428571428573	0.44571428571428573
CE4_e274	CE4:13|GT4:1	-	-	141	3300027316.a:Ga0207768_100029_51	323	2.2e-41	2	141	161	289	0.9858156028368794	0.9858156028368794
GT4_e3690	GT4:6	-	-	154	3300027316.a:Ga0207768_100030_104	412	3.2e-51	2	154	196	350	0.987012987012987	0.987012987012987
GT4_e726	GT4:8	-	-	154	3300027316.a:Ga0207768_100030_106	377	1.8e-71	5	154	179	329	0.9675324675324676	0.9675324675324676
GH109_e7	GH109:31	-	-	390	3300027316.a:Ga0207768_100030_110	360	2.2e-18	3	147	6	150	0.36923076923076925	0.36923076923076925
GT4_e459	GT4:164|GT2:1	-	-	148	3300027316.a:Ga0207768_100030_123	378	2.6e-48	1	147	199	344	0.9864864864864865	0.9864864864864865
GH39_e84	GH39:7	-	-	213	3300027316.a:Ga0207768_100030_129	571	7e-91	4	213	124	318	0.9812206572769953	0.9812206572769953
GT4_e1595	GT4:24	-	-	139	3300027316.a:Ga0207768_100030_165	374	9.7e-42	2	138	194	334	0.9784172661870504	0.9784172661870504
GH77_e26	GH77:918|CBM34:33|GH13_39:33|GT35:1	2.4.1.25:21	starch	486	3300027316.a:Ga0207768_100030_41	503	3e-214	1	484	13	495	0.9938271604938271	0.9938271604938271
GH13_e105	GH13_26:1493|GH77:81|GH13:7|GH57:1|CBM48:1|GH13_10:1	5.4.99.15:5	sucrose, starch	304	3300027316.a:Ga0207768_100030_58	950	1.5e-119	9	304	25	397	0.9703947368421053	0.9703947368421053
GT83_e27	GT83:794	2.4.2.43:1	-	529	3300027316.a:Ga0207768_100043_5	627	8e-26	60	388	76	391	0.6200378071833649	0.6200378071833649
GH133_e3	GH133:24	-	-	355	3300027316.a:Ga0207768_100065_74	698	2.4e-16	8	292	269	568	0.8	0.8
GT9_e110	GT9:344|GT4:1	-	-	243	3300027316.a:Ga0207768_100074_70	382	3.3e-52	3	224	111	334	0.9094650205761317	0.9094650205761317
GT9_e304	GT9:5	-	-	241	3300027316.a:Ga0207768_100074_71	380	2.6e-91	1	240	118	348	0.991701244813278	0.991701244813278
GT4_e459	GT4:164|GT2:1	-	-	148	3300027316.a:Ga0207768_100074_72	380	3e-51	1	143	195	336	0.9594594594594594	0.9594594594594594
GT9_e262	GT9:8|GT4:1	-	-	243	3300027316.a:Ga0207768_100074_73	388	1e-49	3	242	92	346	0.9835390946502057	0.9835390946502057
GT2	GT2:96	-	-	275	3300027316.a:Ga0207768_100107_18	384	3.7e-85	1	260	49	312	0.9418181818181818	0.9418181818181818
GH31_e37	GH31:340	3.2.1.84:1	starch	440	3300027316.a:Ga0207768_100166_36	807	1.9e-200	1	439	238	680	0.9954545454545455	0.9954545454545455
GT4_e3378	GT4:9	-	-	152	3300027316.a:Ga0207768_100168_34	437	1.3e-67	2	151	224	373	0.9802631578947368	0.9802631578947368
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	3300027316.a:Ga0207768_100335_9	474	1.5e-39	2	411	39	457	0.9808153477218226	0.9808153477218226
GT4_e3191	GT4:35	-	-	131	3300027316.a:Ga0207768_100356_16	385	2.9e-53	2	130	204	332	0.9770992366412213	0.9770992366412213
GT2	GT2:82	-	-	199	3300027316.a:Ga0207768_100447_9	277	9.3e-56	1	169	32	201	0.8442211055276382	0.8442211055276382
GT4_e1800	GT4:638|GT2:1	-	-	166	3300027316.a:Ga0207768_100610_8	410	1.2e-75	3	166	203	377	0.9819277108433735	0.9819277108433735
CBM50_e223	CBM50:11|GH25:5	-	chitin, peptidoglycan	43	3300027316.a:Ga0207768_100002_433	470	2.2e-19	2	43	85	126	0.9534883720930233	0.9534883720930233
CBM50_e786	CBM50:7|GH0:2	-	chitin, peptidoglycan	44	3300027316.a:Ga0207768_100002_433	470	2.5e-19	1	43	141	183	0.9545454545454546	0.9545454545454546
CBM50_e223	CBM50:11|GH25:5	-	chitin, peptidoglycan	43	3300027316.a:Ga0207768_100002_433	470	3.2e-16	2	43	227	268	0.9534883720930233	0.9534883720930233
GH23_e609	GH23:23	-	-	129	3300027316.a:Ga0207768_100002_50	741	3.5e-42	1	128	603	730	0.9844961240310077	0.9844961240310077
GH39_e134	GH39:5|CBM50:1	-	-	204	3300027316.a:Ga0207768_100002_664	606	7.3e-106	1	204	118	317	0.9950980392156863	0.9950980392156863
CE14_e35	CE14:10	-	-	113	3300027316.a:Ga0207768_100002_849	248	4.6e-53	1	112	15	126	0.9823008849557522	0.9823008849557522
CE14_e46	CE14:7	-	-	116	3300027316.a:Ga0207768_100002_909	234	6.6e-54	1	116	12	128	0.9913793103448276	0.9913793103448276
GT76_e12	GT76:10	-	-	190	3300027316.a:Ga0207768_100002_933	427	3e-44	6	180	86	258	0.9157894736842105	0.9157894736842105
