Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300029653.a:Ga0245224_100013_177	-	CE11(6-272)	CE11_e34	CE11	N	3
3300029653.a:Ga0245224_100013_220	-	AA4(9-249)	AA4_e1	-	N	2
3300029653.a:Ga0245224_100013_28	-	GT9(78-320)	GT9_e170	GT9	N	3
3300029653.a:Ga0245224_100013_29	-	GT9(79-323)	GT9_e90	GT9	N	3
3300029653.a:Ga0245224_100013_46	-	CE4(315-456)	CE4_e362	-	Y(1-26)	2
3300029653.a:Ga0245224_100013_47	-	GH18(109-324)	GH18_e418	GH18	Y(1-28)	3
3300029653.a:Ga0245224_100013_49	-	GT2(232-407)	GT2	GT2	N	3
3300029653.a:Ga0245224_100083_49	-	GH18(96-344)	GH18_e396	GH18	Y(1-24)	3
3300029653.a:Ga0245224_100159_75	-	GT30(37-216)	GT30_e33	GT30	N	3
3300029653.a:Ga0245224_100159_77	-	GT19(3-351)	GT19_e9	GT19	N	3
3300029653.a:Ga0245224_100195_75	-	GT2(46-270)	GT2	GT2	N	3
3300029653.a:Ga0245224_100195_78	-	GT26(59-228)	GT26_e156	GT26	N	3
3300029653.a:Ga0245224_100202_53	-	AA4(10-233)	-	-	N	1
3300029653.a:Ga0245224_100224_21	-	GT83(3-377)	GT83_e69	GT83	Y(1-25)	3
3300029653.a:Ga0245224_100226_66	-	GT2(6-97)	GT2	GT2	N	3
3300029653.a:Ga0245224_100278_32	-	GH170(3-340)	GH170_e20	GH170	N	3
3300029653.a:Ga0245224_100278_35	-	CE9(5-372)	CE9_e66	CE9	N	3
3300029653.a:Ga0245224_100293_42	-	GT8(2-256)	GT8_e70	GT8	N	3
3300029653.a:Ga0245224_100293_44	-	GT25(7-171)	GT25_e20	GT25	N	3
3300029653.a:Ga0245224_100293_45	-	GT9(81-339)	GT9_e283	GT9	N	3
3300029653.a:Ga0245224_100293_46	-	GT8(25-265)	GT8_e248	GT8	N	3
3300029653.a:Ga0245224_100423_23	-	GT2(42-267)	GT2	GT2	N	3
3300029653.a:Ga0245224_100423_30	-	GH73(155-284)	GH73_e220	GH73	Y(1-28)	3
3300029653.a:Ga0245224_100465_11	-	GT51(75-250)	GT51_e132	GT51	N	3
3300029653.a:Ga0245224_100593_5	-	GT83(3-478)	GT83_e69	GT83	Y(1-26)	3
3300029653.a:Ga0245224_100599_4	-	GH23(61-188)	GH23_e591	GH23	N	3
3300029653.a:Ga0245224_100726_8	-	GT28(189-353)	GT28_e1	GT28	N	3
3300029653.a:Ga0245224_100825_4	-	AA4(11-240)	AA4_e1	-	N	2
3300029653.a:Ga0245224_100867_3	-	CE4(89-212)	CE4_e274	CE4	Y(1-25)	3
3300029653.a:Ga0245224_100915_5	-	GT2(9-170)	GT2	GT2	N	3
3300029653.a:Ga0245224_100969_5	-	CE1(197-424)	-	-	Y(1-38)	1
3300029653.a:Ga0245224_101605_7	2.4.1.129:1	GT51(69-235)	GT51_e144	GT51	Y(1-24)	3
3300029653.a:Ga0245224_100013_50	-	-	CE4_e209	-	N	1
3300029653.a:Ga0245224_100491_4	-	-	-	CBM50+GH25	N	1
3300029653.a:Ga0245224_100224_44	-	-	-	GT47	N	1
3300029653.a:Ga0245224_100181_89	-	-	-	GH1	N	1
3300029653.a:Ga0245224_100169_59	-	-	-	GH130	N	1
3300029653.a:Ga0245224_100200_44	-	-	-	GH5_11	N	1
3300029653.a:Ga0245224_100200_61	-	-	-	GH23	N	1
3300029653.a:Ga0245224_100013_198	-	-	-	GT58	N	1
3300029653.a:Ga0245224_100013_205	-	-	-	GT0	N	1
3300029653.a:Ga0245224_100421_34	-	-	-	GH13_30	N	1
3300029653.a:Ga0245224_100650_2	-	-	-	GH38	N	1
3300029653.a:Ga0245224_100650_16	-	-	-	GT4	N	1
3300029653.a:Ga0245224_100353_9	-	-	-	GT2	N	1
3300029653.a:Ga0245224_100523_23	-	-	-	GH13_31	N	1
3300029653.a:Ga0245224_100240_67	-	-	-	GH13	N	1
3300029653.a:Ga0245224_100278_22	-	-	-	GT2	N	1
3300029653.a:Ga0245224_100195_11	-	-	-	GT2	N	1
3300029653.a:Ga0245224_100195_60	-	-	-	GT2	N	1
3300029653.a:Ga0245224_100195_79	-	-	-	GH1	N	1
3300029653.a:Ga0245224_100788_4	-	-	-	GH101	N	1
3300029653.a:Ga0245224_100131_62	-	-	-	GH84	N	1
3300029653.a:Ga0245224_100131_69	-	-	-	GH13	N	1
3300029653.a:Ga0245224_100159_55	-	-	-	GT83	N	1
3300029653.a:Ga0245224_100083_19	-	-	-	GT2	N	1
3300029653.a:Ga0245224_100083_61	-	-	-	GH13_26	N	1
3300029653.a:Ga0245224_100083_100	-	-	-	GT4	N	1
3300029653.a:Ga0245224_100465_2	-	-	-	GH28	N	1
3300029653.a:Ga0245224_100465_15	-	-	-	GH28	N	1
3300029653.a:Ga0245224_100915_14	-	-	-	GH27	N	1
3300029653.a:Ga0245224_100293_35	-	-	-	GT2	N	1
