CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_38	37972	39348	-	 GH57|GH57
CGC1	CAZyme	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_39	39368	40636	-	 GT4|GT4
CGC1	CAZyme	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_40	40653	42599	-	GH133| GH133
CGC1	null	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_41	42881	43084	-	null
CGC1	null	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_42	43084	43677	-	null
CGC1	TF	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_43	43884	44579	+	none
CGC1	null	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_44	44518	44931	-	null
CGC1	STP	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_45	44971	48534	-	Fer4+Fer4
CGC1	TF	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_46	48582	49799	-	HTH_5
CGC1	null	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_47	50007	51182	-	null
CGC1	null	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_48	51393	53519	-	null
CGC1	TC	3300029580.a:Ga0245096_100291	3300029580.a:Ga0245096_100291_49	53560	54846	-	2.A.1.7.2
CGC1	CAZyme	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_37	41809	44034	+	 GH3|GH3
CGC1	TF	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_38	44114	44815	-	none
CGC1	STP	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_39	44985	45932	-	Pyr_redox_2
CGC1	null	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_40	45954	46595	-	null
CGC1	TC	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_41	46592	49066	-	3.A.12.1.1
CGC1	TC	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_42	49138	50601	-	2.A.38.1.1
CGC1	TC	3300029580.a:Ga0245096_100155	3300029580.a:Ga0245096_100155_43	50609	51943	-	2.A.38.1.1
CGC1	TF	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_43	46104	46988	+	HTH_AraC+HTH_AraC
CGC1	TF	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_44	47117	47695	+	GerE
CGC1	STP	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_45	47770	48741	+	FecR
CGC1	CAZyme	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_46	48959	50836	+	GH163| GH163
CGC1	CAZyme	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_47	50846	52714	+	GH20| GH20
CGC1	TC	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_48	53286	56606	+	1.B.14.6.1
CGC1	TC	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_49	56617	58044	+	8.A.46.1.3
CGC1	null	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_50	58053	58565	+	null
CGC1	null	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_51	58590	60272	+	null
CGC1	CAZyme	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_52	60366	62867	+	GH18| GH18
CGC1	CAZyme	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_53	62977	65367	+	 GH95|GH95
CGC2	CAZyme	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_116	137776	139158	-	CE11| CE11
CGC2	null	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_117	139171	140217	-	null
CGC2	STP	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_118	140586	141764	+	Aminotran_1_2
CGC2	null	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_119	141916	142356	-	null
CGC2	STP	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_120	142474	143745	-	HisKA+HATPase_c
CGC2	TF	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_121	143758	144441	-	Trans_reg_C
CGC2	TC	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_122	144610	144774	-	3.D.7.2.3
CGC2	STP	3300029580.a:Ga0245096_100078	3300029580.a:Ga0245096_100078_123	145278	146639	-	PALP
CGC1	CAZyme	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_122	165988	167706	+	 GH13_38|GH13_38
CGC1	STP	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_123	167785	168723	+	Pribosyltran
CGC1	null	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_124	169001	169141	+	null
CGC1	TC	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_125	169082	171040	-	1.A.33.1.2
CGC1	STP	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_126	171387	171800	+	Glyoxalase
CGC1	TC	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_127	171805	173358	+	3.B.1.1.2
CGC1	null	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_128	173379	174293	+	null
CGC1	null	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_129	174319	174750	+	null
CGC1	TC	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_130	174755	175912	+	3.B.1.1.1
CGC1	null	3300029580.a:Ga0245096_100032	3300029580.a:Ga0245096_100032_131	175943	176077	+	null
