Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300007345.a:Ga0070752_1000004_114	-	AA12(152-429)	-	-	N	1
3300007345.a:Ga0070752_1000004_122	3.2.1.22:13	GH4(5-185)	GH4_e0	GH4	N	3
3300007345.a:Ga0070752_1000004_123	-	GH4(4-184)	GH4_e26	GH4	N	3
3300007345.a:Ga0070752_1000004_179	2.4.1.15:96	GT20(2-451)	GT20_e1	GT20	N	3
3300007345.a:Ga0070752_1000004_195	-	GH109(2-180)	GH109_e7	-	N	2
3300007345.a:Ga0070752_1000004_308	-	GH154(19-358)	GH154_e14	GH154	N	3
3300007345.a:Ga0070752_1000004_314	-	PL33_2(391-539)	PL33_e14	PL33_2	N	3
3300007345.a:Ga0070752_1000004_316	3.1.1.72:4	CE7(5-317)	CE7_e23	CE7	N	3
3300007345.a:Ga0070752_1000004_501	-	GH109(4-158)	GH109_e7	-	N	2
3300007345.a:Ga0070752_1000004_533	-	GH103(29-328)	GH103_e42	GH103	Y(1-24)	3
3300007345.a:Ga0070752_1000004_54	-	GH24(3-140)	GH24_e148	-	N	2
3300007345.a:Ga0070752_1000004_82	-	GT32(21-100)	GT32_e90	GT0+GT32	N	3
3300007345.a:Ga0070752_1000005_101	-	GH23(61-173)	GH23_e697	-	Y(1-39)	2
3300007345.a:Ga0070752_1000005_21	-	CE1(47-201)	CE1_e19	-	Y(1-13)	2
3300007345.a:Ga0070752_1000005_224	3.2.1.24:1	GH38(251-513)	GH38_e18	GH38	N	3
3300007345.a:Ga0070752_1000005_232	-	CE9(12-341)	CE9_e37	CE9	N	3
3300007345.a:Ga0070752_1000005_251	-	GT4(199-343)	GT4_e3367	GT4	N	3
3300007345.a:Ga0070752_1000005_252	-	GT2(9-146)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000005_256	-	GT4(206-358)	GT4_e1003	-	N	2
3300007345.a:Ga0070752_1000005_259	-	GT4(240-381)	GT4_e3621	-	N	2
3300007345.a:Ga0070752_1000005_382	3.5.1.-:2	CE14(6-118)	CE14_e47	-	N	2
3300007345.a:Ga0070752_1000005_470	-	GH109(3-162)	GH109_e7	-	N	2
3300007345.a:Ga0070752_1000009_201	3.2.1.141:34|3.2.1.1:4|-	GH13_10(115-421)	CBM48_e0+GH13_e120	GH13_10	N	3
3300007345.a:Ga0070752_1000009_202	-	GH13_26(27-296)	GH13_e100	GH13_26	N	3
3300007345.a:Ga0070752_1000009_218	-	GH140(100-361)	-	-	N	1
3300007345.a:Ga0070752_1000009_234	3.2.1.23:1	GH2(5-665)	GH2_e125	GH2	N	3
3300007345.a:Ga0070752_1000009_380	-	GT2(27-186)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000009_40	2.4.1.129:1	GT51(117-281)	GT51_e144	GT51	N	3
3300007345.a:Ga0070752_1000009_6	-	GH108(10-98)	GH108_e69	GH108	N	3
3300007345.a:Ga0070752_1000011_153	3.2.1.40:1|3.2.1.40:8|3.1.1.73:2	CBM67(37-177)+GH78(218-742)	CBM67_e28+GH78_e80	GH78	N	3
3300007345.a:Ga0070752_1000011_185	3.2.1.-:2|3.2.1.6:2	GH16_21(30-241)	GH16_e350	GH16_21	Y(1-24)	3
3300007345.a:Ga0070752_1000011_190	-	GT2(15-141)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000011_196	-	GT2(19-166)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000011_197	-	GT2(7-172)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000011_32	-	GT1(89-413)	GT1_e493	GT1	N	3
3300007345.a:Ga0070752_1000011_340	-	GT2(5-160)	GT2	-	N	2
3300007345.a:Ga0070752_1000011_343	-	GT26(74-244)	GT26_e127	GT26	N	3
3300007345.a:Ga0070752_1000011_41	-	CE4(91-296)	CE4_e247	-	Y(1-27)	2
3300007345.a:Ga0070752_1000011_44	-	GT4(201-343)	GT4_e22	GT4	N	3
3300007345.a:Ga0070752_1000011_6	-	GH109(7-192)	-	-	N	1
3300007345.a:Ga0070752_1000021_17	-	CE11(8-280)	CE11_e11	CE11	N	3
3300007345.a:Ga0070752_1000021_8	-	GT28(186-348)	GT28_e116	GT28	N	3
3300007345.a:Ga0070752_1000021_81	-	GH3(63-287)	GH3_e84	GH3	N	3
3300007345.a:Ga0070752_1000021_83	-	GT4(190-309)	GT4_e3056	GT4	N	3
3300007345.a:Ga0070752_1000024_140	-	GH109(6-175)	GH109_e7	-	N	2
3300007345.a:Ga0070752_1000024_182	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(5-295)+CBM91(321-527)	GH43_e285+CBM91_e24	CBM91+GH43_11	N	3
3300007345.a:Ga0070752_1000024_197	-	GH25(60-237)	GH25_e260	GH25	Y(1-15)	3
3300007345.a:Ga0070752_1000024_3	3.2.1.21:1	GH3(85-313)	GH3_e109	GH3	N	3
3300007345.a:Ga0070752_1000024_34	-	GT8(5-248)	GT8_e240	GT8	N	3
3300007345.a:Ga0070752_1000024_81	2.4.1.129:1	GT51(143-316)	GT51_e144	GT51	N	3
3300007345.a:Ga0070752_1000026_153	-	AA4(6-244)	-	-	N	1
3300007345.a:Ga0070752_1000027_10	-	GH109(2-143)	-	-	N	1
3300007345.a:Ga0070752_1000027_155	-	AA3_2(3-530)	AA3_e57	AA3_2	N	3
3300007345.a:Ga0070752_1000027_167	-	GH2(17-474)	GH2_e12	GH2	N	3
3300007345.a:Ga0070752_1000027_169	3.2.1.55:37	GH51(2-502)	GH51_e0	GH51	N	3
3300007345.a:Ga0070752_1000027_50	-	CE9(10-380)	CE9_e55	CE9	N	3
3300007345.a:Ga0070752_1000037_133	-	GH42(22-373)	GH42_e22	GH42	N	3
3300007345.a:Ga0070752_1000037_180	-	GT51(55-235)	GT51_e77	GT51	N	3
3300007345.a:Ga0070752_1000037_7	-	GT2(5-170)	GT2	GT2	N	3
3300007345.a:Ga0070752_1000061_107	3.2.1.21:2|3.2.1.126:1|3.2.1.37:1	GH3(30-245)	GH3_e175	GH3	N	3
3300007345.a:Ga0070752_1000061_27	-	GT51(53-204)	GT51_e118	-	N	2
3300007345.a:Ga0070752_1000061_72	-	GH127(12-547)	GH127_e1	GH127	N	3
3300007345.a:Ga0070752_1000106_3	-	GH103(38-329)	GH103_e39	GH103	Y(1-35)	3
3300007345.a:Ga0070752_1000106_52	-	AA3_2(10-540)	AA3_e57	AA3_2	N	3
3300007345.a:Ga0070752_1000106_53	-	AA3_2(7-527)	AA3_e57	AA3_2	N	3
3300007345.a:Ga0070752_1000106_61	-	GH109(3-197)	GH109_e2	-	N	2
3300007345.a:Ga0070752_1000120_18	-	GT51(80-247)	GT51_e71	GT51	N	3
3300007345.a:Ga0070752_1000120_55	3.2.1.24:1	GH38(259-518)	GH38_e18	GH38	N	3
3300007345.a:Ga0070752_1000121_77	-	GH109(2-148)	-	-	N	1
3300007345.a:Ga0070752_1000122_44	-	GH20(270-644)	GH20_e62	GH20	N	3
3300007345.a:Ga0070752_1000127_56	-	GH114(68-232)	GH114_e21	GH114	Y(1-31)	3
