Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300012835.a:Ga0160446_100014_2	UNK58735.1|CE12	84.7	379	55	1	4	379	4	382	1.3e-187	659.4
3300012835.a:Ga0160446_100014_5	CAD0304441.1|GH43_9	79.2	351	71	2	1	350	575	924	1.6e-155	552.7
3300012835.a:Ga0160446_100014_13	UNK58727.1|CBM91|GH43_9	89.9	536	51	1	1	533	1	536	5.5e-304	1046.6
3300012835.a:Ga0160446_100014_14	UNK58726.1|CE12	81.9	304	46	3	8	305	7	307	4.1e-134	481.5
3300012835.a:Ga0160446_100014_17	AAW84081.1|PL10_1	82.9	346	59	0	7	352	8	353	2.6e-164	582.0
3300012835.a:Ga0160446_100014_37	AKC88267.1|GH18	79.8	371	75	0	19	389	1	371	8.1e-172	607.1
3300012835.a:Ga0160446_100014_46	AKC86660.1|CBM6|GH5_46	80.3	573	113	0	1	573	1	573	3.4e-291	1004.2
3300012835.a:Ga0160446_100014_69	UNK58677.1|GH3	85.0	865	129	1	1	865	1	864	0.0e+00	1457.2
3300012835.a:Ga0160446_100014_208	ALR10041.2|GH3	66.3	392	127	1	1	392	1	387	7.3e-136	487.6
3300012835.a:Ga0160446_100014_228	UNK58516.1|GT41	74.9	594	149	0	1	594	1	594	2.1e-243	845.5
3300012835.a:Ga0160446_100014_229	UNK58515.1|GH20	84.8	790	114	2	1	785	1	789	0.0e+00	1362.8
3300012835.a:Ga0160446_100047_49	AKC87294.1|CE11	94.1	303	18	0	1	303	1	303	3.0e-161	571.6
3300012835.a:Ga0160446_100047_54	AJZ67898.1|GT28	88.2	255	22	1	1	247	1	255	1.1e-120	437.6
3300012835.a:Ga0160446_100047_55	UNK56520.1|GT28	88.2	363	43	0	9	371	10	372	4.6e-172	607.8
3300012835.a:Ga0160446_100047_78	AMJ20543.1|GH13_11	58.3	398	160	3	22	415	14	409	8.0e-125	451.1
3300012835.a:Ga0160446_100047_89	UNK56491.1|GT2	79.6	284	58	0	5	288	2	285	8.5e-126	453.8
3300012835.a:Ga0160446_100047_90	AKC87256.1|GT0	86.8	281	34	1	1	281	4	281	2.1e-137	492.3
3300012835.a:Ga0160446_100047_102	CAG7911095.1|GH5_11	40.1	963	463	21	2	925	572	1459	1.7e-194	683.7
3300012835.a:Ga0160446_100121_9	AGN91810.2|GT4	51.6	471	220	2	1	463	2	472	1.1e-135	487.3
3300012835.a:Ga0160446_100121_18	CAI32746.2|GT4	54.8	392	171	1	1	386	1	392	2.9e-121	439.1
3300012835.a:Ga0160446_100088_57	UNK59060.1|GT2	92.4	263	20	0	12	274	3	265	2.5e-138	495.4
3300012835.a:Ga0160446_100135_1	AGL64353.2|CBM50|GH25	41.9	561	310	6	2	560	15	561	8.6e-122	441.4
3300012835.a:Ga0160446_100135_9	QOF98722.1|GT87	49.2	549	254	8	16	543	12	556	4.1e-145	518.8
3300012835.a:Ga0160446_100135_17	QKS49617.1|GT87	48.4	465	236	3	19	479	497	961	5.8e-103	378.6
3300012835.a:Ga0160446_100135_28	AWB76961.1|GT2|GT4	60.3	1112	424	11	9	1110	11	1115	0.0e+00	1343.2
3300012835.a:Ga0160446_100028_6	UNK58381.1|GH3	85.1	899	120	4	19	907	25	919	0.0e+00	1546.9
3300012835.a:Ga0160446_100028_7	UOV03936.1|CBM91|GH43_12	72.5	556	149	2	16	571	32	583	1.2e-248	862.8
3300012835.a:Ga0160446_100028_8	CAD7731929.1|GH43_12	79.2	289	59	1	1	288	1	289	3.8e-135	485.3
3300012835.a:Ga0160446_100028_9	UNK58383.1|CE20	89.7	639	66	0	31	669	35	673	0.0e+00	1213.7
3300012835.a:Ga0160446_100028_10	UNK59022.1|GH67	89.5	713	75	0	24	736	1	713	0.0e+00	1333.2
3300012835.a:Ga0160446_100028_26	AKG15649.2|GT51	33.7	852	494	9	8	797	14	856	6.4e-110	402.5
3300012835.a:Ga0160446_100028_42	CAD7245033.1|GT58	66.4	479	140	5	2	465	1053	1525	3.3e-172	608.6
3300012835.a:Ga0160446_100028_74	UHD17259.1|CBM50	43.0	796	404	11	14	765	168	957	2.6e-185	652.9
3300012835.a:Ga0160446_100028_88	UNK58453.1|GH2	90.8	597	55	0	21	617	3	599	0.0e+00	1136.3
3300012835.a:Ga0160446_100028_91	AKC86466.1|GH103	88.3	376	40	1	1	372	1	376	3.6e-185	651.4
3300012835.a:Ga0160446_100028_93	CAD7221988.1|GH103	39.9	619	358	3	4	614	9	621	6.4e-122	442.2
3300012835.a:Ga0160446_100028_113	AVM55139.1|GH65	50.1	697	321	8	25	717	682	1355	2.2e-199	699.5
3300012835.a:Ga0160446_100028_122	UNK58484.1|GT2	82.5	636	110	1	1	635	1	636	9.5e-303	1042.7
3300012835.a:Ga0160446_100028_124	CAE6201338.1|GH1	55.1	651	280	5	2	641	572	1221	1.7e-214	749.6
3300012835.a:Ga0160446_100028_128	UNK58490.1|GT83	87.7	567	70	0	5	571	9	575	9.7e-307	1055.8
3300012835.a:Ga0160446_100028_132	UNK58493.1|CBM50	90.7	365	34	0	1	365	9	373	1.5e-196	689.1
3300012835.a:Ga0160446_100028_142	UNK58502.1|GH23	85.6	662	89	1	1	662	1	656	0.0e+00	1125.9
3300012835.a:Ga0160446_100028_149	AKC86515.1|CE9	88.5	384	44	0	1	384	1	384	3.8e-190	667.9
3300012835.a:Ga0160446_100010_15	UNK57682.1|CBM50|GH23	84.9	515	78	0	1	515	1	515	7.0e-256	886.7
3300012835.a:Ga0160446_100010_175	UNK57534.1|GH144	91.1	528	46	1	16	542	7	534	7.9e-274	946.4
3300012835.a:Ga0160446_100010_179	ADV27135.1|CBM32	76.4	1035	241	1	40	1074	67	1098	0.0e+00	1675.6
3300012835.a:Ga0160446_100010_238	UNK57485.1|GH3	93.4	333	22	0	1	333	1	333	8.5e-178	626.7
3300012835.a:Ga0160446_100010_250	UNK57474.1|CE2	70.0	370	111	0	1	370	1	370	4.2e-149	531.6
3300012835.a:Ga0160446_100003_5	UHD17597.1|CBM50	38.3	614	349	13	18	618	108	704	3.1e-104	383.6
3300012835.a:Ga0160446_100003_34	UNK56850.1|GH74	86.7	727	97	0	8	734	1	727	0.0e+00	1339.7
3300012835.a:Ga0160446_100003_35	UNK56851.1|CE20	83.6	648	106	0	1	648	1	648	0.0e+00	1088.9
3300012835.a:Ga0160446_100003_36	UNK56852.1|GH35	84.3	567	87	2	13	579	14	578	1.5e-286	988.8
3300012835.a:Ga0160446_100003_37	UNK56853.1|GH31	90.4	952	87	1	1	952	1	948	0.0e+00	1809.7
3300012835.a:Ga0160446_100003_38	UNK56854.1|GH95	92.1	809	63	1	1	809	1	808	0.0e+00	1467.6
3300012835.a:Ga0160446_100003_108	AKC87653.1|GH13_23	89.9	537	52	2	1	537	1	535	7.5e-301	1036.2
3300012835.a:Ga0160446_100003_110	UNK56930.1|GH97	91.2	696	60	1	1	696	1	695	0.0e+00	1329.3
3300012835.a:Ga0160446_100003_111	UNK56931.1|CBM48|GH13_13	86.7	935	123	1	1	935	1	934	0.0e+00	1622.4
3300012835.a:Ga0160446_100003_113	UNK56933.1|GH13	88.7	542	56	1	9	545	5	546	3.8e-292	1007.3
3300012835.a:Ga0160446_100003_115	CAN65674.1|GH28	41.8	558	294	9	58	606	94	629	1.3e-129	467.6
3300012835.a:Ga0160446_100003_142	AKC87683.1|GH9	75.2	585	138	3	1	579	4	587	1.3e-261	906.0
3300012835.a:Ga0160446_100003_206	AGL64345.2|GT2	47.1	571	297	3	310	877	287	855	1.4e-139	501.1
3300012835.a:Ga0160446_100003_210	CAD7252417.1|GH13	42.8	586	319	10	129	701	341	923	1.2e-117	427.9
3300012835.a:Ga0160446_100003_239	CUS04494.2|GH39	61.0	925	322	6	5	893	338	1259	0.0e+00	1087.4
3300012835.a:Ga0160446_100003_240	CUS04494.2|GH39	58.8	345	126	1	11	355	5	333	3.1e-112	409.1
3300012835.a:Ga0160446_100003_243	UNK57044.1|GT51	84.5	788	118	1	20	803	3	790	0.0e+00	1346.3
3300012835.a:Ga0160446_100003_249	UNK57050.1|GH16_3	82.8	262	45	0	22	283	17	278	7.6e-135	483.8
3300012835.a:Ga0160446_100003_256	CAD7280782.1|GT2	49.3	923	345	6	1	891	334	1165	4.0e-249	865.1
3300012835.a:Ga0160446_100003_401	AKC87922.1|GH8	82.5	435	73	2	4	437	5	437	4.7e-216	754.2
3300012835.a:Ga0160446_100100_13	UNK57277.1|GT2	71.5	1169	331	2	2	1168	9	1177	0.0e+00	1672.1
3300012835.a:Ga0160446_100100_16	AUZ55109.1|GT2	73.8	492	129	0	18	509	13	504	2.4e-216	755.4
3300012835.a:Ga0160446_100100_33	UNK57297.1|GH73	74.8	322	70	5	1	320	1	313	2.8e-119	432.6
