CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	STP	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_47	42542	43153	-	TetR_N
CGC1	null	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_48	43259	44200	-	null
CGC1	TC	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_49	44252	45298	-	3.A.1.1.38
CGC1	TC	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_50	45308	46105	-	3.A.1.1.25
CGC1	TC	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_51	46102	46947	-	3.A.1.1.25
CGC1	CAZyme	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_52	46944	48182	-	GH63| GH63
CGC1	STP	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_53	48219	49514	-	SBP_bac_1
CGC1	null	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_54	49615	50706	-	null
CGC1	TF	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_55	50816	51139	+	DUF24
CGC1	null	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_56	51141	51545	-	null
CGC1	TC	3300024356.a:Ga0255169_1000078	3300024356.a:Ga0255169_1000078_57	51633	53114	-	3.D.10.1.4
CGC1	TC	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_29	25584	25973	+	3.D.1.3.1
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_30	25976	27073	-	null
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_31	27066	27464	-	null
CGC1	STP	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_32	27454	27771	-	NTP_transf_2
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_33	27776	28996	-	null
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_34	28981	29373	-	null
CGC1	TF	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_35	29373	29633	-	PSK_trans_fac
CGC1	STP	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_36	29666	30922	-	Fer4
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_37	30927	31970	-	null
CGC1	CAZyme	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_38	31957	33339	-	AA4
CGC1	null	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_39	33401	34963	-	null
CGC1	TF	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_40	35062	35820	+	TrmB
CGC1	TF	3300024356.a:Ga0255169_1000039	3300024356.a:Ga0255169_1000039_41	35863	36207	+	MerR
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_26	22402	24288	-	TPR_2+TPR_2
CGC1	CAZyme	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_27	24298	25002	-	 GT26|GT26
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_28	24990	25706	-	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_29	25734	26669	+	null
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_30	26806	27423	+	Nitroreductase
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_31	27420	27779	-	NTP_transf_2
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_32	27736	28116	-	null
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_33	28145	29188	+	Aminotran_1_2
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_34	29181	29765	+	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_35	29857	30477	+	null
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_36	30448	31368	-	PfkB
CGC1	STP	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_37	31513	32994	+	CBS+CBS
CGC1	TF	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_38	32991	33221	-	Pencillinase_R
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_39	33262	33747	+	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_40	33692	34117	-	null
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_41	34251	35165	-	3.A.5.1.1
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_42	35165	35605	-	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_43	35622	37028	-	null
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_44	37083	37811	+	1.B.42.1.2
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_45	37814	39157	+	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_46	39965	40534	-	null
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_47	40544	41836	-	2.A.9.3.7
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_48	41833	42081	-	null
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_49	42086	42319	-	null
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_50	42738	43499	+	3.A.1.4.8
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_51	43496	45430	+	4.C.1.1.4
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_52	45427	46320	+	3.A.1.4.3
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_53	46317	47384	+	3.A.1.4.3
CGC1	null	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_54	47424	48620	+	null
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_55	48665	49498	+	3.A.1.4.10
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_56	49565	50305	+	3.A.1.15.8
CGC1	TC	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_57	50298	51104	+	3.A.1.15.6
CGC1	TF	3300024356.a:Ga0255169_1000072	3300024356.a:Ga0255169_1000072_58	51129	51578	+	Rrf2
