HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT28.hmm	157	3300028975.a:Ga0169659_10003_11	385	1.6e-30	2	153	205	353	0.9617834394904459
GT2.hmm	170	3300028975.a:Ga0169659_10003_190	337	7e-33	1	166	4	164	0.9705882352941176
GT83.hmm	540	3300028975.a:Ga0169659_10005_127	544	3.5e-95	10	536	7	503	0.9740740740740741
GH3.hmm	216	3300028975.a:Ga0169659_10005_205	383	2e-41	9	216	121	338	0.9583333333333334
GT51.hmm	177	3300028975.a:Ga0169659_10005_4	269	4.3e-66	10	177	78	245	0.943502824858757
GT9.hmm	225	3300028975.a:Ga0169659_10021_58	392	1.3e-54	2	220	79	364	0.9688888888888889
CE4.hmm	130	3300028975.a:Ga0169659_10021_61	268	1.7e-33	5	127	100	226	0.9384615384615385
GT4.hmm	160	3300028975.a:Ga0169659_10027_77	356	2.2e-36	7	157	180	330	0.9375
SLH.hmm	42	3300028975.a:Ga0169659_10031_1	421	7.1e-17	1	41	26	66	0.9523809523809523
GT30.hmm	177	3300028975.a:Ga0169659_10031_16	435	1.3e-55	9	176	40	215	0.943502824858757
GT19.hmm	354	3300028975.a:Ga0169659_10031_18	381	2.3e-121	1	353	3	358	0.9943502824858758
CE11.hmm	271	3300028975.a:Ga0169659_10031_22	280	4.7e-101	1	270	5	271	0.992619926199262
CE4.hmm	130	3300028975.a:Ga0169659_10031_81	287	4.9e-31	4	126	93	220	0.9384615384615385
GT28.hmm	157	3300028975.a:Ga0169659_10033_22	370	1.4e-47	1	157	190	356	0.9936305732484076
GT51.hmm	177	3300028975.a:Ga0169659_10033_72	697	2.2e-74	2	177	74	250	0.9887005649717514
GT26.hmm	171	3300028975.a:Ga0169659_10033_83	241	4.8e-66	1	171	56	226	0.9941520467836257
GT2.hmm	230	3300028975.a:Ga0169659_10033_86	421	5.7e-31	3	228	45	268	0.9782608695652174
GH3.hmm	216	3300028975.a:Ga0169659_10043_21	383	1.7e-24	33	216	150	336	0.8472222222222222
GH23.hmm	135	3300028975.a:Ga0169659_10045_18	185	2.2e-29	9	124	44	176	0.8518518518518519
GT9.hmm	225	3300028975.a:Ga0169659_10045_36	347	6.1e-47	3	204	76	304	0.8933333333333333
GT9.hmm	225	3300028975.a:Ga0169659_10045_37	340	3.4e-53	3	205	74	303	0.8977777777777778
GT111.hmm	217	3300028975.a:Ga0169659_10046_15	254	3.3e-90	1	217	5	221	0.9953917050691244
GT4.hmm	160	3300028975.a:Ga0169659_10046_16	364	1e-26	2	127	186	308	0.78125
CE4.hmm	130	3300028975.a:Ga0169659_10046_17	334	2.8e-32	4	128	83	295	0.9538461538461539
GT2.hmm	170	3300028975.a:Ga0169659_10046_5	323	6.5e-39	1	166	5	165	0.9705882352941176
GT2.hmm	170	3300028975.a:Ga0169659_10046_6	253	2.8e-22	1	132	5	126	0.7705882352941177
GT83.hmm	540	3300028975.a:Ga0169659_10071_8	547	2.4e-78	9	430	8	430	0.7796296296296297
SLH.hmm	42	3300028975.a:Ga0169659_10082_1	402	1.4e-16	1	41	26	66	0.9523809523809523
GH18.hmm	296	3300028975.a:Ga0169659_10169_11	561	4e-35	50	279	179	425	0.7736486486486487
