CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_91	65310	66218	-	4.A.6.1.4
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_92	66208	67002	-	4.A.6.1.4
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_93	67058	67534	-	4.A.6.1.4
CGC1	TF	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_94	67743	68909	+	HTH_AraC+HTH_AraC
CGC1	null	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_95	68951	69403	-	null
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_96	69412	70521	-	3.A.1.1.26
CGC1	null	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_97	70524	72026	-	null
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_98	72031	72864	-	3.A.1.1.36
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_99	72857	73762	-	3.A.1.1.4
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_100	73828	75084	-	3.A.1.1.40
CGC1	CAZyme	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_101	75124	76944	-	GH20| GH20
CGC1	CAZyme	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_102	77053	78012	+	CE2
CGC1	TF	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_103	78009	78788	+	HTH_6
CGC1	TC	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_104	78828	79268	-	4.A.6.1.14
CGC1	STP	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_105	79279	80454	-	SIS+SIS
CGC1	CAZyme	3300008638.a:Ga0111421_100003	3300008638.a:Ga0111421_100003_106	80633	81784	+	 CE9|CE9
