dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH9_e17	GH9:124|CBM3:86|CBM64:6|CBM79:2|CBM2:2	3.2.1.4:18|3.2.1.-:2	cellulose, beta-glucan	431	3300029875.a:Ga0245324_100021_239	904	4e-153	1	431	43	454	0.9976798143851509	0.9976798143851509
GT5_e9	GT5:1373|GH13:1|CBM48:1	2.4.1.21:9	-	471	3300029875.a:Ga0245324_100021_88	483	5.7e-215	1	470	4	478	0.9957537154989384	0.9957537154989384
CBM22_e20	CBM22:37|GH11:19|GH10:16|CE0:14|CBM37:10|CE4:6|GH16_21:2|CBM6:1|GH43_16:1|CE3:1|GH43_10:1	3.2.1.8:13|3.2.1.73:2|3.1.1.73:2|3.2.1.55:1|3.1.1.72:1	xylan, beta-glucan	127	3300029875.a:Ga0245324_100037_157	1260	4.9e-29	2	126	38	161	0.9763779527559056	0.9763779527559056
GH10_e118	GH10:18|CBM22:16|CE0:7|CBM37:4|CBM6:1|GH43_16:1|GH11:1	3.2.1.8:5|3.1.1.73:2|3.2.1.55:1	xylan	335	3300029875.a:Ga0245324_100037_157	1260	3.3e-162	1	334	193	538	0.9940298507462687	0.9940298507462687
CBM22_e8	CBM22:6|GH30_8:4|CBM37:3|GH43_10:2|CE0:2	3.2.1.8:1	xylan, beta-glucan	130	3300029875.a:Ga0245324_100037_157	1260	1.3e-50	1	130	564	693	0.9923076923076923	0.9923076923076923
GH43_e261	GH43_16:637|CBM6:630|CBM22:66|CBM36:43|GH43_10:40|CBM13:21|GH43:12|CBM2:6|GH10:4|CBM3:3|CBM5:2|CBM35:1|CBM42:1|GH43_34:1	3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1	xylan, xylan, xylan, xylan	297	3300029875.a:Ga0245324_100037_157	1260	2e-134	1	291	816	1121	0.9764309764309764	0.9764309764309764
CBM6_e6	CBM6:625|GH43_16:614|CBM22:56|CBM36:43|CBM13:18|GH43_10:14|CBM2:8|GH10:5|CBM3:3|CE0:2|CBM35:1|GH43:1|CBM5:1	3.2.1.55:13|3.2.1.8:3|3.2.1.-:2|3.2.1.37:1	beta-glucan, xylan, cellulose	127	3300029875.a:Ga0245324_100037_157	1260	7.8e-28	1	126	1147	1259	0.984251968503937	0.984251968503937
CBM79_e1	CBM79:7|GH9:1	-	beta-glucan	105	3300029875.a:Ga0245324_100037_89	716	5e-16	4	95	236	359	0.8666666666666667	0.8666666666666667
CBM79_e0	CBM79:5|GH5_4:5	-	beta-glucan	110	3300029875.a:Ga0245324_100037_89	716	3.2e-19	1	108	410	522	0.9727272727272728	0.9727272727272728
GH13_e57	GH13_44:63|GH13:7|GH13_36:1	-	sucrose	337	3300029875.a:Ga0245324_100064_124	513	7.4e-166	1	337	28	356	0.9970326409495549	0.9970326409495549
GH5_e26	GH5_4:18|CBM65:7|CBM13:1	3.2.1.4:1|3.2.1.73:1|3.2.1.8:1	beta-glucan, beta-glucan, xylan	272	3300029875.a:Ga0245324_100064_6	605	6.4e-101	2	272	79	367	0.9926470588235294	0.9926470588235294
GH43_e231	GH43_35:13	-	-	282	3300029875.a:Ga0245324_100097_121	441	7.7e-138	1	282	4	282	0.9964539007092199	0.9964539007092199
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	starch	479	3300029875.a:Ga0245324_100097_46	492	3.5e-216	1	478	9	487	0.9958246346555324	0.9958246346555324
GH25_e34	GH25:18|CBM50:16	-	-	175	3300029875.a:Ga0245324_100097_9	287	2.6e-49	1	174	38	211	0.9885714285714285	0.9885714285714285
CBM50_e989	CBM50:48|CE4:40	-	chitin, peptidoglycan	44	3300029875.a:Ga0245324_100097_9	287	2.8e-18	2	43	244	285	0.9318181818181818	0.9318181818181818
GH13_e89	GH13_39:173|CBM34:90|GH77:35|GH13:18|GH13_20:2|CBM48:1	-	sucrose	317	3300029875.a:Ga0245324_100101_116	628	9.8e-137	2	317	184	512	0.9936908517350158	0.9936908517350158
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	3300029875.a:Ga0245324_100101_117	799	4.4e-296	1	709	95	797	0.9943820224719101	0.9943820224719101
GH25_e106	GH25:196	3.2.1.17:1	peptidoglycan	175	3300029875.a:Ga0245324_100101_27	245	9.2e-73	1	175	46	220	0.9942857142857143	0.9942857142857143
GT51_e164	GT51:14	-	-	171	3300029875.a:Ga0245324_100101_58	880	1.4e-71	2	171	183	367	0.9883040935672515	0.9883040935672515
GH94_e8	GH94:93	2.4.1.49:1	cellulose	795	3300029875.a:Ga0245324_100101_63	799	0	1	794	3	793	0.9974842767295597	0.9974842767295597
PL1_e59	PL1:95|CBM77:53|PL9_1:10|CBM35:2|CBM37:1|CE8:1|PL1_5:1	-	-	174	3300029875.a:Ga0245324_100101_7	1153	5.7e-83	7	174	232	402	0.9597701149425287	0.9597701149425287
PL9_e8	PL9_1:222|CE8:17|CBM35:13|PL1:10|CBM77:5|PL1_5:4|CE12:1|CBM5:1	4.2.2.2:2	pectin	378	3300029875.a:Ga0245324_100101_7	1153	1.6e-126	2	377	598	1018	0.9920634920634921	0.9920634920634921
CBM79_e0	CBM79:5|GH5_4:5	-	beta-glucan	110	3300029875.a:Ga0245324_100101_9	712	5.6e-36	1	110	99	213	0.990909090909091	0.990909090909091
CBM79_e0	CBM79:5|GH5_4:5	-	beta-glucan	110	3300029875.a:Ga0245324_100101_9	712	3e-39	1	109	240	348	0.9818181818181818	0.9818181818181818
GH5_e175	GH5_4:14|CBM79:5|CBM2:2	-	-	273	3300029875.a:Ga0245324_100101_9	712	5.2e-118	1	272	413	682	0.9926739926739927	0.9926739926739927
GT2	GT2:19	-	-	160	3300029875.a:Ga0245324_100110_43	272	2.5e-60	1	160	5	165	0.99375	0.99375
CE3_e10	CE3:139|CBM13:64|CBM2:24|CBM35:3|CBM32:2|CBM42:1|CE15:1	3.1.1.72:1	xylan	192	3300029875.a:Ga0245324_100175_111	390	3.4e-49	1	191	35	252	0.9895833333333334	0.9895833333333334
GT4_e554	GT4:5	-	-	145	3300029875.a:Ga0245324_100341_52	394	1.1e-75	1	144	223	366	0.9862068965517241	0.9862068965517241
GT2	GT2:24|GH0:1	-	-	143	3300029875.a:Ga0245324_100341_57	302	3e-18	1	121	9	130	0.8391608391608392	0.8391608391608392
GT2	GT2:13	-	-	155	3300029875.a:Ga0245324_100341_65	321	4.1e-58	1	155	7	171	0.9935483870967742	0.9935483870967742
GT2	GT2:308	-	-	168	3300029875.a:Ga0245324_100524_36	315	5.7e-78	1	167	6	173	0.9880952380952381	0.9880952380952381
GT4_e171	GT4:121	-	-	163	3300029875.a:Ga0245324_100655_27	528	1e-18	2	139	166	310	0.8404907975460123	0.8404907975460123
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	3300029875.a:Ga0245324_100667_41	986	0	31	883	29	869	0.9648924122310306	0.9648924122310306
CBM35_e4	CBM35:182|GH26:178|CBM3:40|GH44:30|CBM27:8|CBM2:2|CBM1:2|CBM37:1|CE3:1|CBM59:1|GH5_8:1|GH5_10:1	3.2.1.78:14|3.2.1.151:5|3.2.1.4:3	xylan, beta-mannan, beta-galactan	115	3300029875.a:Ga0245324_100900_19	530	9.2e-22	1	115	75	190	0.991304347826087	0.991304347826087
GH26_e32	GH26:83|CBM35:44|CBM10:19|CBM27:6|CBM3:6|CBM0:3|CBM2:3|GH5_8:1|CBM59:1	3.2.1.78:4	beta-mannan	313	3300029875.a:Ga0245324_100900_19	530	7.9e-94	1	311	208	526	0.9904153354632588	0.9904153354632588
CBM50_e521	CBM50:11	-	chitin, peptidoglycan	48	3300029875.a:Ga0245324_101623_14	222	3.1e-25	1	48	173	221	0.9791666666666666	0.9791666666666666
GH5_e263	GH5_4:81|CBM2:21|CBM13:8|CBM3:4	3.2.1.151:3|3.2.1.4:1	xyloglucan, beta-glucan	304	3300029875.a:Ga0245324_107448_1	254	3.6e-58	1	205	51	251	0.6710526315789473	0.6710526315789473
GH5_e72	GH5_46:5|GH5:2	-	-	262	3300029875.a:Ga0245324_100021_127	626	1.4e-59	4	260	112	592	0.9770992366412213	0.9770992366412213
GT4_e672	GT4:29	-	-	149	3300029875.a:Ga0245324_100021_267	387	4.8e-60	2	145	204	347	0.959731543624161	0.959731543624161
GH5_e276	GH5_1:145|CBM2:55|CBM3:30|GH5_8:16|GH5_4:8|GH10:6|GH44:5|GH5:4|GH9:3|CBM37:3|AA10:1|CBM78:1	3.2.1.4:25|3.2.1.78:5|3.2.1.73:1|3.2.1.74:1	beta-glucan, beta-mannan, beta-glucan, cellulose	334	3300029875.a:Ga0245324_100021_282	593	1.4e-137	2	334	53	415	0.9940119760479041	0.9940119760479041
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	3300029875.a:Ga0245324_100021_65	714	7.5e-119	3	248	50	295	0.9760956175298805	0.9760956175298805
CBM4_e0	CBM4:378|GH9:369|CBM2:98|CBM37:7|CBM3:4|CBM6:2|GH11:1|GH148:1	3.2.1.4:11|3.2.1.-:3|3.2.1.91:3|3.2.1.8:1	xylan, beta-glucan	121	3300029875.a:Ga0245324_100037_66	1051	1.4e-21	3	121	39	178	0.9752066115702479	0.9752066115702479
GH9_e1	GH9:708|CBM4:367|CBM2:150|CBM10:15|CBM3:10|CBM37:10|CBM32:3|CBM30:2|GH3:1|CBM5:1|CBM9:1	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	cellulose, cellulose, beta-glucan, beta-glucan	463	3300029875.a:Ga0245324_100037_66	1051	8.7e-170	2	462	344	870	0.9935205183585313	0.9935205183585313
GH9_e17	GH9:124|CBM3:86|CBM64:6|CBM79:2|CBM2:2	3.2.1.4:18|3.2.1.-:2	cellulose, beta-glucan	431	3300029875.a:Ga0245324_100037_68	644	7.8e-119	1	431	42	486	0.9976798143851509	0.9976798143851509
CBM22_e20	CBM22:37|GH11:19|GH10:16|CE0:14|CBM37:10|CE4:6|GH16_21:2|CBM6:1|GH43_16:1|CE3:1|GH43_10:1	3.2.1.8:13|3.2.1.73:2|3.1.1.73:2|3.2.1.55:1|3.1.1.72:1	xylan, beta-glucan	127	3300029875.a:Ga0245324_100056_203	1096	3.8e-36	2	127	37	162	0.984251968503937	0.984251968503937
CBM22_e20	CBM22:37|GH11:19|GH10:16|CE0:14|CBM37:10|CE4:6|GH16_21:2|CBM6:1|GH43_16:1|CE3:1|GH43_10:1	3.2.1.8:13|3.2.1.73:2|3.1.1.73:2|3.2.1.55:1|3.1.1.72:1	xylan, beta-glucan	127	3300029875.a:Ga0245324_100056_203	1096	8.1e-27	2	126	191	316	0.9763779527559056	0.9763779527559056
GH10_e105	GH10:30|CBM22:16|CBM3:6	3.2.1.8:4	xylan	341	3300029875.a:Ga0245324_100056_203	1096	8.7e-141	1	340	354	694	0.9941348973607038	0.9941348973607038
CBM9_e18	CBM9:60|GH10:56|CBM22:53|CE4:3|GH30:1|CBM4:1|CBM61:1|GH0:1|GH141:1|CE15:1	3.2.1.8:8	cellulose	173	3300029875.a:Ga0245324_100056_203	1096	1.7e-57	1	173	858	1031	0.9942196531791907	0.9942196531791907
CE20_e31	CE20:16	-	-	310	3300029875.a:Ga0245324_100056_69	504	4.8e-128	1	310	80	393	0.9967741935483871	0.9967741935483871
GH13_e141	GH13:115	3.2.1.-:2	sucrose, starch	288	3300029875.a:Ga0245324_100056_81	529	3.2e-143	1	287	40	326	0.9930555555555556	0.9930555555555556
GH42_e20	GH42:2137	3.2.1.23:22	arabinogalactan protein	373	3300029875.a:Ga0245324_100056_83	683	7.9e-186	1	373	18	390	0.9973190348525469	0.9973190348525469
GH5_e293	GH5_4:16	-	-	284	3300029875.a:Ga0245324_100097_120	385	5.6e-145	1	283	72	355	0.9929577464788732	0.9929577464788732
GH25_e146	GH25:11	-	-	184	3300029875.a:Ga0245324_100097_28	316	2.2e-82	1	184	119	301	0.9945652173913043	0.9945652173913043
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	3300029875.a:Ga0245324_100097_45	779	2.6e-285	1	710	80	773	0.9957865168539326	0.9957865168539326
GH24_e26	GH24:188|CBM50:1	-	-	132	3300029875.a:Ga0245324_100101_114	640	5.8e-27	2	131	37	175	0.9772727272727273	0.9772727272727273
PL31_e7	PL31:8|CBM6:1	4.2.2.14:1	host glycan	197	3300029875.a:Ga0245324_100101_13	378	1.1e-61	1	195	90	279	0.9847715736040609	0.9847715736040609
GH74_e0	GH74:218|CBM88:4|CBM2:3|CBM66:1|CBM9:1|CBM37:1|CBM13:1|CBM16:1|CBM6:1	3.2.1.151:5	xyloglucan	181	3300029875.a:Ga0245324_100101_23	894	1.7e-18	23	139	89	204	0.6408839779005525	0.6408839779005525
GH5_e293	GH5_4:16	-	-	284	3300029875.a:Ga0245324_100101_26	389	3.1e-109	1	283	80	354	0.9929577464788732	0.9929577464788732
GT2	GT2:28	-	-	230	3300029875.a:Ga0245324_100101_73	276	5.7e-62	1	229	6	234	0.991304347826087	0.991304347826087
GH98_e0	CBM35:257|GH98:257|CBM13:4|CBM2:4|CBM6:2|GH5:2|CBM37:1	3.2.1.8:2	xylan	317	3300029875.a:Ga0245324_100110_137	1294	4.5e-155	1	317	54	393	0.9968454258675079	0.9968454258675079
CBM35_e1	CBM35:260|GH98:257|CBM2:4|CBM13:4|CBM6:2|GH5:2|CBM37:1|PL1:1	3.2.1.8:2	xylan, beta-mannan, beta-galactan	109	3300029875.a:Ga0245324_100110_137	1294	1.5e-33	5	108	683	786	0.944954128440367	0.944954128440367
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	3300029875.a:Ga0245324_100110_137	1294	1.5e-34	3	205	1068	1284	0.9805825242718447	0.9805825242718447
GT4_e3990	GT4:16	-	-	151	3300029875.a:Ga0245324_100110_42	368	7.2e-48	5	150	189	335	0.9602649006622517	0.9602649006622517
GT2	GT2:14	-	-	130	3300029875.a:Ga0245324_100110_77	489	4.6e-41	1	124	35	158	0.9461538461538461	0.9461538461538461
GH5_e276	GH5_1:145|CBM2:55|CBM3:30|GH5_8:16|GH5_4:8|GH10:6|GH44:5|GH5:4|GH9:3|CBM37:3|AA10:1|CBM78:1	3.2.1.4:25|3.2.1.78:5|3.2.1.73:1|3.2.1.74:1	beta-glucan, beta-mannan, beta-glucan, cellulose	334	3300029875.a:Ga0245324_100341_43	521	1.5e-145	2	334	52	404	0.9940119760479041	0.9940119760479041
GT4_e510	GT4:202	2.4.1.-:1	-	140	3300029875.a:Ga0245324_100341_51	388	2.7e-67	2	139	214	350	0.9785714285714285	0.9785714285714285
CBM4_e22	CBM4:24|GH9:23|CBM3:4|GH16_21:1	3.2.1.4:1|3.2.1.-:1|3.2.1.73:1	xylan, beta-glucan	126	3300029875.a:Ga0245324_100387_35	783	6.6e-43	1	126	37	162	0.9920634920634921	0.9920634920634921
GH9_e25	GH9:41|CBM4:22|CBM3:4|GH16_21:1	3.2.1.4:5|3.2.1.-:1|3.2.1.73:1	cellulose, beta-glucan, beta-glucan	436	3300029875.a:Ga0245324_100387_35	783	7.3e-187	1	435	289	714	0.9954128440366973	0.9954128440366973
