HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT19.hmm	354	3300009393.a:Ga0111010_1000001_172	382	8.9e-95	2	352	4	362	0.9887005649717514
GT27.hmm	295	3300009393.a:Ga0111010_1000001_176	338	9.8e-19	15	229	21	230	0.7254237288135593
GT28.hmm	157	3300009393.a:Ga0111010_1000001_204	375	1.8e-46	2	156	198	359	0.9808917197452229
GT2.hmm	170	3300009393.a:Ga0111010_1000001_229	248	7.6e-33	2	168	6	172	0.9764705882352941
GT2.hmm	170	3300009393.a:Ga0111010_1000001_48	327	1.4e-32	1	115	7	123	0.6705882352941176
GT5.hmm	472	3300009393.a:Ga0111010_1000002_237	271	1.7e-41	1	211	5	225	0.4449152542372881
GT2.hmm	170	3300009393.a:Ga0111010_1000002_242	328	6e-34	1	168	11	175	0.9823529411764705
GT4.hmm	160	3300009393.a:Ga0111010_1000002_99	381	5e-29	8	149	207	348	0.88125
GH23.hmm	135	3300009393.a:Ga0111010_1000003_135	470	7e-27	2	120	132	266	0.8740740740740741
GH29.hmm	346	3300009393.a:Ga0111010_1000003_2	687	7.6e-84	43	346	20	328	0.8757225433526011
GT2.hmm	170	3300009393.a:Ga0111010_1000003_80	329	1.4e-30	1	108	6	117	0.6294117647058823
GT4.hmm	160	3300009393.a:Ga0111010_1000003_81	388	2.3e-21	6	148	205	348	0.8875
GT2.hmm	170	3300009393.a:Ga0111010_1000004_148	343	2.7e-36	1	119	5	119	0.6941176470588235
GH3.hmm	216	3300009393.a:Ga0111010_1000004_18	1002	3.5e-54	5	215	111	334	0.9722222222222222
CE1.hmm	227	3300009393.a:Ga0111010_1000007_100	560	1.9e-22	8	213	183	377	0.9030837004405287
GT2.hmm	170	3300009393.a:Ga0111010_1000007_32	358	1.5e-23	2	166	6	187	0.9647058823529412
GH171.hmm	355	3300009393.a:Ga0111010_1000007_8	409	1.1e-113	1	355	57	399	0.9971830985915493
GT2.hmm	170	3300009393.a:Ga0111010_1000007_82	286	6.8e-21	6	124	20	140	0.6941176470588235
GT4.hmm	160	3300009393.a:Ga0111010_1000008_101	375	1.5e-25	5	152	199	345	0.91875
GT2.hmm	170	3300009393.a:Ga0111010_1000008_104	343	4.6e-23	1	127	9	135	0.7411764705882353
CE11.hmm	271	3300009393.a:Ga0111010_1000017_12	460	4.5e-68	1	221	3	224	0.8118081180811808
GH73.hmm	128	3300009393.a:Ga0111010_1000017_17	318	9e-33	2	128	40	168	0.984375
GT2.hmm	170	3300009393.a:Ga0111010_1000017_57	347	4.8e-26	1	133	7	140	0.7764705882352941
GT2.hmm	170	3300009393.a:Ga0111010_1000053_13	367	8.9e-21	1	113	44	160	0.6588235294117647
GT4.hmm	160	3300009393.a:Ga0111010_1000053_44	428	3.2e-21	10	151	253	395	0.88125
GT2.hmm	170	3300009393.a:Ga0111010_1000053_57	241	2.3e-25	1	165	5	161	0.9647058823529412
GT51.hmm	177	3300009393.a:Ga0111010_1000815_5	800	3e-55	9	176	66	240	0.943502824858757
