dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e1800	GT4:638|GT2:1	-	-	166	3300029739.a:Ga0245187_100008_227	417	6.1e-72	3	166	210	385	0.9819277108433735	0.9819277108433735
GT4_e207	GT4:24	-	-	142	3300029739.a:Ga0245187_100010_177	387	4.7e-63	1	141	212	352	0.9859154929577465	0.9859154929577465
GH51_e47	GH51:642|GH43_34:9|CE6:3|GH43_18:3|GH43_22:3|GH43_4:3|GH43:2|GH43_29:2|CBM5:1|CBM66:1|GH0:1|CBM84:1|CBM0:1	3.2.1.55:5	arabinan	468	3300029739.a:Ga0245187_100010_212	752	1.8e-142	5	463	248	748	0.9786324786324786	0.9786324786324786
GH23_e487	GH23:181	-	-	65	3300029739.a:Ga0245187_100010_303	332	2.3e-38	1	65	259	324	0.9846153846153847	0.9846153846153847
GT2	GT2:18	-	-	215	3300029739.a:Ga0245187_100010_83	1005	2e-50	1	214	6	237	0.9906976744186047	0.9906976744186047
CBM50_e849	CBM50:94	-	chitin, peptidoglycan	50	3300029739.a:Ga0245187_100016_20	117	6.1e-29	1	50	66	115	0.98	0.98
GH23_e447	GH23:207	-	-	69	3300029739.a:Ga0245187_100016_226	362	2e-34	1	67	286	352	0.9565217391304348	0.9565217391304348
GH85_e2	GH85:64|CBM32:1	-	-	354	3300029739.a:Ga0245187_100016_46	1128	3.1e-151	1	353	133	479	0.9943502824858758	0.9943502824858758
GH125_e0	GH125:1681	3.2.1.-:2	alpha-mannan	396	3300029739.a:Ga0245187_100016_49	433	6.7e-192	2	396	28	424	0.9949494949494949	0.9949494949494949
GH51_e0	GH51:2271	3.2.1.55:37	arabinan	492	3300029739.a:Ga0245187_100026_153	516	1.8e-218	1	490	9	514	0.9939024390243902	0.9939024390243902
GH13_e144	GH13_18:83|GH13:2	2.4.1.7:2	sucrose, sucrose	344	3300029739.a:Ga0245187_100026_157	509	4.6e-177	1	344	35	380	0.997093023255814	0.997093023255814
GH13_e234	GH13_30:1338|GH13:8|GH13_23:7|GH13_16:1	3.2.1.20:2	sucrose, starch	351	3300029739.a:Ga0245187_100026_163	605	4.7e-158	5	349	33	405	0.98005698005698	0.98005698005698
GH13_e122	GH13_31:1547|GH13_40:132|GH13:79|GH13_29:30|GH13_23:5|GH13_17:3|GH13_36:3|GH13_44:1|GT25:1|GT5:1	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	sucrose, sucrose, starch, starch, starch, starch	344	3300029739.a:Ga0245187_100026_3	607	3.6e-148	1	342	46	413	0.9912790697674418	0.9912790697674418
GH23_e314	GH23:173	-	-	75	3300029739.a:Ga0245187_100026_34	502	7e-40	1	75	420	495	0.9866666666666667	0.9866666666666667
GH36_e2	GH36:805|GH27:1	3.2.1.22:8	alpha-galactan	653	3300029739.a:Ga0245187_100026_81	717	3.8e-246	22	651	20	664	0.9632465543644717	0.9632465543644717
GH43_e135	GH43_22:385|GH43_34:297|GH43:18|CBM42:11|CBM13:5|GH51:3|GH43_24:2|GH35:2|GH43_33:2|GH43_18:2|GH43_27:2|GH59:1|CBM5:1|GH43_32:1|CBM32:1|GH43_5:1|GH43_37:1|GH2:1	3.2.1.55:1	xylan	265	3300029739.a:Ga0245187_100041_12	1098	1.5e-76	8	242	484	757	0.8830188679245283	0.8830188679245283
GH43_e200	GH43_22:35	-	-	243	3300029739.a:Ga0245187_100041_14	2001	1.8e-49	1	242	408	673	0.9917695473251029	0.9917695473251029
GH43_e249	GH43_22:133|GH43_34:42|GH43:30|GH43_27:3|CBM61:1|GH53:1	3.2.1.55:1	xylan	265	3300029739.a:Ga0245187_100041_14	2001	3.6e-67	2	265	1468	1823	0.9924528301886792	0.9924528301886792
GH27_e1	GH27:57	-	-	191	3300029739.a:Ga0245187_100041_39	470	4e-121	1	191	164	354	0.9947643979057592	0.9947643979057592
GH51_e36	GH51:42	3.2.1.55:1	arabinan	530	3300029739.a:Ga0245187_100041_42	822	0	2	529	225	755	0.9943396226415094	0.9943396226415094
GH43_e182	GH43_4:60	-	-	344	3300029739.a:Ga0245187_100041_43	582	5.6e-196	1	344	33	383	0.997093023255814	0.997093023255814
GH43_e116	GH43_27:61|GH43_22:1	3.2.1.55:1	xylan	281	3300029739.a:Ga0245187_100041_45	711	9.5e-140	1	281	354	687	0.99644128113879	0.99644128113879
GH43_e175	GH43_26:56	-	-	303	3300029739.a:Ga0245187_100041_48	345	2e-174	1	302	6	304	0.9933993399339934	0.9933993399339934
GT2	GT2:138	-	-	155	3300029739.a:Ga0245187_100041_67	227	1.7e-40	64	154	1	90	0.5806451612903226	0.5806451612903226
GT4_e2801	GT4:14	-	-	123	3300029739.a:Ga0245187_100041_85	517	2.8e-60	1	122	339	460	0.983739837398374	0.983739837398374
CE20_e8	CE20:14	-	-	252	3300029739.a:Ga0245187_100041_88	160	6e-36	64	163	61	158	0.39285714285714285	0.39285714285714285
GH121_e0	GH121:375|CBM35:2	3.2.1.187:2	-	1365	3300029739.a:Ga0245187_100057_63	1942	0	8	1364	20	1459	0.9934065934065934	0.9934065934065934
GT51_e89	GT51:178	-	-	173	3300029739.a:Ga0245187_100057_8	802	8.8e-101	2	173	126	297	0.9884393063583815	0.9884393063583815
GH13_e41	GH13_3:1253|GH0:92|GH13:34|GT4:1	-	sucrose	217	3300029739.a:Ga0245187_100057_97	747	8e-89	3	217	318	536	0.9861751152073732	0.9861751152073732
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	3300029739.a:Ga0245187_100060_138	894	8.6e-57	14	177	145	315	0.8763440860215054	0.8763440860215054
GH78_e80	GH78:1278|CBM67:96|GH3:3|GH0:2|GH18:2|CBM0:1	3.2.1.40:8|3.1.1.73:2	alpha-rhamnoside	510	3300029739.a:Ga0245187_100060_138	894	3.9e-197	5	507	351	874	0.984313725490196	0.984313725490196
GT2	GT2:47	-	-	161	3300029739.a:Ga0245187_100060_44	309	3.6e-75	1	161	6	166	0.9937888198757764	0.9937888198757764
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	3300029739.a:Ga0245187_100060_78	540	4.1e-138	2	292	5	305	0.9931506849315068	0.9931506849315068
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	3300029739.a:Ga0245187_100060_78	540	1.1e-70	1	199	334	538	0.99	0.99
GT2	GT2:33	-	-	186	3300029739.a:Ga0245187_100173_21	341	1e-94	1	186	20	204	0.9946236559139785	0.9946236559139785
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose, starch, starch	358	3300029739.a:Ga0245187_100212_60	847	1.1e-144	3	356	230	597	0.9860335195530726	0.9860335195530726
GH77_e2	GH77:1777|GT4:13	2.4.1.25:4	starch	527	3300029739.a:Ga0245187_100212_63	722	3.5e-221	1	523	189	717	0.9905123339658444	0.9905123339658444
GH43_e148	CBM22:77|GH43_10:76|CBM6:3|GH43_16:3	-	-	286	3300029739.a:Ga0245187_100212_92	902	7.4e-126	1	286	1	278	0.9965034965034965	0.9965034965034965
CBM22_e16	CBM22:86|GH43_10:83|CBM6:3|GH43_16:3	-	xylan, beta-glucan	128	3300029739.a:Ga0245187_100212_92	902	1.1e-36	1	128	349	485	0.9921875	0.9921875
CBM91_e32	CBM91:96|GH43_10:90|CBM22:88|CBM6:6	-	xylan	194	3300029739.a:Ga0245187_100212_92	902	2.4e-61	3	193	519	746	0.979381443298969	0.979381443298969
GH25_e47	GH25:17|CBM50:16	-	-	190	3300029739.a:Ga0245187_100306_17	426	2.7e-101	1	190	44	233	0.9947368421052631	0.9947368421052631
CBM50_e872	CBM50:18|GH25:16	-	chitin, peptidoglycan	40	3300029739.a:Ga0245187_100306_17	426	2e-19	1	40	331	370	0.975	0.975
GH42_e28	GH42:371	3.2.1.23:18	arabinogalactan protein	372	3300029739.a:Ga0245187_100348_47	711	1.9e-218	1	371	26	396	0.9946236559139785	0.9946236559139785
GH13_e122	GH13_31:1547|GH13_40:132|GH13:79|GH13_29:30|GH13_23:5|GH13_17:3|GH13_36:3|GH13_44:1|GT25:1|GT5:1	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	sucrose, sucrose, starch, starch, starch, starch	344	3300029739.a:Ga0245187_101917_1	607	1.6e-148	1	342	46	413	0.9912790697674418	0.9912790697674418
GH36_e44	GH36:17|GH38:1	-	-	228	3300029739.a:Ga0245187_101917_2	621	1.2e-41	59	221	230	394	0.7105263157894737	0.7105263157894737
GH13_e234	GH13_30:1338|GH13:8|GH13_23:7|GH13_16:1	3.2.1.20:2	sucrose, starch	351	3300029739.a:Ga0245187_101917_3	557	6.6e-151	4	348	30	394	0.98005698005698	0.98005698005698
GH23_e115	GH23:36	-	-	75	3300029739.a:Ga0245187_100008_41	479	3.9e-36	3	73	399	469	0.9333333333333333	0.9333333333333333
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	3300029739.a:Ga0245187_100008_60	1024	1e-301	10	880	22	903	0.9852774631936579	0.9852774631936579
GT51_e11	GT51:184	-	-	191	3300029739.a:Ga0245187_100010_292	772	3.3e-111	1	190	81	269	0.9895287958115183	0.9895287958115183
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	3300029739.a:Ga0245187_100010_75	751	3.7e-20	17	91	151	249	0.74	0.74
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	3300029739.a:Ga0245187_100010_75	751	9.6e-159	1	301	301	601	0.9966777408637874	0.9966777408637874
GT28_e141	GT28:314	-	-	155	3300029739.a:Ga0245187_100016_33	394	7.2e-58	1	154	205	375	0.9870967741935484	0.9870967741935484
